Datetime,100031297 (Promenade (nördl. Salzstraße)),101031297 (Promenade Radfahrer FR Mauritztor),102031297 (Promenade Radfahrer FR Salzstraße),103031297 (Promenade Radfahrer FR Mauritztor),104031297 (Promenade Radfahrer FR Salzstraße),105031297 (Promenade Radfahrer FR Mauritztor),106031297 (Promenade Radfahrer FR Salzstraße),100031297-status,101031297-status,102031297-status,103031297-status,104031297-status,105031297-status,106031297-status
2025-04-01 19:00,262,2,95,44,9,108,4,0,0,0,0,0,0,0
2025-04-01 19:15,256,1,115,25,24,89,2,0,0,0,0,0,0,0
2025-04-01 19:30,239,1,93,25,15,104,1,0,0,0,0,0,0,0
2025-04-01 19:45,228,2,101,24,14,86,1,0,0,0,0,0,0,0
2025-04-01 20:00,169,3,65,23,7,71,0,0,0,0,0,0,0,0
2025-04-01 20:15,169,2,64,20,6,77,0,0,0,0,0,0,0,0
2025-04-01 20:30,130,0,52,17,5,52,4,0,0,0,0,0,0,0
2025-04-01 20:45,124,1,46,18,4,54,1,0,0,0,0,0,0,0
2025-04-01 21:00,122,0,47,12,5,58,0,0,0,0,0,0,0,0
2025-04-01 21:15,121,0,42,15,4,57,3,0,0,0,0,0,0,0
2025-04-01 21:30,132,3,52,15,14,47,1,0,0,0,0,0,0,0
2025-04-01 21:45,108,1,40,15,8,42,2,0,0,0,0,0,0,0
2025-04-01 22:00,124,4,48,16,7,48,1,0,0,0,0,0,0,0
2025-04-01 22:15,108,2,49,13,8,36,0,0,0,0,0,0,0,0
2025-04-01 22:30,90,3,32,15,5,34,1,0,0,0,0,0,0,0
2025-04-01 22:45,59,2,19,6,5,25,2,0,0,0,0,0,0,0
2025-04-01 23:00,63,1,19,12,3,27,1,0,0,0,0,0,0,0
2025-04-01 23:15,61,0,23,10,8,19,1,0,0,0,0,0,0,0
2025-04-01 23:30,46,1,10,14,2,18,1,0,0,0,0,0,0,0
2025-04-01 23:45,38,1,18,4,8,7,0,0,0,0,0,0,0,0
