Datetime,100031297 (Promenade),101031297 (Promenade Radfahrer FR Mauritztor),102031297 (Promenade Radfahrer FR Salzstraße),103031297 (Promenade Radfahrer FR Mauritztor),104031297 (Promenade Radfahrer FR Salzstraße),105031297 (Promenade Radfahrer FR Mauritztor),106031297 (Promenade Radfahrer FR Salzstraße),100031297-status,101031297-status,102031297-status,103031297-status,104031297-status,105031297-status,106031297-status
2021-08-01 00:00,57,1,23,9,4,18,2,0,0,0,0,0,0,0
2021-08-01 00:15,62,1,23,9,9,18,2,0,0,0,0,0,0,0
2021-08-01 00:30,52,0,23,3,11,14,1,0,0,0,0,0,0,0
2021-08-01 00:45,44,0,14,9,4,17,0,0,0,0,0,0,0,0
2021-08-01 01:00,39,0,9,7,5,16,2,0,0,0,0,0,0,0
2021-08-01 01:15,49,1,13,10,5,19,1,0,0,0,0,0,0,0
2021-08-01 01:30,34,0,10,7,7,10,0,0,0,0,0,0,0,0
2021-08-01 01:45,35,0,13,6,6,9,1,0,0,0,0,0,0,0
2021-08-01 02:00,41,0,17,5,5,13,1,0,0,0,0,0,0,0
2021-08-01 02:15,22,0,9,4,2,7,0,0,0,0,0,0,0,0
2021-08-01 02:30,25,3,8,6,3,5,0,0,0,0,0,0,0,0
2021-08-01 02:45,34,3,11,7,5,8,0,0,0,0,0,0,0,0
2021-08-01 03:00,27,2,7,4,3,11,0,0,0,0,0,0,0,0
2021-08-01 03:15,16,0,6,3,1,5,1,0,0,0,0,0,0,0
2021-08-01 03:30,22,0,4,5,2,11,0,0,0,0,0,0,0,0
2021-08-01 03:45,10,0,3,4,0,3,0,0,0,0,0,0,0,0
2021-08-01 04:00,15,3,6,2,1,3,0,0,0,0,0,0,0,0
2021-08-01 04:15,8,0,2,3,0,3,0,0,0,0,0,0,0,0
2021-08-01 04:30,10,0,4,1,3,2,0,0,0,0,0,0,0,0
2021-08-01 04:45,11,0,4,1,3,3,0,0,0,0,0,0,0,0
2021-08-01 05:00,6,0,1,2,0,3,0,0,0,0,0,0,0,0
2021-08-01 05:15,14,1,8,3,0,2,0,0,0,0,0,0,0,0
2021-08-01 05:30,14,0,7,2,1,4,0,0,0,0,0,0,0,0
2021-08-01 05:45,10,0,3,3,1,3,0,0,0,0,0,0,0,0
2021-08-01 06:00,9,0,4,3,0,2,0,0,0,0,0,0,0,0
2021-08-01 06:15,13,0,6,3,0,3,1,0,0,0,0,0,0,0
2021-08-01 06:30,20,0,6,5,3,6,0,0,0,0,0,0,0,0
2021-08-01 06:45,13,2,7,0,1,3,0,0,0,0,0,0,0,0
2021-08-01 07:00,8,1,5,1,0,1,0,0,0,0,0,0,0,0
2021-08-01 07:15,9,0,7,0,2,0,0,0,0,0,0,0,0,0
2021-08-01 07:30,17,0,10,1,2,4,0,0,0,0,0,0,0,0
2021-08-01 07:45,17,0,10,1,1,5,0,0,0,0,0,0,0,0
2021-08-01 08:00,19,0,9,3,3,4,0,0,0,0,0,0,0,0
2021-08-01 08:15,22,0,9,1,3,9,0,0,0,0,0,0,0,0
2021-08-01 08:30,39,1,24,5,5,4,0,0,0,0,0,0,0,0
2021-08-01 08:45,53,0,26,7,1,19,0,0,0,0,0,0,0,0
2021-08-01 09:00,30,0,17,1,2,9,1,0,0,0,0,0,0,0
2021-08-01 09:15,69,0,37,5,9,18,0,0,0,0,0,0,0,0
2021-08-01 09:30,45,1,23,6,3,11,1,0,0,0,0,0,0,0
2021-08-01 09:45,96,4,48,7,9,27,1,0,0,0,0,0,0,0
2021-08-01 10:00,71,0,36,6,9,20,0,0,0,0,0,0,0,0
2021-08-01 10:15,87,1,43,9,11,23,0,0,0,0,0,0,0,0
2021-08-01 10:30,71,1,38,7,4,21,0,0,0,0,0,0,0,0
2021-08-01 10:45,117,2,66,12,13,24,0,0,0,0,0,0,0,0
2021-08-01 11:00,116,0,56,15,15,28,2,0,0,0,0,0,0,0
2021-08-01 11:15,119,0,50,11,9,49,0,0,0,0,0,0,0,0
2021-08-01 11:30,125,1,55,16,9,43,1,0,0,0,0,0,0,0
2021-08-01 11:45,125,2,57,14,8,44,0,0,0,0,0,0,0,0
2021-08-01 12:00,151,0,58,20,10,63,0,0,0,0,0,0,0,0
2021-08-01 12:15,111,0,48,13,8,42,0,0,0,0,0,0,0,0
2021-08-01 12:30,143,1,59,17,12,54,0,0,0,0,0,0,0,0
2021-08-01 12:45,167,1,66,29,18,53,0,0,0,0,0,0,0,0
2021-08-01 13:00,181,1,64,28,14,73,1,0,0,0,0,0,0,0
2021-08-01 13:15,193,1,84,24,21,63,0,0,0,0,0,0,0,0
2021-08-01 13:30,134,0,54,13,7,60,0,0,0,0,0,0,0,0
2021-08-01 13:45,178,0,82,17,17,62,0,0,0,0,0,0,0,0
2021-08-01 14:00,166,2,72,19,11,62,0,0,0,0,0,0,0,0
2021-08-01 14:15,151,1,62,19,10,59,0,0,0,0,0,0,0,0
2021-08-01 14:30,148,3,60,14,12,59,0,0,0,0,0,0,0,0
2021-08-01 14:45,189,0,86,13,12,78,0,0,0,0,0,0,0,0
2021-08-01 15:00,155,2,64,14,19,53,3,0,0,0,0,0,0,0
2021-08-01 15:15,164,0,86,14,19,45,0,0,0,0,0,0,0,0
2021-08-01 15:30,172,2,78,14,23,53,2,0,0,0,0,0,0,0
2021-08-01 15:45,188,2,78,21,19,68,0,0,0,0,0,0,0,0
2021-08-01 16:00,184,1,70,28,11,73,1,0,0,0,0,0,0,0
2021-08-01 16:15,172,1,71,23,17,56,4,0,0,0,0,0,0,0
2021-08-01 16:30,184,1,76,17,23,65,2,0,0,0,0,0,0,0
2021-08-01 16:45,195,1,81,23,18,71,1,0,0,0,0,0,0,0
2021-08-01 17:00,138,0,55,15,14,53,1,0,0,0,0,0,0,0
2021-08-01 17:15,81,0,40,6,5,28,2,0,0,0,0,0,0,0
2021-08-01 17:30,144,1,49,26,18,50,0,0,0,0,0,0,0,0
2021-08-01 17:45,200,1,68,27,18,85,1,0,0,0,0,0,0,0
2021-08-01 18:00,143,1,49,20,11,61,1,0,0,0,0,0,0,0
2021-08-01 18:15,99,0,42,14,5,37,1,0,0,0,0,0,0,0
2021-08-01 18:30,103,0,28,20,1,53,1,0,0,0,0,0,0,0
2021-08-01 18:45,121,2,50,19,7,43,0,0,0,0,0,0,0,0
2021-08-01 19:00,120,0,49,9,15,46,1,0,0,0,0,0,0,0
2021-08-01 19:15,127,1,49,16,10,50,1,0,0,0,0,0,0,0
2021-08-01 19:30,104,0,33,21,7,43,0,0,0,0,0,0,0,0
2021-08-01 19:45,92,2,29,9,7,44,1,0,0,0,0,0,0,0
2021-08-01 20:00,95,0,34,12,4,44,1,0,0,0,0,0,0,0
2021-08-01 20:15,70,0,36,9,6,19,0,0,0,0,0,0,0,0
2021-08-01 20:30,95,3,32,13,10,37,0,0,0,0,0,0,0,0
2021-08-01 20:45,61,3,24,8,2,24,0,0,0,0,0,0,0,0
2021-08-01 21:00,77,1,22,11,4,38,1,0,0,0,0,0,0,0
2021-08-01 21:15,61,2,25,9,3,21,1,0,0,0,0,0,0,0
2021-08-01 21:30,66,3,26,11,3,23,0,0,0,0,0,0,0,0
2021-08-01 21:45,61,0,18,11,6,26,0,0,0,0,0,0,0,0
2021-08-01 22:00,50,1,21,7,4,17,0,0,0,0,0,0,0,0
2021-08-01 22:15,49,0,19,5,5,20,0,0,0,0,0,0,0,0
2021-08-01 22:30,38,2,12,9,3,12,0,0,0,0,0,0,0,0
2021-08-01 22:45,32,0,9,8,2,13,0,0,0,0,0,0,0,0
2021-08-01 23:00,29,1,5,10,0,12,1,0,0,0,0,0,0,0
2021-08-01 23:15,22,1,7,4,0,10,0,0,0,0,0,0,0,0
2021-08-01 23:30,34,0,14,7,3,10,0,0,0,0,0,0,0,0
2021-08-01 23:45,12,0,2,5,0,4,1,0,0,0,0,0,0,0
2021-08-02 00:00,8,0,0,3,1,4,0,0,0,0,0,0,0,0
2021-08-02 00:15,15,0,7,2,2,4,0,0,0,0,0,0,0,0
2021-08-02 00:30,8,0,4,0,1,3,0,0,0,0,0,0,0,0
2021-08-02 00:45,13,1,2,4,1,5,0,0,0,0,0,0,0,0
2021-08-02 01:00,5,0,0,2,0,3,0,0,0,0,0,0,0,0
2021-08-02 01:15,4,0,2,0,0,2,0,0,0,0,0,0,0,0
2021-08-02 01:30,7,0,2,1,2,2,0,0,0,0,0,0,0,0
2021-08-02 01:45,6,0,1,1,0,4,0,0,0,0,0,0,0,0
2021-08-02 02:00,11,1,3,2,1,4,0,0,0,0,0,0,0,0
2021-08-02 02:15,4,0,1,0,0,3,0,0,0,0,0,0,0,0
2021-08-02 02:30,8,0,3,1,2,2,0,0,0,0,0,0,0,0
2021-08-02 02:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-02 03:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-08-02 03:15,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-08-02 03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-02 03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-02 04:00,2,0,1,0,0,1,0,0,0,0,0,0,0,0
2021-08-02 04:15,5,1,4,0,0,0,0,0,0,0,0,0,0,0
2021-08-02 04:30,3,0,2,0,0,1,0,0,0,0,0,0,0,0
2021-08-02 04:45,13,0,6,1,2,4,0,0,0,0,0,0,0,0
2021-08-02 05:00,9,0,6,1,0,2,0,0,0,0,0,0,0,0
2021-08-02 05:15,23,0,9,3,1,10,0,0,0,0,0,0,0,0
2021-08-02 05:30,25,0,21,1,0,3,0,0,0,0,0,0,0,0
2021-08-02 05:45,43,0,25,3,0,15,0,0,0,0,0,0,0,0
2021-08-02 06:00,60,0,30,3,3,24,0,0,0,0,0,0,0,0
2021-08-02 06:15,83,0,40,9,2,32,0,0,0,0,0,0,0,0
2021-08-02 06:30,108,0,52,5,0,51,0,0,0,0,0,0,0,0
2021-08-02 06:45,159,2,97,1,20,39,0,0,0,0,0,0,0,0
2021-08-02 07:00,172,0,106,8,11,45,2,0,0,0,0,0,0,0
2021-08-02 07:15,197,1,116,9,14,57,0,0,0,0,0,0,0,0
2021-08-02 07:30,229,1,125,8,23,71,1,0,0,0,0,0,0,0
2021-08-02 07:45,282,2,156,9,24,89,2,0,0,0,0,0,0,0
2021-08-02 08:00,210,2,107,8,14,76,3,0,0,0,0,0,0,0
2021-08-02 08:15,221,0,118,13,22,65,3,0,0,0,0,0,0,0
2021-08-02 08:30,224,1,127,10,22,64,0,0,0,0,0,0,0,0
2021-08-02 08:45,237,0,130,10,31,65,1,0,0,0,0,0,0,0
2021-08-02 09:00,197,0,112,14,22,48,1,0,0,0,0,0,0,0
2021-08-02 09:15,163,0,88,16,15,44,0,0,0,0,0,0,0,0
2021-08-02 09:30,157,0,97,5,12,43,0,0,0,0,0,0,0,0
2021-08-02 09:45,196,2,111,13,20,50,0,0,0,0,0,0,0,0
2021-08-02 10:00,139,0,75,7,12,45,0,0,0,0,0,0,0,0
2021-08-02 10:15,164,0,83,8,12,60,1,0,0,0,0,0,0,0
2021-08-02 10:30,185,4,100,17,8,55,1,0,0,0,0,0,0,0
2021-08-02 10:45,167,0,87,11,11,57,1,0,0,0,0,0,0,0
2021-08-02 11:00,174,0,97,13,10,54,0,0,0,0,0,0,0,0
2021-08-02 11:15,184,0,88,9,20,66,1,0,0,0,0,0,0,0
2021-08-02 11:30,173,1,85,24,12,50,1,0,0,0,0,0,0,0
2021-08-02 11:45,211,1,96,13,16,84,1,0,0,0,0,0,0,0
2021-08-02 12:00,210,0,93,8,34,74,1,0,0,0,0,0,0,0
2021-08-02 12:15,214,0,111,13,23,65,2,0,0,0,0,0,0,0
2021-08-02 12:30,229,1,104,11,32,81,0,0,0,0,0,0,0,0
2021-08-02 12:45,233,2,113,13,19,86,0,0,0,0,0,0,0,0
2021-08-02 13:00,199,1,84,21,10,83,0,0,0,0,0,0,0,0
2021-08-02 13:15,241,0,110,15,23,91,2,0,0,0,0,0,0,0
2021-08-02 13:30,197,1,90,9,13,84,0,0,0,0,0,0,0,0
2021-08-02 13:45,232,0,109,18,13,92,0,0,0,0,0,0,0,0
2021-08-02 14:00,252,0,121,19,21,90,1,0,0,0,0,0,0,0
2021-08-02 14:15,258,1,110,26,17,100,4,0,0,0,0,0,0,0
2021-08-02 14:30,254,1,120,14,19,100,0,0,0,0,0,0,0,0
2021-08-02 14:45,261,1,132,17,16,93,2,0,0,0,0,0,0,0
2021-08-02 15:00,232,1,110,10,16,95,0,0,0,0,0,0,0,0
2021-08-02 15:15,290,1,130,24,31,103,1,0,0,0,0,0,0,0
2021-08-02 15:30,267,2,130,17,28,88,2,0,0,0,0,0,0,0
2021-08-02 15:45,295,0,136,23,34,102,0,0,0,0,0,0,0,0
2021-08-02 16:00,333,2,144,21,34,132,0,0,0,0,0,0,0,0
2021-08-02 16:15,350,2,147,34,20,147,0,0,0,0,0,0,0,0
2021-08-02 16:30,386,0,162,35,39,147,3,0,0,0,0,0,0,0
2021-08-02 16:45,370,1,164,33,30,142,0,0,0,0,0,0,0,0
2021-08-02 17:00,370,2,161,35,31,138,3,0,0,0,0,0,0,0
2021-08-02 17:15,367,3,155,34,20,152,3,0,0,0,0,0,0,0
2021-08-02 17:30,338,3,143,33,17,142,0,0,0,0,0,0,0,0
2021-08-02 17:45,356,1,152,29,26,148,0,0,0,0,0,0,0,0
2021-08-02 18:00,344,3,144,26,33,138,0,0,0,0,0,0,0,0
2021-08-02 18:15,316,0,116,30,23,147,0,0,0,0,0,0,0,0
2021-08-02 18:30,272,3,98,39,15,117,0,0,0,0,0,0,0,0
2021-08-02 18:45,229,2,80,28,17,99,3,0,0,0,0,0,0,0
2021-08-02 19:00,237,1,95,31,16,94,0,0,0,0,0,0,0,0
2021-08-02 19:15,217,1,94,23,17,82,0,0,0,0,0,0,0,0
2021-08-02 19:30,181,1,76,21,17,65,1,0,0,0,0,0,0,0
2021-08-02 19:45,190,2,72,23,10,83,0,0,0,0,0,0,0,0
2021-08-02 20:00,158,2,52,20,14,70,0,0,0,0,0,0,0,0
2021-08-02 20:15,142,2,55,13,9,60,3,0,0,0,0,0,0,0
2021-08-02 20:30,127,1,42,20,11,53,0,0,0,0,0,0,0,0
2021-08-02 20:45,97,1,40,12,5,38,1,0,0,0,0,0,0,0
2021-08-02 21:00,94,0,35,11,6,41,1,0,0,0,0,0,0,0
2021-08-02 21:15,93,1,36,9,5,42,0,0,0,0,0,0,0,0
2021-08-02 21:30,80,2,24,16,5,33,0,0,0,0,0,0,0,0
2021-08-02 21:45,80,0,31,10,8,30,1,0,0,0,0,0,0,0
2021-08-02 22:00,62,0,18,15,3,25,1,0,0,0,0,0,0,0
2021-08-02 22:15,67,1,24,11,5,26,0,0,0,0,0,0,0,0
2021-08-02 22:30,67,1,25,8,7,26,0,0,0,0,0,0,0,0
2021-08-02 22:45,57,0,20,14,6,17,0,0,0,0,0,0,0,0
2021-08-02 23:00,39,1,15,5,3,15,0,0,0,0,0,0,0,0
2021-08-02 23:15,49,0,23,4,9,12,1,0,0,0,0,0,0,0
2021-08-02 23:30,23,1,7,4,1,9,1,0,0,0,0,0,0,0
2021-08-02 23:45,23,0,9,3,1,10,0,0,0,0,0,0,0,0
