Datetime,"300037544 (Kanalpromenade, Abschnitt 1 (Dingstiege))","353410966 (Kanalpromenade, Abschnitt 1 (Dingstiege) Fahrräder IN)","353410967 (Kanalpromenade, Abschnitt 1 (Dingstiege) Fahrräder OUT)","353426657 (Kanalpromenade, Abschnitt 1 (Dingstiege) [Bike IN])","353426659 (Kanalpromenade, Abschnitt 1 (Dingstiege) [Bike IN])","353426660 (Kanalpromenade, Abschnitt 1 (Dingstiege) [Bike OUT])","353426662 (Kanalpromenade, Abschnitt 1 (Dingstiege) [Bike OUT])",300037544-status,353410966-status,353410967-status,353426657-status,353426659-status,353426660-status,353426662-status
2024-11-01 18:15,5,2,0,0,0,1,2,0,0,0,0,0,0,0
2024-11-01 18:30,9,6,0,0,0,1,2,0,0,0,0,0,0,0
2024-11-01 18:45,9,4,0,2,0,1,2,0,0,0,0,0,0,0
2024-11-01 19:00,5,2,2,0,0,0,1,0,0,0,0,0,0,0
2024-11-01 19:15,9,3,0,1,0,3,2,0,0,0,0,0,0,0
2024-11-01 19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 19:45,7,5,0,0,0,0,2,0,0,0,0,0,0,0
2024-11-01 20:00,4,2,0,0,0,1,1,0,0,0,0,0,0,0
2024-11-01 20:15,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:30,3,1,1,0,0,0,1,0,0,0,0,0,0,0
2024-11-01 20:45,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 21:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-11-01 21:15,8,1,1,2,0,2,2,0,0,0,0,0,0,0
2024-11-01 21:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 21:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 22:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 22:15,4,1,0,0,0,2,1,0,0,0,0,0,0,0
2024-11-01 22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 22:45,9,5,0,1,1,1,1,0,0,0,0,0,0,0
2024-11-01 23:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 23:15,3,0,0,1,0,1,1,0,0,0,0,0,0,0
2024-11-01 23:30,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-11-01 23:45,5,1,0,0,0,3,1,0,0,0,0,0,0,0
