Datetime,100034983 (Warendorfer Straße),101034983 (Warendorfer Straße stadteinwärts),102034983 (Warendorfer Straße stadtauswärts),100034983-status,101034983-status,102034983-status
2025-05-01 00:00,32,17,15,0,0,0
2025-05-01 00:15,38,14,24,0,0,0
2025-05-01 00:30,38,12,26,0,0,0
2025-05-01 00:45,31,7,24,0,0,0
2025-05-01 01:00,28,8,20,0,0,0
2025-05-01 01:15,18,6,12,0,0,0
2025-05-01 01:30,19,0,19,0,0,0
2025-05-01 01:45,25,4,21,0,0,0
2025-05-01 02:00,14,2,12,0,0,0
2025-05-01 02:15,16,4,12,0,0,0
2025-05-01 02:30,16,4,12,0,0,0
2025-05-01 02:45,10,3,7,0,0,0
2025-05-01 03:00,10,0,10,0,0,0
2025-05-01 03:15,6,0,6,0,0,0
2025-05-01 03:30,5,2,3,0,0,0
2025-05-01 03:45,2,0,2,0,0,0
2025-05-01 04:00,7,1,6,0,0,0
2025-05-01 04:15,0,0,0,0,0,0
2025-05-01 04:30,1,0,1,0,0,0
2025-05-01 04:45,5,3,2,0,0,0
2025-05-01 05:00,2,1,1,0,0,0
2025-05-01 05:15,0,0,0,0,0,0
2025-05-01 05:30,4,2,2,0,0,0
2025-05-01 05:45,5,1,4,0,0,0
2025-05-01 06:00,1,1,0,0,0,0
2025-05-01 06:15,7,5,2,0,0,0
2025-05-01 06:30,3,2,1,0,0,0
2025-05-01 06:45,6,4,2,0,0,0
2025-05-01 07:00,4,3,1,0,0,0
2025-05-01 07:15,3,2,1,0,0,0
2025-05-01 07:30,8,4,4,0,0,0
2025-05-01 07:45,16,9,7,0,0,0
2025-05-01 08:00,5,2,3,0,0,0
2025-05-01 08:15,11,8,3,0,0,0
2025-05-01 08:30,20,11,9,0,0,0
2025-05-01 08:45,22,13,9,0,0,0
2025-05-01 09:00,29,12,17,0,0,0
2025-05-01 09:15,35,21,14,0,0,0
2025-05-01 09:30,28,20,8,0,0,0
2025-05-01 09:45,40,23,17,0,0,0
2025-05-01 10:00,37,22,15,0,0,0
2025-05-01 10:15,49,20,29,0,0,0
2025-05-01 10:30,59,33,26,0,0,0
2025-05-01 10:45,62,29,33,0,0,0
2025-05-01 11:00,86,46,40,0,0,0
2025-05-01 11:15,61,29,32,0,0,0
2025-05-01 11:30,76,41,35,0,0,0
2025-05-01 11:45,106,70,36,0,0,0
2025-05-01 12:00,92,45,47,0,0,0
2025-05-01 12:15,71,29,42,0,0,0
2025-05-01 12:30,92,51,41,0,0,0
2025-05-01 12:45,102,60,42,0,0,0
2025-05-01 13:00,93,55,38,0,0,0
