Datetime,100034983 (Warendorfer Straße),101034983 (Warendorfer Straße stadteinwärts),102034983 (Warendorfer Straße stadtauswärts),100034983-status,101034983-status,102034983-status
2022-08-01 00:00,7,5,2,0,0,0
2022-08-01 00:15,3,1,2,0,0,0
2022-08-01 00:30,4,3,1,0,0,0
2022-08-01 00:45,2,0,2,0,0,0
2022-08-01 01:00,5,3,2,0,0,0
2022-08-01 01:15,0,0,0,0,0,0
2022-08-01 01:30,0,0,0,0,0,0
2022-08-01 01:45,1,1,0,0,0,0
2022-08-01 02:00,1,1,0,0,0,0
2022-08-01 02:15,0,0,0,0,0,0
2022-08-01 02:30,0,0,0,0,0,0
2022-08-01 02:45,0,0,0,0,0,0
2022-08-01 03:00,0,0,0,0,0,0
2022-08-01 03:15,1,1,0,0,0,0
2022-08-01 03:30,0,0,0,0,0,0
2022-08-01 03:45,1,1,0,0,0,0
2022-08-01 04:00,0,0,0,0,0,0
2022-08-01 04:15,3,2,1,0,0,0
2022-08-01 04:30,1,0,1,0,0,0
2022-08-01 04:45,1,1,0,0,0,0
2022-08-01 05:00,3,1,2,0,0,0
2022-08-01 05:15,9,7,2,0,0,0
2022-08-01 05:30,12,8,4,0,0,0
2022-08-01 05:45,24,13,11,0,0,0
2022-08-01 06:00,16,12,4,0,0,0
2022-08-01 06:15,27,18,9,0,0,0
2022-08-01 06:30,42,24,18,0,0,0
2022-08-01 06:45,69,43,26,0,0,0
2022-08-01 07:00,69,45,24,0,0,0
2022-08-01 07:15,88,57,31,0,0,0
2022-08-01 07:30,108,80,28,0,0,0
2022-08-01 07:45,127,93,34,0,0,0
2022-08-01 08:00,107,79,28,0,0,0
2022-08-01 08:15,89,64,25,0,0,0
2022-08-01 08:30,87,62,25,0,0,0
2022-08-01 08:45,82,48,34,0,0,0
2022-08-01 09:00,63,42,21,0,0,0
2022-08-01 09:15,62,48,14,0,0,0
2022-08-01 09:30,81,64,17,0,0,0
2022-08-01 09:45,100,69,31,0,0,0
2022-08-01 10:00,62,44,18,0,0,0
2022-08-01 10:15,54,40,14,0,0,0
2022-08-01 10:30,49,34,15,0,0,0
2022-08-01 10:45,80,60,20,0,0,0
2022-08-01 11:00,66,43,23,0,0,0
2022-08-01 11:15,69,42,27,0,0,0
2022-08-01 11:30,77,55,22,0,0,0
2022-08-01 11:45,49,31,18,0,0,0
2022-08-01 12:00,56,31,25,0,0,0
2022-08-01 12:15,55,37,18,0,0,0
2022-08-01 12:30,52,27,25,0,0,0
2022-08-01 12:45,70,45,25,0,0,0
2022-08-01 13:00,55,32,23,0,0,0
2022-08-01 13:15,75,46,29,0,0,0
2022-08-01 13:30,63,41,22,0,0,0
2022-08-01 13:45,91,61,30,0,0,0
2022-08-01 14:00,61,28,33,0,0,0
2022-08-01 14:15,79,52,27,0,0,0
2022-08-01 14:30,96,60,36,0,0,0
2022-08-01 14:45,111,68,43,0,0,0
2022-08-01 15:00,114,61,53,0,0,0
2022-08-01 15:15,114,69,45,0,0,0
2022-08-01 15:30,116,74,42,0,0,0
2022-08-01 15:45,131,82,49,0,0,0
2022-08-01 16:00,135,84,51,0,0,0
2022-08-01 16:15,139,77,62,0,0,0
2022-08-01 16:30,159,99,60,0,0,0
2022-08-01 16:45,168,104,64,0,0,0
2022-08-01 17:00,186,102,84,0,0,0
2022-08-01 17:15,158,74,84,0,0,0
2022-08-01 17:30,136,76,60,0,0,0
2022-08-01 17:45,143,82,61,0,0,0
2022-08-01 18:00,120,53,67,0,0,0
2022-08-01 18:15,134,62,72,0,0,0
2022-08-01 18:30,111,66,45,0,0,0
2022-08-01 18:45,106,56,50,0,0,0
2022-08-01 19:00,105,43,62,0,0,0
2022-08-01 19:15,70,41,29,0,0,0
2022-08-01 19:30,88,58,30,0,0,0
2022-08-01 19:45,90,52,38,0,0,0
2022-08-01 20:00,65,30,35,0,0,0
2022-08-01 20:15,60,29,31,0,0,0
2022-08-01 20:30,63,20,43,0,0,0
2022-08-01 20:45,39,22,17,0,0,0
2022-08-01 21:00,34,21,13,0,0,0
2022-08-01 21:15,44,28,16,0,0,0
2022-08-01 21:30,38,19,19,0,0,0
2022-08-01 21:45,56,28,28,0,0,0
2022-08-01 22:00,36,21,15,0,0,0
2022-08-01 22:15,21,14,7,0,0,0
2022-08-01 22:30,39,14,25,0,0,0
2022-08-01 22:45,24,8,16,0,0,0
2022-08-01 23:00,24,10,14,0,0,0
2022-08-01 23:15,21,13,8,0,0,0
2022-08-01 23:30,16,9,7,0,0,0
2022-08-01 23:45,9,2,7,0,0,0
