Datetime,100034983 (Warendorfer Straße),101034983 (Warendorfer Straße stadteinwärts),102034983 (Warendorfer Straße stadtauswärts),100034983-status,101034983-status,102034983-status
2021-08-01 00:00,25,16,9,0,0,0
2021-08-01 00:15,25,9,16,0,0,0
2021-08-01 00:30,23,7,16,0,0,0
2021-08-01 00:45,10,4,6,0,0,0
2021-08-01 01:00,20,8,12,0,0,0
2021-08-01 01:15,15,4,11,0,0,0
2021-08-01 01:30,12,2,10,0,0,0
2021-08-01 01:45,19,9,10,0,0,0
2021-08-01 02:00,8,3,5,0,0,0
2021-08-01 02:15,11,0,11,0,0,0
2021-08-01 02:30,22,3,19,0,0,0
2021-08-01 02:45,12,3,9,0,0,0
2021-08-01 03:00,4,2,2,0,0,0
2021-08-01 03:15,6,1,5,0,0,0
2021-08-01 03:30,11,2,9,0,0,0
2021-08-01 03:45,7,5,2,0,0,0
2021-08-01 04:00,3,1,2,0,0,0
2021-08-01 04:15,6,1,5,0,0,0
2021-08-01 04:30,4,2,2,0,0,0
2021-08-01 04:45,6,1,5,0,0,0
2021-08-01 05:00,5,2,3,0,0,0
2021-08-01 05:15,6,6,0,0,0,0
2021-08-01 05:30,7,1,6,0,0,0
2021-08-01 05:45,3,1,2,0,0,0
2021-08-01 06:00,5,4,1,0,0,0
2021-08-01 06:15,8,3,5,0,0,0
2021-08-01 06:30,7,5,2,0,0,0
2021-08-01 06:45,10,7,3,0,0,0
2021-08-01 07:00,4,3,1,0,0,0
2021-08-01 07:15,5,1,4,0,0,0
2021-08-01 07:30,7,4,3,0,0,0
2021-08-01 07:45,13,10,3,0,0,0
2021-08-01 08:00,12,8,4,0,0,0
2021-08-01 08:15,11,10,1,0,0,0
2021-08-01 08:30,13,11,2,0,0,0
2021-08-01 08:45,16,9,7,0,0,0
2021-08-01 09:00,18,14,4,0,0,0
2021-08-01 09:15,17,9,8,0,0,0
2021-08-01 09:30,32,20,12,0,0,0
2021-08-01 09:45,51,34,17,0,0,0
2021-08-01 10:00,32,20,12,0,0,0
2021-08-01 10:15,38,25,13,0,0,0
2021-08-01 10:30,38,19,19,0,0,0
2021-08-01 10:45,43,33,10,0,0,0
2021-08-01 11:00,42,26,16,0,0,0
2021-08-01 11:15,50,31,19,0,0,0
2021-08-01 11:30,52,38,14,0,0,0
2021-08-01 11:45,53,31,22,0,0,0
2021-08-01 12:00,50,33,17,0,0,0
2021-08-01 12:15,58,40,18,0,0,0
2021-08-01 12:30,44,22,22,0,0,0
2021-08-01 12:45,47,32,15,0,0,0
2021-08-01 13:00,62,46,16,0,0,0
2021-08-01 13:15,76,46,30,0,0,0
2021-08-01 13:30,64,32,32,0,0,0
2021-08-01 13:45,69,45,24,0,0,0
2021-08-01 14:00,80,58,22,0,0,0
2021-08-01 14:15,80,61,19,0,0,0
2021-08-01 14:30,67,37,30,0,0,0
2021-08-01 14:45,49,26,23,0,0,0
2021-08-01 15:00,92,62,30,0,0,0
2021-08-01 15:15,80,53,27,0,0,0
2021-08-01 15:30,60,38,22,0,0,0
2021-08-01 15:45,82,56,26,0,0,0
2021-08-01 16:00,47,30,17,0,0,0
2021-08-01 16:15,69,50,19,0,0,0
2021-08-01 16:30,93,60,33,0,0,0
2021-08-01 16:45,77,47,30,0,0,0
2021-08-01 17:00,38,20,18,0,0,0
2021-08-01 17:15,27,17,10,0,0,0
2021-08-01 17:30,78,46,32,0,0,0
2021-08-01 17:45,78,43,35,0,0,0
2021-08-01 18:00,57,25,32,0,0,0
2021-08-01 18:15,52,42,10,0,0,0
2021-08-01 18:30,33,13,20,0,0,0
2021-08-01 18:45,58,42,16,0,0,0
2021-08-01 19:00,58,44,14,0,0,0
2021-08-01 19:15,55,31,24,0,0,0
2021-08-01 19:30,27,18,9,0,0,0
2021-08-01 19:45,35,26,9,0,0,0
2021-08-01 20:00,36,27,9,0,0,0
2021-08-01 20:15,30,17,13,0,0,0
2021-08-01 20:30,24,11,13,0,0,0
2021-08-01 20:45,29,21,8,0,0,0
2021-08-01 21:00,24,10,14,0,0,0
2021-08-01 21:15,24,11,13,0,0,0
2021-08-01 21:30,28,13,15,0,0,0
2021-08-01 21:45,28,19,9,0,0,0
2021-08-01 22:00,12,8,4,0,0,0
2021-08-01 22:15,19,12,7,0,0,0
2021-08-01 22:30,26,11,15,0,0,0
2021-08-01 22:45,17,10,7,0,0,0
2021-08-01 23:00,8,5,3,0,0,0
2021-08-01 23:15,6,2,4,0,0,0
2021-08-01 23:30,12,6,6,0,0,0
2021-08-01 23:45,6,1,5,0,0,0
