Datetime,300037925 (Goldstraße),353413828 (Goldstraße [Bike Stadteinwärts]),353413829 (Goldstraße [Bike Stadtauswärts]),300037925-status,353413828-status,353413829-status
2024-07-01 00:00,0,0,0,0,0,0
2024-07-01 00:15,0,0,0,0,0,0
2024-07-01 00:30,0,0,0,0,0,0
2024-07-01 00:45,0,0,0,0,0,0
2024-07-01 01:00,0,0,0,0,0,0
2024-07-01 01:15,2,0,2,0,0,0
2024-07-01 01:30,0,0,0,0,0,0
2024-07-01 01:45,1,0,1,0,0,0
2024-07-01 02:00,0,0,0,0,0,0
2024-07-01 02:15,0,0,0,0,0,0
2024-07-01 02:30,0,0,0,0,0,0
2024-07-01 02:45,0,0,0,0,0,0
2024-07-01 03:00,0,0,0,0,0,0
2024-07-01 03:15,0,0,0,0,0,0
2024-07-01 03:30,0,0,0,0,0,0
2024-07-01 03:45,0,0,0,0,0,0
2024-07-01 04:00,0,0,0,0,0,0
2024-07-01 04:15,0,0,0,0,0,0
2024-07-01 04:30,0,0,0,0,0,0
2024-07-01 04:45,1,1,0,0,0,0
2024-07-01 05:00,1,1,0,0,0,0
2024-07-01 05:15,2,2,0,0,0,0
2024-07-01 05:30,2,1,1,0,0,0
2024-07-01 05:45,6,6,0,0,0,0
2024-07-01 06:00,3,2,1,0,0,0
2024-07-01 06:15,6,6,0,0,0,0
2024-07-01 06:30,2,1,1,0,0,0
2024-07-01 06:45,16,15,1,0,0,0
2024-07-01 07:00,18,14,4,0,0,0
2024-07-01 07:15,39,37,2,0,0,0
2024-07-01 07:30,49,47,2,0,0,0
2024-07-01 07:45,51,37,14,0,0,0
2024-07-01 08:00,35,28,7,0,0,0
2024-07-01 08:15,27,22,5,0,0,0
2024-07-01 08:30,23,21,2,0,0,0
2024-07-01 08:45,33,25,8,0,0,0
2024-07-01 09:00,17,12,5,0,0,0
2024-07-01 09:15,15,12,3,0,0,0
2024-07-01 09:30,22,16,6,0,0,0
2024-07-01 09:45,20,18,2,0,0,0
2024-07-01 10:00,22,11,11,0,0,0
2024-07-01 10:15,22,15,7,0,0,0
2024-07-01 10:30,23,13,10,0,0,0
2024-07-01 10:45,21,16,5,0,0,0
2024-07-01 11:00,19,13,6,0,0,0
2024-07-01 11:15,23,15,8,0,0,0
2024-07-01 11:30,29,20,9,0,0,0
2024-07-01 11:45,33,24,9,0,0,0
2024-07-01 12:00,16,9,7,0,0,0
2024-07-01 12:15,22,15,7,0,0,0
2024-07-01 12:30,35,16,19,0,0,0
2024-07-01 12:45,29,9,20,0,0,0
2024-07-01 13:00,34,14,20,0,0,0
2024-07-01 13:15,31,16,15,0,0,0
2024-07-01 13:30,29,11,18,0,0,0
2024-07-01 13:45,22,14,8,0,0,0
2024-07-01 14:00,18,3,15,0,0,0
2024-07-01 14:15,13,5,8,0,0,0
2024-07-01 14:30,22,13,9,0,0,0
2024-07-01 14:45,32,19,13,0,0,0
2024-07-01 15:00,13,5,8,0,0,0
2024-07-01 15:15,7,2,5,0,0,0
2024-07-01 15:30,27,12,15,0,0,0
2024-07-01 15:45,31,20,11,0,0,0
2024-07-01 16:00,29,16,13,0,0,0
2024-07-01 16:15,33,16,17,0,0,0
2024-07-01 16:30,26,9,17,0,0,0
2024-07-01 16:45,23,11,12,0,0,0
2024-07-01 17:00,33,11,22,0,0,0
2024-07-01 17:15,25,13,12,0,0,0
2024-07-01 17:30,27,12,15,0,0,0
2024-07-01 17:45,25,10,15,0,0,0
2024-07-01 18:00,44,12,32,0,0,0
2024-07-01 18:15,30,12,18,0,0,0
2024-07-01 18:30,27,6,21,0,0,0
2024-07-01 18:45,16,7,9,0,0,0
2024-07-01 19:00,13,5,8,0,0,0
2024-07-01 19:15,19,12,7,0,0,0
2024-07-01 19:30,14,4,10,0,0,0
2024-07-01 19:45,8,6,2,0,0,0
2024-07-01 20:00,13,3,10,0,0,0
2024-07-01 20:15,12,6,6,0,0,0
2024-07-01 20:30,7,3,4,0,0,0
2024-07-01 20:45,6,0,6,0,0,0
2024-07-01 21:00,3,0,3,0,0,0
2024-07-01 21:15,4,2,2,0,0,0
2024-07-01 21:30,8,2,6,0,0,0
2024-07-01 21:45,3,1,2,0,0,0
2024-07-01 22:00,2,0,2,0,0,0
2024-07-01 22:15,7,2,5,0,0,0
2024-07-01 22:30,5,1,4,0,0,0
2024-07-01 22:45,2,0,2,0,0,0
2024-07-01 23:00,1,0,1,0,0,0
2024-07-01 23:15,3,1,2,0,0,0
2024-07-01 23:30,2,0,2,0,0,0
2024-07-01 23:45,2,0,2,0,0,0
2024-07-02 00:00,1,0,1,0,0,0
2024-07-02 00:15,2,0,2,0,0,0
2024-07-02 00:30,2,0,2,0,0,0
2024-07-02 00:45,0,0,0,0,0,0
2024-07-02 01:00,0,0,0,0,0,0
2024-07-02 01:15,0,0,0,0,0,0
2024-07-02 01:30,1,0,1,0,0,0
2024-07-02 01:45,0,0,0,0,0,0
2024-07-02 02:00,1,0,1,0,0,0
2024-07-02 02:15,0,0,0,0,0,0
2024-07-02 02:30,0,0,0,0,0,0
2024-07-02 02:45,0,0,0,0,0,0
2024-07-02 03:00,0,0,0,0,0,0
2024-07-02 03:15,0,0,0,0,0,0
2024-07-02 03:30,0,0,0,0,0,0
2024-07-02 03:45,0,0,0,0,0,0
2024-07-02 04:00,0,0,0,0,0,0
2024-07-02 04:15,0,0,0,0,0,0
2024-07-02 04:30,1,1,0,0,0,0
2024-07-02 04:45,0,0,0,0,0,0
2024-07-02 05:00,2,2,0,0,0,0
2024-07-02 05:15,2,1,1,0,0,0
2024-07-02 05:30,4,4,0,0,0,0
2024-07-02 05:45,4,3,1,0,0,0
2024-07-02 06:00,8,6,2,0,0,0
2024-07-02 06:15,10,9,1,0,0,0
2024-07-02 06:30,8,7,1,0,0,0
2024-07-02 06:45,18,14,4,0,0,0
2024-07-02 07:00,21,19,2,0,0,0
2024-07-02 07:15,27,26,1,0,0,0
2024-07-02 07:30,42,40,2,0,0,0
2024-07-02 07:45,52,44,8,0,0,0
2024-07-02 08:00,30,25,5,0,0,0
2024-07-02 08:15,22,15,7,0,0,0
2024-07-02 08:30,26,22,4,0,0,0
2024-07-02 08:45,25,18,7,0,0,0
2024-07-02 09:00,16,13,3,0,0,0
2024-07-02 09:15,14,8,6,0,0,0
2024-07-02 09:30,20,17,3,0,0,0
2024-07-02 09:45,31,14,17,0,0,0
2024-07-02 10:00,18,14,4,0,0,0
2024-07-02 10:15,13,9,4,0,0,0
2024-07-02 10:30,12,5,7,0,0,0
2024-07-02 10:45,13,9,4,0,0,0
2024-07-02 11:00,7,2,5,0,0,0
2024-07-02 11:15,18,11,7,0,0,0
2024-07-02 11:30,23,16,7,0,0,0
2024-07-02 11:45,18,12,6,0,0,0
2024-07-02 12:00,9,4,5,0,0,0
2024-07-02 12:15,16,6,10,0,0,0
2024-07-02 12:30,13,6,7,0,0,0
2024-07-02 12:45,14,4,10,0,0,0
2024-07-02 13:00,41,17,24,0,0,0
2024-07-02 13:15,16,7,9,0,0,0
2024-07-02 13:30,26,16,10,0,0,0
2024-07-02 13:45,20,12,8,0,0,0
2024-07-02 14:00,33,16,17,0,0,0
2024-07-02 14:15,24,12,12,0,0,0
2024-07-02 14:30,28,16,12,0,0,0
2024-07-02 14:45,35,23,12,0,0,0
2024-07-02 15:00,20,9,11,0,0,0
2024-07-02 15:15,36,23,13,0,0,0
2024-07-02 15:30,27,12,15,0,0,0
2024-07-02 15:45,29,13,16,0,0,0
2024-07-02 16:00,45,20,25,0,0,0
2024-07-02 16:15,25,9,16,0,0,0
2024-07-02 16:30,22,11,11,0,0,0
2024-07-02 16:45,26,15,11,0,0,0
2024-07-02 17:00,43,24,19,0,0,0
2024-07-02 17:15,36,17,19,0,0,0
2024-07-02 17:30,41,18,23,0,0,0
2024-07-02 17:45,48,24,24,0,0,0
2024-07-02 18:00,45,14,31,0,0,0
2024-07-02 18:15,31,11,20,0,0,0
2024-07-02 18:30,21,7,14,0,0,0
2024-07-02 18:45,32,15,17,0,0,0
2024-07-02 19:00,25,15,10,0,0,0
2024-07-02 19:15,23,13,10,0,0,0
2024-07-02 19:30,13,3,10,0,0,0
2024-07-02 19:45,21,13,8,0,0,0
2024-07-02 20:00,16,10,6,0,0,0
2024-07-02 20:15,11,5,6,0,0,0
2024-07-02 20:30,7,4,3,0,0,0
2024-07-02 20:45,15,8,7,0,0,0
2024-07-02 21:00,12,4,8,0,0,0
2024-07-02 21:15,4,2,2,0,0,0
2024-07-02 21:30,5,1,4,0,0,0
2024-07-02 21:45,4,1,3,0,0,0
2024-07-02 22:00,10,1,9,0,0,0
2024-07-02 22:15,10,2,8,0,0,0
2024-07-02 22:30,9,1,8,0,0,0
2024-07-02 22:45,6,2,4,0,0,0
2024-07-02 23:00,9,5,4,0,0,0
2024-07-02 23:15,1,0,1,0,0,0
2024-07-02 23:30,5,1,4,0,0,0
2024-07-02 23:45,5,2,3,0,0,0
2024-07-03 00:00,0,0,0,0,0,0
2024-07-03 00:15,0,0,0,0,0,0
2024-07-03 00:30,0,0,0,0,0,0
2024-07-03 00:45,1,0,1,0,0,0
2024-07-03 01:00,0,0,0,0,0,0
2024-07-03 01:15,0,0,0,0,0,0
