Datetime,300037925 (Goldstraße),353413828 (Goldstraße Fahrräder Stadteinwärts),353413829 (Goldstraße Fahrräder Stadtauswärts),300037925-status,353413828-status,353413829-status
2025-08-01 00:00,3,1,2,0,0,0
2025-08-01 00:15,1,0,1,0,0,0
2025-08-01 00:30,3,2,1,0,0,0
2025-08-01 00:45,1,0,1,0,0,0
2025-08-01 01:00,1,0,1,0,0,0
2025-08-01 01:15,0,0,0,0,0,0
2025-08-01 01:30,0,0,0,0,0,0
2025-08-01 01:45,0,0,0,0,0,0
2025-08-01 02:00,0,0,0,0,0,0
2025-08-01 02:15,1,0,1,0,0,0
2025-08-01 02:30,0,0,0,0,0,0
2025-08-01 02:45,0,0,0,0,0,0
2025-08-01 03:00,0,0,0,0,0,0
2025-08-01 03:15,0,0,0,0,0,0
2025-08-01 03:30,0,0,0,0,0,0
2025-08-01 03:45,1,1,0,0,0,0
2025-08-01 04:00,0,0,0,0,0,0
2025-08-01 04:15,0,0,0,0,0,0
2025-08-01 04:30,0,0,0,0,0,0
2025-08-01 04:45,1,1,0,0,0,0
2025-08-01 05:00,2,2,0,0,0,0
2025-08-01 05:15,2,2,0,0,0,0
2025-08-01 05:30,1,1,0,0,0,0
2025-08-01 05:45,3,3,0,0,0,0
2025-08-01 06:00,4,4,0,0,0,0
2025-08-01 06:15,4,4,0,0,0,0
2025-08-01 06:30,10,9,1,0,0,0
2025-08-01 06:45,8,8,0,0,0,0
2025-08-01 07:00,20,14,6,0,0,0
2025-08-01 07:15,15,12,3,0,0,0
2025-08-01 07:30,23,20,3,0,0,0
2025-08-01 07:45,20,15,5,0,0,0
2025-08-01 08:00,17,14,3,0,0,0
2025-08-01 08:15,17,15,2,0,0,0
2025-08-01 08:30,22,16,6,0,0,0
2025-08-01 08:45,21,18,3,0,0,0
2025-08-01 09:00,23,21,2,0,0,0
2025-08-01 09:15,24,14,10,0,0,0
2025-08-01 09:30,13,10,3,0,0,0
2025-08-01 09:45,39,34,5,0,0,0
2025-08-01 10:00,15,11,4,0,0,0
2025-08-01 10:15,11,8,3,0,0,0
2025-08-01 10:30,18,10,8,0,0,0
2025-08-01 10:45,18,11,7,0,0,0
2025-08-01 11:00,19,10,9,0,0,0
2025-08-01 11:15,20,13,7,0,0,0
2025-08-01 11:30,43,24,19,0,0,0
2025-08-01 11:45,22,15,7,0,0,0
2025-08-01 12:00,15,10,5,0,0,0
2025-08-01 12:15,28,13,15,0,0,0
