Datetime,300037925 (Goldstraße),353413828 (Goldstraße Fahrräder Stadteinwärts),353413829 (Goldstraße Fahrräder Stadtauswärts),300037925-status,353413828-status,353413829-status
2026-05-01 00:00,2,0,2,0,0,0
2026-05-01 00:15,3,1,2,0,0,0
2026-05-01 00:30,13,5,8,0,0,0
2026-05-01 00:45,5,1,4,0,0,0
2026-05-01 01:00,6,3,3,0,0,0
2026-05-01 01:15,7,3,4,0,0,0
2026-05-01 01:30,1,0,1,0,0,0
2026-05-01 01:45,0,0,0,0,0,0
2026-05-01 02:00,0,0,0,0,0,0
2026-05-01 02:15,0,0,0,0,0,0
2026-05-01 02:30,0,0,0,0,0,0
2026-05-01 02:45,0,0,0,0,0,0
2026-05-01 03:00,0,0,0,0,0,0
2026-05-01 03:15,0,0,0,0,0,0
2026-05-01 03:30,0,0,0,0,0,0
2026-05-01 03:45,0,0,0,0,0,0
2026-05-01 04:00,0,0,0,0,0,0
2026-05-01 04:15,0,0,0,0,0,0
2026-05-01 04:30,0,0,0,0,0,0
2026-05-01 04:45,0,0,0,0,0,0
2026-05-01 05:00,0,0,0,0,0,0
2026-05-01 05:15,0,0,0,0,0,0
2026-05-01 05:30,0,0,0,0,0,0
2026-05-01 05:45,0,0,0,0,0,0
2026-05-01 06:00,0,0,0,0,0,0
2026-05-01 06:15,0,0,0,0,0,0
2026-05-01 06:30,0,0,0,0,0,0
2026-05-01 06:45,0,0,0,0,0,0
2026-05-01 07:00,0,0,0,0,0,0
2026-05-01 07:15,0,0,0,0,0,0
2026-05-01 07:30,0,0,0,0,0,0
2026-05-01 07:45,0,0,0,0,0,0
2026-05-01 08:00,0,0,0,0,0,0
2026-05-01 08:15,0,0,0,0,0,0
2026-05-01 08:30,0,0,0,0,0,0
2026-05-01 08:45,0,0,0,0,0,0
2026-05-01 09:00,0,0,0,0,0,0
2026-05-01 09:15,0,0,0,0,0,0
2026-05-01 09:30,0,0,0,0,0,0
2026-05-01 09:45,0,0,0,0,0,0
2026-05-01 10:00,0,0,0,0,0,0
2026-05-01 10:15,0,0,0,0,0,0
2026-05-01 10:30,0,0,0,0,0,0
2026-05-01 10:45,0,0,0,0,0,0
2026-05-01 11:00,0,0,0,0,0,0
2026-05-01 11:15,0,0,0,0,0,0
2026-05-01 11:30,3,3,0,0,0,0
2026-05-01 11:45,27,10,17,0,0,0
2026-05-01 12:00,32,22,10,0,0,0
2026-05-01 12:15,21,10,11,0,0,0
2026-05-01 12:30,40,22,18,0,0,0
2026-05-01 12:45,18,10,8,0,0,0
2026-05-01 13:00,12,5,7,0,0,0
2026-05-01 13:15,0,0,0,0,0,0
2026-05-01 13:30,14,14,0,0,0,0
2026-05-01 13:45,19,9,10,0,0,0
2026-05-01 14:00,23,13,10,0,0,0
2026-05-01 14:15,40,15,25,0,0,0
2026-05-01 14:30,27,17,10,0,0,0
2026-05-01 14:45,35,26,9,0,0,0
2026-05-01 15:00,28,21,7,0,0,0
2026-05-01 15:15,31,22,9,0,0,0
2026-05-01 15:30,33,27,6,0,0,0
2026-05-01 15:45,16,9,7,0,0,0
2026-05-01 16:00,27,17,10,0,0,0
2026-05-01 16:15,19,12,7,0,0,0
2026-05-01 16:30,24,20,4,0,0,0
2026-05-01 16:45,37,28,9,0,0,0
2026-05-01 17:00,34,17,17,0,0,0
2026-05-01 17:15,20,12,8,0,0,0
2026-05-01 17:30,19,10,9,0,0,0
2026-05-01 17:45,24,13,11,0,0,0
2026-05-01 18:00,28,22,6,0,0,0
2026-05-01 18:15,17,11,6,0,0,0
2026-05-01 18:30,22,9,13,0,0,0
2026-05-01 18:45,12,7,5,0,0,0
2026-05-01 19:00,16,4,12,0,0,0
2026-05-01 19:15,22,7,15,0,0,0
2026-05-01 19:30,20,9,11,0,0,0
2026-05-01 19:45,20,18,2,0,0,0
2026-05-01 20:00,22,15,7,0,0,0
2026-05-01 20:15,10,4,6,0,0,0
2026-05-01 20:30,22,14,8,0,0,0
2026-05-01 20:45,21,11,10,0,0,0
2026-05-01 21:00,12,11,1,0,0,0
2026-05-01 21:15,14,8,6,0,0,0
2026-05-01 21:30,6,2,4,0,0,0
2026-05-01 21:45,11,1,10,0,0,0
2026-05-01 22:00,10,7,3,0,0,0
2026-05-01 22:15,5,3,2,0,0,0
2026-05-01 22:30,4,1,3,0,0,0
2026-05-01 22:45,8,1,7,0,0,0
2026-05-01 23:00,4,1,3,0,0,0
2026-05-01 23:15,4,1,3,0,0,0
2026-05-01 23:30,6,5,1,0,0,0
2026-05-01 23:45,8,2,6,0,0,0
2026-05-02 00:00,2,0,2,0,0,0
2026-05-02 00:15,0,0,0,0,0,0
2026-05-02 00:30,1,0,1,0,0,0
2026-05-02 00:45,1,1,0,0,0,0
2026-05-02 01:00,2,1,1,0,0,0
2026-05-02 01:15,0,0,0,0,0,0
2026-05-02 01:30,6,0,6,0,0,0
2026-05-02 01:45,0,0,0,0,0,0
