Datetime,300037928 (Kinderhauser Str.),353413835 (Kinderhauser Str. Fahrräder Stadteinwärts),353413836 (Kinderhauser Str. Fahrräder Stadtauswärts),300037928-status,353413835-status,353413836-status
2025-08-01 00:00,1,0,1,0,0,0
2025-08-01 00:15,1,0,1,0,0,0
2025-08-01 00:30,1,0,1,0,0,0
2025-08-01 00:45,1,0,1,0,0,0
2025-08-01 01:00,0,0,0,0,0,0
2025-08-01 01:15,1,1,0,0,0,0
2025-08-01 01:30,2,0,2,0,0,0
2025-08-01 01:45,0,0,0,0,0,0
2025-08-01 02:00,0,0,0,0,0,0
2025-08-01 02:15,1,0,1,0,0,0
2025-08-01 02:30,1,1,0,0,0,0
2025-08-01 02:45,0,0,0,0,0,0
2025-08-01 03:00,0,0,0,0,0,0
2025-08-01 03:15,0,0,0,0,0,0
2025-08-01 03:30,1,0,1,0,0,0
2025-08-01 03:45,2,1,1,0,0,0
2025-08-01 04:00,0,0,0,0,0,0
2025-08-01 04:15,0,0,0,0,0,0
2025-08-01 04:30,2,2,0,0,0,0
2025-08-01 04:45,0,0,0,0,0,0
2025-08-01 05:00,5,4,1,0,0,0
2025-08-01 05:15,3,1,2,0,0,0
2025-08-01 05:30,7,5,2,0,0,0
2025-08-01 05:45,1,0,1,0,0,0
2025-08-01 06:00,6,5,1,0,0,0
2025-08-01 06:15,16,15,1,0,0,0
2025-08-01 06:30,10,8,2,0,0,0
2025-08-01 06:45,19,3,16,0,0,0
2025-08-01 07:00,11,4,7,0,0,0
2025-08-01 07:15,8,6,2,0,0,0
2025-08-01 07:30,20,9,11,0,0,0
2025-08-01 07:45,18,13,5,0,0,0
2025-08-01 08:00,19,11,8,0,0,0
2025-08-01 08:15,21,14,7,0,0,0
2025-08-01 08:30,6,2,4,0,0,0
2025-08-01 08:45,14,10,4,0,0,0
2025-08-01 09:00,18,8,10,0,0,0
2025-08-01 09:15,7,4,3,0,0,0
2025-08-01 09:30,15,11,4,0,0,0
2025-08-01 09:45,22,14,8,0,0,0
2025-08-01 10:00,12,9,3,0,0,0
2025-08-01 10:15,13,5,8,0,0,0
2025-08-01 10:30,14,5,9,0,0,0
2025-08-01 10:45,17,9,8,0,0,0
2025-08-01 11:00,8,4,4,0,0,0
2025-08-01 11:15,18,12,6,0,0,0
2025-08-01 11:30,18,5,13,0,0,0
2025-08-01 11:45,21,10,11,0,0,0
2025-08-01 12:00,9,7,2,0,0,0
2025-08-01 12:15,16,9,7,0,0,0
2025-08-01 12:30,14,5,9,0,0,0
2025-08-01 12:45,12,6,6,0,0,0
2025-08-01 13:00,13,3,10,0,0,0
2025-08-01 13:15,7,4,3,0,0,0
2025-08-01 13:30,13,4,9,0,0,0
2025-08-01 13:45,16,4,12,0,0,0
2025-08-01 14:00,21,7,14,0,0,0
2025-08-01 14:15,24,15,9,0,0,0
2025-08-01 14:30,19,9,10,0,0,0
2025-08-01 14:45,2,0,2,0,0,0
2025-08-01 15:00,18,4,14,0,0,0
2025-08-01 15:15,15,10,5,0,0,0
2025-08-01 15:30,6,3,3,0,0,0
2025-08-01 15:45,11,6,5,0,0,0
2025-08-01 16:00,13,8,5,0,0,0
2025-08-01 16:15,9,4,5,0,0,0
2025-08-01 16:30,15,5,10,0,0,0
2025-08-01 16:45,10,3,7,0,0,0
2025-08-01 17:00,16,9,7,0,0,0
2025-08-01 17:15,11,6,5,0,0,0
2025-08-01 17:30,15,5,10,0,0,0
2025-08-01 17:45,7,1,6,0,0,0
2025-08-01 18:00,11,4,7,0,0,0
2025-08-01 18:15,10,4,6,0,0,0
2025-08-01 18:30,7,4,3,0,0,0
2025-08-01 18:45,10,5,5,0,0,0
2025-08-01 19:00,6,2,4,0,0,0
2025-08-01 19:15,11,7,4,0,0,0
2025-08-01 19:30,7,5,2,0,0,0
2025-08-01 19:45,6,6,0,0,0,0
2025-08-01 20:00,5,3,2,0,0,0
2025-08-01 20:15,7,2,5,0,0,0
2025-08-01 20:30,10,1,9,0,0,0
2025-08-01 20:45,4,3,1,0,0,0
2025-08-01 21:00,5,2,3,0,0,0
2025-08-01 21:15,5,2,3,0,0,0
2025-08-01 21:30,2,1,1,0,0,0
2025-08-01 21:45,4,4,0,0,0,0
2025-08-01 22:00,7,4,3,0,0,0
2025-08-01 22:15,7,4,3,0,0,0
2025-08-01 22:30,2,0,2,0,0,0
2025-08-01 22:45,0,0,0,0,0,0
2025-08-01 23:00,2,1,1,0,0,0
2025-08-01 23:15,6,3,3,0,0,0
2025-08-01 23:30,6,4,2,0,0,0
2025-08-01 23:45,1,0,1,0,0,0
2025-08-02 00:00,5,1,4,0,0,0
2025-08-02 00:15,3,0,3,0,0,0
2025-08-02 00:30,3,1,2,0,0,0
2025-08-02 00:45,1,0,1,0,0,0
2025-08-02 01:00,4,1,3,0,0,0
