Datetime,300037928 (Kinderhauser Str.),353413835 (Kinderhauser Str. Fahrräder Stadteinwärts),353413836 (Kinderhauser Str. Fahrräder Stadtauswärts),300037928-status,353413835-status,353413836-status
2025-03-01 00:00,5,1,4,0,0,0
2025-03-01 00:15,3,1,2,0,0,0
2025-03-01 00:30,1,0,1,0,0,0
2025-03-01 00:45,3,1,2,0,0,0
2025-03-01 01:00,9,8,1,0,0,0
2025-03-01 01:15,2,1,1,0,0,0
2025-03-01 01:30,1,1,0,0,0,0
2025-03-01 01:45,0,0,0,0,0,0
2025-03-01 02:00,4,1,3,0,0,0
2025-03-01 02:15,0,0,0,0,0,0
2025-03-01 02:30,1,0,1,0,0,0
2025-03-01 02:45,0,0,0,0,0,0
2025-03-01 03:00,0,0,0,0,0,0
2025-03-01 03:15,0,0,0,0,0,0
2025-03-01 03:30,0,0,0,0,0,0
2025-03-01 03:45,0,0,0,0,0,0
2025-03-01 04:00,0,0,0,0,0,0
2025-03-01 04:15,0,0,0,0,0,0
2025-03-01 04:30,0,0,0,0,0,0
2025-03-01 04:45,1,1,0,0,0,0
2025-03-01 05:00,0,0,0,0,0,0
2025-03-01 05:15,5,3,2,0,0,0
2025-03-01 05:30,1,0,1,0,0,0
2025-03-01 05:45,4,3,1,0,0,0
2025-03-01 06:00,5,2,3,0,0,0
2025-03-01 06:15,3,2,1,0,0,0
2025-03-01 06:30,2,0,2,0,0,0
2025-03-01 06:45,1,1,0,0,0,0
2025-03-01 07:00,1,0,1,0,0,0
2025-03-01 07:15,3,2,1,0,0,0
2025-03-01 07:30,6,3,3,0,0,0
2025-03-01 07:45,3,1,2,0,0,0
2025-03-01 08:00,4,2,2,0,0,0
2025-03-01 08:15,3,1,2,0,0,0
2025-03-01 08:30,2,0,2,0,0,0
2025-03-01 08:45,8,4,4,0,0,0
2025-03-01 09:00,5,3,2,0,0,0
2025-03-01 09:15,8,6,2,0,0,0
2025-03-01 09:30,8,7,1,0,0,0
2025-03-01 09:45,6,4,2,0,0,0
2025-03-01 10:00,6,5,1,0,0,0
2025-03-01 10:15,10,6,4,0,0,0
2025-03-01 10:30,7,5,2,0,0,0
2025-03-01 10:45,10,2,8,0,0,0
2025-03-01 11:00,7,3,4,0,0,0
2025-03-01 11:15,8,5,3,0,0,0
2025-03-01 11:30,13,6,7,0,0,0
2025-03-01 11:45,11,1,10,0,0,0
2025-03-01 12:00,11,6,5,0,0,0
2025-03-01 12:15,14,7,7,0,0,0
2025-03-01 12:30,12,9,3,0,0,0
2025-03-01 12:45,19,6,13,0,0,0
2025-03-01 13:00,5,2,3,0,0,0
2025-03-01 13:15,8,2,6,0,0,0
2025-03-01 13:30,15,8,7,0,0,0
2025-03-01 13:45,8,4,4,0,0,0
2025-03-01 14:00,9,4,5,0,0,0
2025-03-01 14:15,9,2,7,0,0,0
2025-03-01 14:30,15,5,10,0,0,0
2025-03-01 14:45,15,8,7,0,0,0
2025-03-01 15:00,14,4,10,0,0,0
2025-03-01 15:15,8,6,2,0,0,0
2025-03-01 15:30,7,2,5,0,0,0
2025-03-01 15:45,20,12,8,0,0,0
2025-03-01 16:00,4,1,3,0,0,0
2025-03-01 16:15,8,4,4,0,0,0
2025-03-01 16:30,10,4,6,0,0,0
2025-03-01 16:45,17,8,9,0,0,0
2025-03-01 17:00,10,4,6,0,0,0
2025-03-01 17:15,11,8,3,0,0,0
2025-03-01 17:30,13,8,5,0,0,0
2025-03-01 17:45,6,5,1,0,0,0
2025-03-01 18:00,9,3,6,0,0,0
2025-03-01 18:15,10,8,2,0,0,0
2025-03-01 18:30,6,4,2,0,0,0
2025-03-01 18:45,10,6,4,0,0,0
2025-03-01 19:00,8,6,2,0,0,0
2025-03-01 19:15,6,5,1,0,0,0
2025-03-01 19:30,15,7,8,0,0,0
2025-03-01 19:45,5,1,4,0,0,0
2025-03-01 20:00,5,1,4,0,0,0
2025-03-01 20:15,2,1,1,0,0,0
2025-03-01 20:30,6,3,3,0,0,0
2025-03-01 20:45,6,4,2,0,0,0
2025-03-01 21:00,3,1,2,0,0,0
2025-03-01 21:15,7,2,5,0,0,0
2025-03-01 21:30,2,1,1,0,0,0
2025-03-01 21:45,2,1,1,0,0,0
2025-03-01 22:00,4,0,4,0,0,0
2025-03-01 22:15,9,3,6,0,0,0
2025-03-01 22:30,10,2,8,0,0,0
2025-03-01 22:45,2,1,1,0,0,0
2025-03-01 23:00,2,0,2,0,0,0
2025-03-01 23:15,1,1,0,0,0,0
2025-03-01 23:30,0,0,0,0,0,0
2025-03-01 23:45,6,1,5,0,0,0
2025-03-02 00:00,1,0,1,0,0,0
2025-03-02 00:15,1,1,0,0,0,0
2025-03-02 00:30,2,0,2,0,0,0
2025-03-02 00:45,0,0,0,0,0,0
2025-03-02 01:00,0,0,0,0,0,0
2025-03-02 01:15,1,1,0,0,0,0
2025-03-02 01:30,1,1,0,0,0,0
2025-03-02 01:45,0,0,0,0,0,0
2025-03-02 02:00,0,0,0,0,0,0
2025-03-02 02:15,1,0,1,0,0,0
2025-03-02 02:30,0,0,0,0,0,0
2025-03-02 02:45,0,0,0,0,0,0
2025-03-02 03:00,0,0,0,0,0,0
2025-03-02 03:15,0,0,0,0,0,0
2025-03-02 03:30,0,0,0,0,0,0
2025-03-02 03:45,1,1,0,0,0,0
2025-03-02 04:00,0,0,0,0,0,0
2025-03-02 04:15,0,0,0,0,0,0
2025-03-02 04:30,1,0,1,0,0,0
2025-03-02 04:45,1,0,1,0,0,0
2025-03-02 05:00,2,0,2,0,0,0
2025-03-02 05:15,1,1,0,0,0,0
2025-03-02 05:30,1,0,1,0,0,0
2025-03-02 05:45,2,0,2,0,0,0
2025-03-02 06:00,1,1,0,0,0,0
2025-03-02 06:15,1,1,0,0,0,0
2025-03-02 06:30,0,0,0,0,0,0
2025-03-02 06:45,0,0,0,0,0,0
2025-03-02 07:00,3,3,0,0,0,0
2025-03-02 07:15,1,1,0,0,0,0
2025-03-02 07:30,0,0,0,0,0,0
2025-03-02 07:45,0,0,0,0,0,0
2025-03-02 08:00,0,0,0,0,0,0
2025-03-02 08:15,2,1,1,0,0,0
