Datetime,300037928 (Kinderhauser Str.),353413835 (Kinderhauser Str. [Bike Stadteinwärts]),353413836 (Kinderhauser Str. [Bike Stadtauswärts]),300037928-status,353413835-status,353413836-status
2024-06-01 00:00,6,5,1,0,0,0
2024-06-01 00:15,0,0,0,0,0,0
2024-06-01 00:30,3,0,3,0,0,0
2024-06-01 00:45,1,0,1,0,0,0
2024-06-01 01:00,7,1,6,0,0,0
2024-06-01 01:15,3,2,1,0,0,0
2024-06-01 01:30,1,1,0,0,0,0
2024-06-01 01:45,1,0,1,0,0,0
2024-06-01 02:00,3,1,2,0,0,0
2024-06-01 02:15,1,0,1,0,0,0
2024-06-01 02:30,2,1,1,0,0,0
2024-06-01 02:45,2,0,2,0,0,0
2024-06-01 03:00,1,0,1,0,0,0
2024-06-01 03:15,0,0,0,0,0,0
2024-06-01 03:30,0,0,0,0,0,0
2024-06-01 03:45,0,0,0,0,0,0
2024-06-01 04:00,1,0,1,0,0,0
2024-06-01 04:15,0,0,0,0,0,0
2024-06-01 04:30,0,0,0,0,0,0
2024-06-01 04:45,1,0,1,0,0,0
2024-06-01 05:00,4,4,0,0,0,0
2024-06-01 05:15,1,1,0,0,0,0
2024-06-01 05:30,1,0,1,0,0,0
2024-06-01 05:45,0,0,0,0,0,0
2024-06-01 06:00,4,2,2,0,0,0
2024-06-01 06:15,2,2,0,0,0,0
2024-06-01 06:30,3,3,0,0,0,0
2024-06-01 06:45,3,1,2,0,0,0
2024-06-01 07:00,7,3,4,0,0,0
2024-06-01 07:15,3,1,2,0,0,0
2024-06-01 07:30,7,5,2,0,0,0
2024-06-01 07:45,2,1,1,0,0,0
2024-06-01 08:00,4,1,3,0,0,0
2024-06-01 08:15,1,1,0,0,0,0
2024-06-01 08:30,8,4,4,0,0,0
2024-06-01 08:45,4,1,3,0,0,0
2024-06-01 09:00,6,3,3,0,0,0
2024-06-01 09:15,11,8,3,0,0,0
2024-06-01 09:30,13,6,7,0,0,0
2024-06-01 09:45,8,6,2,0,0,0
2024-06-01 10:00,8,3,5,0,0,0
2024-06-01 10:15,18,12,6,0,0,0
2024-06-01 10:30,9,6,3,0,0,0
2024-06-01 10:45,8,5,3,0,0,0
2024-06-01 11:00,12,8,4,0,0,0
2024-06-01 11:15,9,6,3,0,0,0
2024-06-01 11:30,17,6,11,0,0,0
2024-06-01 11:45,13,6,7,0,0,0
2024-06-01 12:00,18,9,9,0,0,0
2024-06-01 12:15,16,7,9,0,0,0
2024-06-01 12:30,23,13,10,0,0,0
2024-06-01 12:45,9,2,7,0,0,0
2024-06-01 13:00,17,8,9,0,0,0
2024-06-01 13:15,10,4,6,0,0,0
2024-06-01 13:30,9,4,5,0,0,0
2024-06-01 13:45,18,10,8,0,0,0
2024-06-01 14:00,16,6,10,0,0,0
2024-06-01 14:15,17,4,13,0,0,0
2024-06-01 14:30,16,5,11,0,0,0
2024-06-01 14:45,33,18,15,0,0,0
2024-06-01 15:00,9,7,2,0,0,0
2024-06-01 15:15,15,6,9,0,0,0
2024-06-01 15:30,19,6,13,0,0,0
2024-06-01 15:45,13,6,7,0,0,0
2024-06-01 16:00,13,8,5,0,0,0
2024-06-01 16:15,17,13,4,0,0,0
2024-06-01 16:30,18,6,12,0,0,0
2024-06-01 16:45,10,4,6,0,0,0
2024-06-01 17:00,18,3,15,0,0,0
2024-06-01 17:15,10,5,5,0,0,0
2024-06-01 17:30,13,9,4,0,0,0
2024-06-01 17:45,22,12,10,0,0,0
2024-06-01 18:00,9,4,5,0,0,0
2024-06-01 18:15,11,4,7,0,0,0
2024-06-01 18:30,8,4,4,0,0,0
2024-06-01 18:45,13,2,11,0,0,0
2024-06-01 19:00,18,6,12,0,0,0
2024-06-01 19:15,13,5,8,0,0,0
2024-06-01 19:30,12,7,5,0,0,0
2024-06-01 19:45,10,4,6,0,0,0
2024-06-01 20:00,7,6,1,0,0,0
2024-06-01 20:15,12,8,4,0,0,0
2024-06-01 20:30,11,6,5,0,0,0
2024-06-01 20:45,8,3,5,0,0,0
2024-06-01 21:00,8,3,5,0,0,0
2024-06-01 21:15,14,3,11,0,0,0
2024-06-01 21:30,0,0,0,0,0,0
2024-06-01 21:45,3,2,1,0,0,0
2024-06-01 22:00,5,2,3,0,0,0
2024-06-01 22:15,2,1,1,0,0,0
2024-06-01 22:30,5,2,3,0,0,0
2024-06-01 22:45,2,0,2,0,0,0
2024-06-01 23:00,3,1,2,0,0,0
2024-06-01 23:15,7,4,3,0,0,0
2024-06-01 23:30,11,5,6,0,0,0
2024-06-01 23:45,8,2,6,0,0,0
