Datetime,300037928 (Kinderhauser Str.),353413835 (Kinderhauser Str. Fahrräder Stadteinwärts),353413836 (Kinderhauser Str. Fahrräder Stadtauswärts),300037928-status,353413835-status,353413836-status
2025-12-02 09:30,12,6,6,0,0,0
2025-12-02 09:45,20,9,11,0,0,0
2025-12-02 10:00,13,12,1,0,0,0
2025-12-02 10:15,16,3,13,0,0,0
2025-12-02 10:30,14,9,5,0,0,0
2025-12-02 10:45,14,7,7,0,0,0
2025-12-02 11:00,10,4,6,0,0,0
2025-12-02 11:15,7,1,6,0,0,0
2025-12-02 11:30,18,12,6,0,0,0
2025-12-02 11:45,21,11,10,0,0,0
2025-12-02 12:00,14,6,8,0,0,0
2025-12-02 12:15,18,14,4,0,0,0
2025-12-02 12:30,10,7,3,0,0,0
2025-12-02 12:45,16,8,8,0,0,0
2025-12-02 13:00,11,5,6,0,0,0
2025-12-02 13:15,20,4,16,0,0,0
2025-12-02 13:30,12,7,5,0,0,0
2025-12-02 13:45,24,11,13,0,0,0
2025-12-02 14:00,28,15,13,0,0,0
2025-12-02 14:15,18,5,13,0,0,0
2025-12-02 14:30,19,10,9,0,0,0
2025-12-02 14:45,29,16,13,0,0,0
2025-12-02 15:00,28,8,20,0,0,0
2025-12-02 15:15,46,13,33,0,0,0
2025-12-02 15:30,21,6,15,0,0,0
2025-12-02 15:45,37,15,22,0,0,0
2025-12-02 16:00,33,9,24,0,0,0
2025-12-02 16:15,20,6,14,0,0,0
2025-12-02 16:30,42,12,30,0,0,0
2025-12-02 16:45,23,7,16,0,0,0
2025-12-02 17:00,27,12,15,0,0,0
2025-12-02 17:15,34,8,26,0,0,0
2025-12-02 17:30,24,8,16,0,0,0
2025-12-02 17:45,11,6,5,0,0,0
2025-12-02 18:00,17,5,12,0,0,0
2025-12-02 18:15,25,11,14,0,0,0
2025-12-02 18:30,24,13,11,0,0,0
2025-12-02 18:45,8,4,4,0,0,0
2025-12-02 19:00,18,7,11,0,0,0
2025-12-02 19:15,7,3,4,0,0,0
2025-12-02 19:30,14,10,4,0,0,0
2025-12-02 19:45,15,8,7,0,0,0
2025-12-02 20:00,5,1,4,0,0,0
2025-12-02 20:15,8,5,3,0,0,0
2025-12-02 20:30,9,2,7,0,0,0
2025-12-02 20:45,6,2,4,0,0,0
2025-12-02 21:00,4,3,1,0,0,0
2025-12-02 21:15,7,5,2,0,0,0
2025-12-02 21:30,10,2,8,0,0,0
2025-12-02 21:45,6,1,5,0,0,0
2025-12-02 22:00,2,0,2,0,0,0
2025-12-02 22:15,8,2,6,0,0,0
2025-12-02 22:30,4,0,4,0,0,0
2025-12-02 22:45,9,4,5,0,0,0
2025-12-02 23:00,4,1,3,0,0,0
2025-12-02 23:15,6,1,5,0,0,0
2025-12-02 23:30,4,1,3,0,0,0
2025-12-02 23:45,1,0,1,0,0,0
2025-12-03 00:00,3,1,2,0,0,0
2025-12-03 00:15,2,0,2,0,0,0
2025-12-03 00:30,0,0,0,0,0,0
2025-12-03 00:45,1,0,1,0,0,0
