Datetime,300037932 (Schmeddingstraße),353413849 (Schmeddingstraße [Bike Stadteinwärts]),353413850 (Schmeddingstraße [Bike Stadtauswärts]),300037932-status,353413849-status,353413850-status
2026-04-01 00:00,15,2,13,0,0,0
2026-04-01 01:00,4,0,4,0,0,0
2026-04-01 02:00,0,0,0,0,0,0
2026-04-01 03:00,0,0,0,0,0,0
2026-04-01 04:00,6,4,2,0,0,0
2026-04-01 05:00,19,15,4,0,0,0
2026-04-01 06:00,78,54,24,0,0,0
2026-04-01 07:00,189,133,56,0,0,0
2026-04-01 08:00,225,127,98,0,0,0
2026-04-01 09:00,159,100,59,0,0,0
2026-04-01 10:00,152,96,56,0,0,0
2026-04-01 11:00,132,82,50,0,0,0
2026-04-01 12:00,157,78,79,0,0,0
2026-04-01 13:00,160,69,91,0,0,0
2026-04-01 14:00,170,73,97,0,0,0
2026-04-01 15:00,243,111,132,0,0,0
2026-04-01 16:00,238,89,149,0,0,0
2026-04-01 17:00,248,109,139,0,0,0
2026-04-01 18:00,182,75,107,0,0,0
2026-04-01 19:00,149,68,81,0,0,0
2026-04-01 20:00,70,27,43,0,0,0
2026-04-01 21:00,87,27,60,0,0,0
2026-04-01 22:00,53,18,35,0,0,0
2026-04-01 23:00,30,14,16,0,0,0
2026-04-02 00:00,14,4,10,0,0,0
2026-04-02 01:00,11,0,11,0,0,0
2026-04-02 02:00,10,0,10,0,0,0
2026-04-02 03:00,6,2,4,0,0,0
2026-04-02 04:00,6,4,2,0,0,0
2026-04-02 05:00,21,16,5,0,0,0
2026-04-02 06:00,75,50,25,0,0,0
2026-04-02 07:00,160,108,52,0,0,0
2026-04-02 08:00,191,113,78,0,0,0
2026-04-02 09:00,152,108,44,0,0,0
2026-04-02 10:00,109,61,48,0,0,0
2026-04-02 11:00,115,70,45,0,0,0
2026-04-02 12:00,142,66,76,0,0,0
2026-04-02 13:00,112,64,48,0,0,0
2026-04-02 14:00,154,66,88,0,0,0
2026-04-02 15:00,186,82,104,0,0,0
2026-04-02 16:00,189,82,107,0,0,0
2026-04-02 17:00,166,75,91,0,0,0
2026-04-02 18:00,133,57,76,0,0,0
2026-04-02 19:00,110,54,56,0,0,0
2026-04-02 20:00,66,21,45,0,0,0
2026-04-02 21:00,53,17,36,0,0,0
2026-04-02 22:00,41,12,29,0,0,0
2026-04-02 23:00,24,10,14,0,0,0
2026-04-03 00:00,22,6,16,0,0,0
2026-04-03 01:00,12,4,8,0,0,0
2026-04-03 02:00,5,0,5,0,0,0
2026-04-03 03:00,7,0,7,0,0,0
2026-04-03 04:00,1,1,0,0,0,0
2026-04-03 05:00,4,2,2,0,0,0
2026-04-03 06:00,18,10,8,0,0,0
2026-04-03 07:00,10,6,4,0,0,0
2026-04-03 08:00,35,20,15,0,0,0
2026-04-03 09:00,52,32,20,0,0,0
2026-04-03 10:00,66,37,29,0,0,0
2026-04-03 11:00,53,33,20,0,0,0
2026-04-03 12:00,84,33,51,0,0,0
2026-04-03 13:00,63,28,35,0,0,0
2026-04-03 14:00,115,70,45,0,0,0
2026-04-03 15:00,70,39,31,0,0,0
2026-04-03 16:00,127,51,76,0,0,0
2026-04-03 17:00,102,49,53,0,0,0
2026-04-03 18:00,68,37,31,0,0,0
2026-04-03 19:00,56,33,23,0,0,0
2026-04-03 20:00,42,20,22,0,0,0
2026-04-03 21:00,33,18,15,0,0,0
2026-04-03 22:00,28,10,18,0,0,0
2026-04-03 23:00,20,5,15,0,0,0
2026-04-04 00:00,11,5,6,0,0,0
2026-04-04 01:00,11,1,10,0,0,0
2026-04-04 02:00,6,2,4,0,0,0
2026-04-04 03:00,2,0,2,0,0,0
2026-04-04 04:00,2,1,1,0,0,0
2026-04-04 05:00,8,4,4,0,0,0
2026-04-04 06:00,20,10,10,0,0,0
2026-04-04 07:00,39,26,13,0,0,0
2026-04-04 08:00,56,35,21,0,0,0
2026-04-04 09:00,102,73,29,0,0,0
2026-04-04 10:00,151,103,48,0,0,0
2026-04-04 11:00,156,101,55,0,0,0
2026-04-04 12:00,181,93,88,0,0,0
2026-04-04 13:00,184,96,88,0,0,0
2026-04-04 14:00,152,75,77,0,0,0
2026-04-04 15:00,159,61,98,0,0,0
2026-04-04 16:00,134,56,78,0,0,0
2026-04-04 17:00,90,32,58,0,0,0
2026-04-04 18:00,96,50,46,0,0,0
2026-04-04 19:00,75,33,42,0,0,0
2026-04-04 20:00,67,37,30,0,0,0
2026-04-04 21:00,43,19,24,0,0,0
2026-04-04 22:00,44,21,23,0,0,0
2026-04-04 23:00,45,19,26,0,0,0
2026-04-05 00:00,32,10,22,0,0,0
2026-04-05 01:00,23,3,20,0,0,0
2026-04-05 02:00,17,4,13,0,0,0
2026-04-05 03:00,13,1,12,0,0,0
2026-04-05 04:00,3,1,2,0,0,0
2026-04-05 05:00,12,5,7,0,0,0
2026-04-05 06:00,10,5,5,0,0,0
2026-04-05 07:00,10,7,3,0,0,0
2026-04-05 08:00,41,21,20,0,0,0
2026-04-05 09:00,54,24,30,0,0,0
2026-04-05 10:00,69,46,23,0,0,0
2026-04-05 11:00,48,15,33,0,0,0
2026-04-05 12:00,70,36,34,0,0,0
2026-04-05 13:00,60,22,38,0,0,0
2026-04-05 14:00,52,22,30,0,0,0
2026-04-05 15:00,40,22,18,0,0,0
2026-04-05 16:00,52,15,37,0,0,0
2026-04-05 17:00,31,17,14,0,0,0
2026-04-05 18:00,57,28,29,0,0,0
2026-04-05 19:00,29,19,10,0,0,0
2026-04-05 20:00,45,24,21,0,0,0
2026-04-05 21:00,35,19,16,0,0,0
2026-04-05 22:00,17,8,9,0,0,0
2026-04-05 23:00,12,5,7,0,0,0
2026-04-06 00:00,11,5,6,0,0,0
2026-04-06 01:00,10,6,4,0,0,0
2026-04-06 02:00,4,3,1,0,0,0
2026-04-06 03:00,3,0,3,0,0,0
2026-04-06 04:00,3,1,2,0,0,0
2026-04-06 05:00,4,1,3,0,0,0
2026-04-06 06:00,17,6,11,0,0,0
2026-04-06 07:00,7,6,1,0,0,0
2026-04-06 08:00,33,21,12,0,0,0
2026-04-06 09:00,37,27,10,0,0,0
2026-04-06 10:00,85,63,22,0,0,0
2026-04-06 11:00,130,61,69,0,0,0
2026-04-06 12:00,133,78,55,0,0,0
2026-04-06 13:00,122,61,61,0,0,0
2026-04-06 14:00,131,60,71,0,0,0
2026-04-06 15:00,108,54,54,0,0,0
2026-04-06 16:00,144,84,60,0,0,0
2026-04-06 17:00,125,60,65,0,0,0
2026-04-06 18:00,89,46,43,0,0,0
2026-04-06 19:00,77,44,33,0,0,0
2026-04-06 20:00,60,26,34,0,0,0
2026-04-06 21:00,32,13,19,0,0,0
2026-04-06 22:00,26,8,18,0,0,0
2026-04-06 23:00,14,4,10,0,0,0
2026-04-07 00:00,8,2,6,0,0,0
2026-04-07 01:00,6,2,4,0,0,0
2026-04-07 02:00,4,2,2,0,0,0
2026-04-07 03:00,1,0,1,0,0,0
2026-04-07 04:00,7,6,1,0,0,0
2026-04-07 05:00,14,12,2,0,0,0
2026-04-07 06:00,56,41,15,0,0,0
2026-04-07 07:00,196,137,59,0,0,0
2026-04-07 08:00,209,141,68,0,0,0
2026-04-07 09:00,136,96,40,0,0,0
2026-04-07 10:00,149,84,65,0,0,0
2026-04-07 11:00,135,69,66,0,0,0
2026-04-07 12:00,176,81,95,0,0,0
2026-04-07 13:00,167,79,88,0,0,0
2026-04-07 14:00,183,93,90,0,0,0
2026-04-07 15:00,248,125,123,0,0,0
2026-04-07 16:00,246,95,151,0,0,0
2026-04-07 17:00,257,97,160,0,0,0
2026-04-07 18:00,188,77,111,0,0,0
2026-04-07 19:00,146,47,99,0,0,0
2026-04-07 20:00,88,31,57,0,0,0
2026-04-07 21:00,66,27,39,0,0,0
2026-04-07 22:00,39,10,29,0,0,0
2026-04-07 23:00,34,10,24,0,0,0
2026-04-08 00:00,20,6,14,0,0,0
2026-04-08 01:00,6,1,5,0,0,0
2026-04-08 02:00,0,0,0,0,0,0
2026-04-08 03:00,1,0,1,0,0,0
2026-04-08 04:00,10,7,3,0,0,0
2026-04-08 05:00,11,9,2,0,0,0
2026-04-08 06:00,72,51,21,0,0,0
2026-04-08 07:00,208,153,55,0,0,0
2026-04-08 08:00,205,127,78,0,0,0
2026-04-08 09:00,186,116,70,0,0,0
2026-04-08 10:00,150,94,56,0,0,0
2026-04-08 11:00,161,101,60,0,0,0
2026-04-08 12:00,202,107,95,0,0,0
2026-04-08 13:00,169,71,98,0,0,0
2026-04-08 14:00,226,119,107,0,0,0
2026-04-08 15:00,280,118,162,0,0,0
2026-04-08 16:00,257,102,155,0,0,0
2026-04-08 17:00,257,113,144,0,0,0
2026-04-08 18:00,248,88,160,0,0,0
2026-04-08 19:00,166,74,92,0,0,0
2026-04-08 20:00,89,32,57,0,0,0
2026-04-08 21:00,90,35,55,0,0,0
2026-04-08 22:00,62,17,45,0,0,0
2026-04-08 23:00,40,10,30,0,0,0
