Datetime,100035541 (Neutor),101035541 (Neutor stadteinwärts),102035541 (Neutor stadtauswärts),100035541-status,101035541-status,102035541-status
2021-07-01 00:00,38,16,22,0,0,0
2021-07-01 00:15,46,8,38,0,0,0
2021-07-01 00:30,48,15,33,0,0,0
2021-07-01 00:45,26,11,15,0,0,0
2021-07-01 01:00,25,4,21,0,0,0
2021-07-01 01:15,22,5,17,0,0,0
2021-07-01 01:30,29,12,17,0,0,0
2021-07-01 01:45,23,4,19,0,0,0
2021-07-01 02:00,17,4,13,0,0,0
2021-07-01 02:15,13,2,11,0,0,0
2021-07-01 02:30,23,1,22,0,0,0
2021-07-01 02:45,9,0,9,0,0,0
2021-07-01 03:00,12,1,11,0,0,0
2021-07-01 03:15,10,0,10,0,0,0
2021-07-01 03:30,6,0,6,0,0,0
2021-07-01 03:45,8,0,8,0,0,0
2021-07-01 04:00,11,2,9,0,0,0
2021-07-01 04:15,16,11,5,0,0,0
2021-07-01 04:30,8,4,4,0,0,0
2021-07-01 04:45,15,10,5,0,0,0
2021-07-01 05:00,8,3,5,0,0,0
2021-07-01 05:15,21,13,8,0,0,0
2021-07-01 05:30,22,16,6,0,0,0
2021-07-01 05:45,27,20,7,0,0,0
2021-07-01 06:00,41,28,13,0,0,0
2021-07-01 06:15,41,28,13,0,0,0
2021-07-01 06:30,62,42,20,0,0,0
2021-07-01 06:45,90,62,28,0,0,0
2021-07-01 07:00,89,61,28,0,0,0
2021-07-01 07:15,99,71,28,0,0,0
2021-07-01 07:30,200,128,72,0,0,0
2021-07-01 07:45,245,166,79,0,0,0
2021-07-01 08:00,189,137,52,0,0,0
2021-07-01 08:15,184,113,71,0,0,0
2021-07-01 08:30,181,127,54,0,0,0
2021-07-01 08:45,178,91,87,0,0,0
2021-07-01 09:00,152,98,54,0,0,0
2021-07-01 09:15,168,120,48,0,0,0
2021-07-01 09:30,124,75,49,0,0,0
2021-07-01 09:45,149,93,56,0,0,0
2021-07-01 10:00,144,69,75,0,0,0
2021-07-01 10:15,126,75,51,0,0,0
2021-07-01 10:30,80,48,32,0,0,0
2021-07-01 10:45,91,39,52,0,0,0
2021-07-01 11:00,90,44,46,0,0,0
2021-07-01 11:15,87,48,39,0,0,0
2021-07-01 11:30,129,40,89,0,0,0
2021-07-01 11:45,142,77,65,0,0,0
2021-07-01 12:00,123,57,66,0,0,0
2021-07-01 12:15,128,60,68,0,0,0
2021-07-01 12:30,85,34,51,0,0,0
2021-07-01 12:45,140,67,73,0,0,0
2021-07-01 13:00,144,53,91,0,0,0
2021-07-01 13:15,133,58,75,0,0,0
2021-07-01 13:30,148,67,81,0,0,0
2021-07-01 13:45,159,81,78,0,0,0
2021-07-01 14:00,136,70,66,0,0,0
2021-07-01 14:15,142,76,66,0,0,0
2021-07-01 14:30,134,63,71,0,0,0
2021-07-01 14:45,141,79,62,0,0,0
2021-07-01 15:00,137,80,57,0,0,0
2021-07-01 15:15,137,68,69,0,0,0
2021-07-01 15:30,135,66,69,0,0,0
2021-07-01 15:45,170,94,76,0,0,0
2021-07-01 16:00,175,84,91,0,0,0
2021-07-01 16:15,178,83,95,0,0,0
2021-07-01 16:30,188,98,90,0,0,0
2021-07-01 16:45,185,92,93,0,0,0
2021-07-01 17:00,176,83,93,0,0,0
2021-07-01 17:15,217,100,117,0,0,0
2021-07-01 17:30,187,86,101,0,0,0
2021-07-01 17:45,189,88,101,0,0,0
2021-07-01 18:00,170,84,86,0,0,0
2021-07-01 18:15,198,90,108,0,0,0
2021-07-01 18:30,171,83,88,0,0,0
2021-07-01 18:45,191,106,85,0,0,0
2021-07-01 19:00,178,100,78,0,0,0
2021-07-01 19:15,160,94,66,0,0,0
2021-07-01 19:30,133,74,59,0,0,0
2021-07-01 19:45,141,81,60,0,0,0
2021-07-01 20:00,126,56,70,0,0,0
2021-07-01 20:15,100,54,46,0,0,0
2021-07-01 20:30,105,50,55,0,0,0
2021-07-01 20:45,88,37,51,0,0,0
2021-07-01 21:00,78,39,39,0,0,0
2021-07-01 21:15,87,41,46,0,0,0
2021-07-01 21:30,82,38,44,0,0,0
2021-07-01 21:45,64,14,50,0,0,0
2021-07-01 22:00,60,21,39,0,0,0
2021-07-01 22:15,72,23,49,0,0,0
2021-07-01 22:30,95,20,75,0,0,0
2021-07-01 22:45,68,10,58,0,0,0
2021-07-01 23:00,64,16,48,0,0,0
2021-07-01 23:15,65,19,46,0,0,0
