Datetime,100035541 (Neutor),101035541 (Neutor stadteinwärts),102035541 (Neutor stadtauswärts),100035541-status,101035541-status,102035541-status
2022-05-02 10:00,380,215,165,0,0,0
2022-05-02 10:15,146,76,70,0,0,0
2022-05-02 10:30,97,52,45,0,0,0
2022-05-02 10:45,133,72,61,0,0,0
2022-05-02 11:00,126,75,51,0,0,0
2022-05-02 11:15,133,86,47,0,0,0
2022-05-02 11:30,153,82,71,0,0,0
2022-05-02 11:45,381,190,191,0,0,0
2022-05-02 12:00,342,216,126,0,0,0
2022-05-02 12:15,204,96,108,0,0,0
2022-05-02 12:30,171,72,99,0,0,0
2022-05-02 12:45,224,123,101,0,0,0
2022-05-02 13:00,273,107,166,0,0,0
2022-05-02 13:15,211,100,111,0,0,0
2022-05-02 13:30,235,108,127,0,0,0
2022-05-02 13:45,422,206,216,0,0,0
2022-05-02 14:00,401,236,165,0,0,0
2022-05-02 14:15,209,93,116,0,0,0
2022-05-02 14:30,175,87,88,0,0,0
2022-05-02 14:45,239,118,121,0,0,0
2022-05-02 15:00,238,108,130,0,0,0
2022-05-02 15:15,200,101,99,0,0,0
2022-05-02 15:30,352,138,214,0,0,0
2022-05-02 15:45,541,241,300,0,0,0
2022-05-02 16:00,421,207,214,0,0,0
2022-05-02 16:15,246,126,120,0,0,0
2022-05-02 16:30,262,112,150,0,0,0
2022-05-02 16:45,329,143,186,0,0,0
2022-05-02 17:00,308,163,145,0,0,0
2022-05-02 17:15,308,137,171,0,0,0
2022-05-02 17:30,365,164,201,0,0,0
2022-05-02 17:45,584,254,330,0,0,0
2022-05-02 18:00,457,209,248,0,0,0
2022-05-02 18:15,295,135,160,0,0,0
2022-05-02 18:30,268,116,152,0,0,0
2022-05-02 18:45,268,119,149,0,0,0
2022-05-02 19:00,243,100,143,0,0,0
2022-05-02 19:15,243,106,137,0,0,0
2022-05-02 19:30,264,102,162,0,0,0
2022-05-02 19:45,312,140,172,0,0,0
2022-05-02 20:00,264,121,143,0,0,0
2022-05-02 20:15,231,109,122,0,0,0
2022-05-02 20:30,135,77,58,0,0,0
2022-05-02 20:45,145,70,75,0,0,0
2022-05-02 21:00,121,65,56,0,0,0
2022-05-02 21:15,157,101,56,0,0,0
2022-05-02 21:30,132,47,85,0,0,0
2022-05-02 21:45,132,72,60,0,0,0
2022-05-02 22:00,113,51,62,0,0,0
2022-05-02 22:15,115,43,72,0,0,0
2022-05-02 22:30,85,18,67,0,0,0
2022-05-02 22:45,75,23,52,0,0,0
2022-05-02 23:00,84,27,57,0,0,0
2022-05-02 23:15,50,15,35,0,0,0
2022-05-02 23:30,30,14,16,0,0,0
2022-05-02 23:45,17,8,9,0,0,0
2022-05-03 00:00,38,12,26,0,0,0
2022-05-03 00:15,27,6,21,0,0,0
2022-05-03 00:30,10,3,7,0,0,0
2022-05-03 00:45,14,7,7,0,0,0
2022-05-03 01:00,13,5,8,0,0,0
2022-05-03 01:15,13,3,10,0,0,0
2022-05-03 01:30,2,2,0,0,0,0
2022-05-03 01:45,8,2,6,0,0,0
2022-05-03 02:00,7,3,4,0,0,0
2022-05-03 02:15,4,0,4,0,0,0
2022-05-03 02:30,2,1,1,0,0,0
2022-05-03 02:45,1,0,1,0,0,0
2022-05-03 03:00,1,1,0,0,0,0
2022-05-03 03:15,2,1,1,0,0,0
2022-05-03 03:30,1,1,0,0,0,0
2022-05-03 03:45,0,0,0,0,0,0
2022-05-03 04:00,2,0,2,0,0,0
2022-05-03 04:15,2,0,2,0,0,0
2022-05-03 04:30,7,5,2,0,0,0
2022-05-03 04:45,10,8,2,0,0,0
2022-05-03 05:00,11,7,4,0,0,0
2022-05-03 05:15,13,13,0,0,0,0
2022-05-03 05:30,27,20,7,0,0,0
2022-05-03 05:45,15,11,4,0,0,0
2022-05-03 06:00,29,21,8,0,0,0
2022-05-03 06:15,53,38,15,0,0,0
2022-05-03 06:30,69,49,20,0,0,0
2022-05-03 06:45,104,71,33,0,0,0
