Datetime,100053305 (Kanalpromenade),101053305 (Kanalpromenade Fahrräder Richtung Osttor),102053305 (Kanalpromenade Fahrräder Richtung Zentrum),103053305 (Kanalpromenade Fahrräder Richtung Osttor),104053305 (Kanalpromenade Fahrräder Richtung Zentrum),100053305-status,101053305-status,102053305-status,103053305-status,104053305-status
2023-05-01 00:00,3,0,1,1,1,0,0,0,0,0
2023-05-01 00:15,2,1,0,1,0,0,0,0,0,0
2023-05-01 00:30,1,0,1,0,0,0,0,0,0,0
2023-05-01 00:45,0,0,0,0,0,0,0,0,0,0
2023-05-01 01:00,7,0,6,0,1,0,0,0,0,0
2023-05-01 01:15,2,1,0,1,0,0,0,0,0,0
2023-05-01 01:30,0,0,0,0,0,0,0,0,0,0
2023-05-01 01:45,0,0,0,0,0,0,0,0,0,0
2023-05-01 02:00,2,1,0,1,0,0,0,0,0,0
2023-05-01 02:15,1,0,0,1,0,0,0,0,0,0
2023-05-01 02:30,0,0,0,0,0,0,0,0,0,0
2023-05-01 02:45,0,0,0,0,0,0,0,0,0,0
2023-05-01 03:00,0,0,0,0,0,0,0,0,0,0
2023-05-01 03:15,0,0,0,0,0,0,0,0,0,0
2023-05-01 03:30,0,0,0,0,0,0,0,0,0,0
2023-05-01 03:45,0,0,0,0,0,0,0,0,0,0
2023-05-01 04:00,0,0,0,0,0,0,0,0,0,0
2023-05-01 04:15,0,0,0,0,0,0,0,0,0,0
2023-05-01 04:30,0,0,0,0,0,0,0,0,0,0
2023-05-01 04:45,1,1,0,0,0,0,0,0,0,0
2023-05-01 05:00,0,0,0,0,0,0,0,0,0,0
2023-05-01 05:15,0,0,0,0,0,0,0,0,0,0
2023-05-01 05:30,1,0,0,1,0,0,0,0,0,0
2023-05-01 05:45,0,0,0,0,0,0,0,0,0,0
2023-05-01 06:00,0,0,0,0,0,0,0,0,0,0
2023-05-01 06:15,0,0,0,0,0,0,0,0,0,0
2023-05-01 06:30,2,0,2,0,0,0,0,0,0,0
2023-05-01 06:45,2,0,1,1,0,0,0,0,0,0
2023-05-01 07:00,0,0,0,0,0,0,0,0,0,0
2023-05-01 07:15,1,0,0,1,0,0,0,0,0,0
2023-05-01 07:30,3,1,0,2,0,0,0,0,0,0
2023-05-01 07:45,2,0,1,1,0,0,0,0,0,0
2023-05-01 08:00,2,2,0,0,0,0,0,0,0,0
2023-05-01 08:15,3,1,1,1,0,0,0,0,0,0
2023-05-01 08:30,5,2,0,3,0,0,0,0,0,0
2023-05-01 08:45,5,2,1,2,0,0,0,0,0,0
2023-05-01 09:00,8,2,5,1,0,0,0,0,0,0
2023-05-01 09:15,5,2,1,2,0,0,0,0,0,0
2023-05-01 09:30,14,5,3,5,1,0,0,0,0,0
2023-05-01 09:45,11,5,4,2,0,0,0,0,0,0
2023-05-01 10:00,36,14,9,13,0,0,0,0,0,0
2023-05-01 10:15,19,2,10,7,0,0,0,0,0,0
2023-05-01 10:30,37,15,7,15,0,0,0,0,0,0
2023-05-01 10:45,23,6,11,6,0,0,0,0,0,0
2023-05-01 11:00,56,12,22,21,1,0,0,0,0,0
2023-05-01 11:15,48,18,13,17,0,0,0,0,0,0
2023-05-01 11:30,61,14,25,20,2,0,0,0,0,0
2023-05-01 11:45,61,15,19,26,1,0,0,0,0,0
2023-05-01 12:00,56,9,31,16,0,0,0,0,0,0
2023-05-01 12:15,52,11,18,21,2,0,0,0,0,0
2023-05-01 12:30,69,16,32,20,1,0,0,0,0,0
2023-05-01 12:45,89,13,52,21,3,0,0,0,0,0
2023-05-01 13:00,102,21,39,39,3,0,0,0,0,0
2023-05-01 13:15,82,21,29,27,5,0,0,0,0,0
2023-05-01 13:30,113,20,52,39,2,0,0,0,0,0
2023-05-01 13:45,58,8,31,19,0,0,0,0,0,0
2023-05-01 14:00,71,14,34,22,1,0,0,0,0,0
2023-05-01 14:15,79,13,40,25,1,0,0,0,0,0
2023-05-01 14:30,105,23,46,36,0,0,0,0,0,0
2023-05-01 14:45,78,6,50,19,3,0,0,0,0,0
2023-05-01 15:00,89,6,57,24,2,0,0,0,0,0
2023-05-01 15:15,82,7,56,18,1,0,0,0,0,0
2023-05-01 15:30,90,24,40,26,0,0,0,0,0,0
2023-05-01 15:45,79,9,54,14,2,0,0,0,0,0
2023-05-01 16:00,79,3,51,13,12,0,0,0,0,0
2023-05-01 16:15,75,5,45,21,4,0,0,0,0,0
2023-05-01 16:30,85,4,58,21,2,0,0,0,0,0
2023-05-01 16:45,71,7,47,14,3,0,0,0,0,0
2023-05-01 17:00,76,15,41,16,4,0,0,0,0,0
2023-05-01 17:15,44,6,27,10,1,0,0,0,0,0
2023-05-01 17:30,62,7,38,13,4,0,0,0,0,0
2023-05-01 17:45,45,5,26,12,2,0,0,0,0,0
2023-05-01 18:00,29,4,21,3,1,0,0,0,0,0
2023-05-01 18:15,31,3,23,5,0,0,0,0,0,0
2023-05-01 18:30,31,5,17,9,0,0,0,0,0,0
2023-05-01 18:45,32,6,16,9,1,0,0,0,0,0
2023-05-01 19:00,10,7,0,3,0,0,0,0,0,0
2023-05-01 19:15,4,0,2,2,0,0,0,0,0,0
2023-05-01 19:30,8,1,7,0,0,0,0,0,0,0
