Datetime,100053305 (Kanalpromenade),101053305 (Kanalpromenade Fahrräder Richtung Osttor),102053305 (Kanalpromenade Fahrräder Richtung Zentrum),103053305 (Kanalpromenade Fahrräder Richtung Osttor),104053305 (Kanalpromenade Fahrräder Richtung Zentrum),100053305-status,101053305-status,102053305-status,103053305-status,104053305-status
2022-10-01 00:00,1,1,0,0,0,0,0,0,0,0
2022-10-01 00:15,0,0,0,0,0,0,0,0,0,0
2022-10-01 00:30,1,0,1,0,0,0,0,0,0,0
2022-10-01 00:45,1,0,1,0,0,0,0,0,0,0
2022-10-01 01:00,1,0,0,1,0,0,0,0,0,0
2022-10-01 01:15,2,2,0,0,0,0,0,0,0,0
2022-10-01 01:30,3,1,1,1,0,0,0,0,0,0
2022-10-01 01:45,1,0,1,0,0,0,0,0,0,0
2022-10-01 02:00,2,1,0,1,0,0,0,0,0,0
2022-10-01 02:15,0,0,0,0,0,0,0,0,0,0
2022-10-01 02:30,0,0,0,0,0,0,0,0,0,0
2022-10-01 02:45,0,0,0,0,0,0,0,0,0,0
2022-10-01 03:00,0,0,0,0,0,0,0,0,0,0
2022-10-01 03:15,0,0,0,0,0,0,0,0,0,0
2022-10-01 03:30,0,0,0,0,0,0,0,0,0,0
2022-10-01 03:45,0,0,0,0,0,0,0,0,0,0
2022-10-01 04:00,0,0,0,0,0,0,0,0,0,0
2022-10-01 04:15,0,0,0,0,0,0,0,0,0,0
2022-10-01 04:30,0,0,0,0,0,0,0,0,0,0
2022-10-01 04:45,0,0,0,0,0,0,0,0,0,0
2022-10-01 05:00,1,1,0,0,0,0,0,0,0,0
2022-10-01 05:15,0,0,0,0,0,0,0,0,0,0
2022-10-01 05:30,0,0,0,0,0,0,0,0,0,0
2022-10-01 05:45,0,0,0,0,0,0,0,0,0,0
2022-10-01 06:00,0,0,0,0,0,0,0,0,0,0
2022-10-01 06:15,1,0,1,0,0,0,0,0,0,0
2022-10-01 06:30,0,0,0,0,0,0,0,0,0,0
2022-10-01 06:45,1,0,1,0,0,0,0,0,0,0
2022-10-01 07:00,2,0,2,0,0,0,0,0,0,0
2022-10-01 07:15,0,0,0,0,0,0,0,0,0,0
2022-10-01 07:30,1,0,1,0,0,0,0,0,0,0
2022-10-01 07:45,1,0,1,0,0,0,0,0,0,0
2022-10-01 08:00,3,1,0,2,0,0,0,0,0,0
2022-10-01 08:15,0,0,0,0,0,0,0,0,0,0
2022-10-01 08:30,4,0,1,2,1,0,0,0,0,0
2022-10-01 08:45,1,0,1,0,0,0,0,0,0,0
2022-10-01 09:00,0,0,0,0,0,0,0,0,0,0
2022-10-01 09:15,0,0,0,0,0,0,0,0,0,0
2022-10-01 09:30,1,0,0,1,0,0,0,0,0,0
2022-10-01 09:45,1,0,0,1,0,0,0,0,0,0
2022-10-01 10:00,2,0,0,2,0,0,0,0,0,0
2022-10-01 10:15,4,1,2,1,0,0,0,0,0,0
2022-10-01 10:30,1,0,1,0,0,0,0,0,0,0
2022-10-01 10:45,5,2,1,1,1,0,0,0,0,0
2022-10-01 11:00,18,0,14,2,2,0,0,0,0,0
2022-10-01 11:15,2,0,2,0,0,0,0,0,0,0
2022-10-01 11:30,4,0,2,2,0,0,0,0,0,0
2022-10-01 11:45,2,0,1,1,0,0,0,0,0,0
2022-10-01 12:00,9,1,8,0,0,0,0,0,0,0
2022-10-01 12:15,7,1,6,0,0,0,0,0,0,0
2022-10-01 12:30,6,3,2,1,0,0,0,0,0,0
2022-10-01 12:45,4,0,2,1,1,0,0,0,0,0
2022-10-01 13:00,5,0,5,0,0,0,0,0,0,0
2022-10-01 13:15,3,1,1,1,0,0,0,0,0,0
2022-10-01 13:30,6,2,2,1,1,0,0,0,0,0
2022-10-01 13:45,5,0,2,2,1,0,0,0,0,0
2022-10-01 14:00,5,1,2,2,0,0,0,0,0,0
2022-10-01 14:15,4,0,0,4,0,0,0,0,0,0
2022-10-01 14:30,8,0,5,3,0,0,0,0,0,0
2022-10-01 14:45,9,1,4,3,1,0,0,0,0,0
2022-10-01 15:00,4,0,2,1,1,0,0,0,0,0
2022-10-01 15:15,13,3,5,4,1,0,0,0,0,0
2022-10-01 15:30,5,2,2,1,0,0,0,0,0,0
2022-10-01 15:45,6,2,2,2,0,0,0,0,0,0
2022-10-01 16:00,5,1,4,0,0,0,0,0,0,0
2022-10-01 16:15,6,1,1,4,0,0,0,0,0,0
2022-10-01 16:30,3,0,1,2,0,0,0,0,0,0
2022-10-01 16:45,7,1,4,2,0,0,0,0,0,0
2022-10-01 17:00,9,0,2,7,0,0,0,0,0,0
2022-10-01 17:15,16,1,7,7,1,0,0,0,0,0
2022-10-01 17:30,9,2,5,2,0,0,0,0,0,0
2022-10-01 17:45,9,0,4,5,0,0,0,0,0,0
2022-10-01 18:00,13,0,9,3,1,0,0,0,0,0
2022-10-01 18:15,9,3,1,5,0,0,0,0,0,0
2022-10-01 18:30,3,0,1,2,0,0,0,0,0,0
2022-10-01 18:45,4,0,2,2,0,0,0,0,0,0
2022-10-01 19:00,6,0,6,0,0,0,0,0,0,0
2022-10-01 19:15,4,1,2,1,0,0,0,0,0,0
2022-10-01 19:30,7,0,5,2,0,0,0,0,0,0
2022-10-01 19:45,2,1,0,1,0,0,0,0,0,0
2022-10-01 20:00,1,0,1,0,0,0,0,0,0,0
2022-10-01 20:15,1,1,0,0,0,0,0,0,0,0
2022-10-01 20:30,3,2,0,1,0,0,0,0,0,0
2022-10-01 20:45,3,1,0,2,0,0,0,0,0,0
2022-10-01 21:00,1,0,0,1,0,0,0,0,0,0
2022-10-01 21:15,1,0,0,1,0,0,0,0,0,0
2022-10-01 21:30,0,0,0,0,0,0,0,0,0,0
2022-10-01 21:45,0,0,0,0,0,0,0,0,0,0
2022-10-01 22:00,3,0,2,0,1,0,0,0,0,0
2022-10-01 22:15,0,0,0,0,0,0,0,0,0,0
2022-10-01 22:30,0,0,0,0,0,0,0,0,0,0
2022-10-01 22:45,3,1,1,0,1,0,0,0,0,0
2022-10-01 23:00,1,0,0,1,0,0,0,0,0,0
2022-10-01 23:15,0,0,0,0,0,0,0,0,0,0
2022-10-01 23:30,2,0,0,2,0,0,0,0,0,0
2022-10-01 23:45,0,0,0,0,0,0,0,0,0,0
2022-10-02 00:00,1,0,1,0,0,0,0,0,0,0
2022-10-02 00:15,2,0,2,0,0,0,0,0,0,0
2022-10-02 00:30,0,0,0,0,0,0,0,0,0,0
2022-10-02 00:45,1,0,0,0,1,0,0,0,0,0
2022-10-02 01:00,0,0,0,0,0,0,0,0,0,0
2022-10-02 01:15,0,0,0,0,0,0,0,0,0,0
2022-10-02 01:30,1,0,1,0,0,0,0,0,0,0
2022-10-02 01:45,0,0,0,0,0,0,0,0,0,0
2022-10-02 02:00,0,0,0,0,0,0,0,0,0,0
2022-10-02 02:15,0,0,0,0,0,0,0,0,0,0
2022-10-02 02:30,0,0,0,0,0,0,0,0,0,0
2022-10-02 02:45,0,0,0,0,0,0,0,0,0,0
2022-10-02 03:00,1,0,1,0,0,0,0,0,0,0
2022-10-02 03:15,0,0,0,0,0,0,0,0,0,0
2022-10-02 03:30,0,0,0,0,0,0,0,0,0,0
2022-10-02 03:45,0,0,0,0,0,0,0,0,0,0
2022-10-02 04:00,0,0,0,0,0,0,0,0,0,0
2022-10-02 04:15,1,1,0,0,0,0,0,0,0,0
2022-10-02 04:30,0,0,0,0,0,0,0,0,0,0
2022-10-02 04:45,0,0,0,0,0,0,0,0,0,0
2022-10-02 05:00,0,0,0,0,0,0,0,0,0,0
2022-10-02 05:15,0,0,0,0,0,0,0,0,0,0
2022-10-02 05:30,0,0,0,0,0,0,0,0,0,0
2022-10-02 05:45,1,1,0,0,0,0,0,0,0,0
2022-10-02 06:00,0,0,0,0,0,0,0,0,0,0
2022-10-02 06:15,0,0,0,0,0,0,0,0,0,0
