Datetime,100031300 (Hafenstraße),101031300 (Hafenstraße Fahrräder IN),102031300 (Hafenstraße Fahrräder OUT),100031300-status,101031300-status,102031300-status
2024-03-01 00:00,26,6,20,0,0,0
2024-03-01 00:15,18,6,12,0,0,0
2024-03-01 00:30,11,3,8,0,0,0
2024-03-01 00:45,12,3,9,0,0,0
2024-03-01 01:00,8,0,8,0,0,0
2024-03-01 01:15,7,1,6,0,0,0
2024-03-01 01:30,5,0,5,0,0,0
2024-03-01 01:45,5,2,3,0,0,0
2024-03-01 02:00,6,0,6,0,0,0
2024-03-01 02:15,14,0,14,0,0,0
2024-03-01 02:30,7,3,4,0,0,0
2024-03-01 02:45,3,2,1,0,0,0
2024-03-01 03:00,1,0,1,0,0,0
2024-03-01 03:15,1,1,0,0,0,0
2024-03-01 03:30,4,2,2,0,0,0
2024-03-01 03:45,6,3,3,0,0,0
2024-03-01 04:00,1,0,1,0,0,0
2024-03-01 04:15,2,0,2,0,0,0
2024-03-01 04:30,2,1,1,0,0,0
2024-03-01 04:45,2,1,1,0,0,0
2024-03-01 05:00,4,3,1,0,0,0
2024-03-01 05:15,16,8,8,0,0,0
2024-03-01 05:30,19,8,11,0,0,0
2024-03-01 05:45,26,16,10,0,0,0
2024-03-01 06:00,26,7,19,0,0,0
2024-03-01 06:15,44,20,24,0,0,0
2024-03-01 06:30,53,28,25,0,0,0
2024-03-01 06:45,64,33,31,0,0,0
2024-03-01 07:00,74,38,36,0,0,0
2024-03-01 07:15,108,44,64,0,0,0
2024-03-01 07:30,163,68,95,0,0,0
2024-03-01 07:45,138,73,65,0,0,0
2024-03-01 08:00,123,73,50,0,0,0
2024-03-01 08:15,146,81,65,0,0,0
2024-03-01 08:30,113,45,68,0,0,0
2024-03-01 08:45,113,67,46,0,0,0
2024-03-01 09:00,71,33,38,0,0,0
2024-03-01 09:15,83,31,52,0,0,0
2024-03-01 09:30,88,36,52,0,0,0
2024-03-01 09:45,92,33,59,0,0,0
2024-03-01 10:00,88,38,50,0,0,0
2024-03-01 10:15,71,25,46,0,0,0
2024-03-01 10:30,82,34,48,0,0,0
2024-03-01 10:45,75,35,40,0,0,0
2024-03-01 11:00,85,38,47,0,0,0
2024-03-01 11:15,72,39,33,0,0,0
2024-03-01 11:30,72,32,40,0,0,0
2024-03-01 11:45,126,78,48,0,0,0
2024-03-01 12:00,127,70,57,0,0,0
2024-03-01 12:15,104,58,46,0,0,0
2024-03-01 12:30,149,52,97,0,0,0
2024-03-01 12:45,117,47,70,0,0,0
2024-03-01 13:00,114,48,66,0,0,0
2024-03-01 13:15,144,67,77,0,0,0
2024-03-01 13:30,102,41,61,0,0,0
2024-03-01 13:45,154,78,76,0,0,0
2024-03-01 14:00,123,53,70,0,0,0
2024-03-01 14:15,127,70,57,0,0,0
2024-03-01 14:30,122,60,62,0,0,0
2024-03-01 14:45,104,38,66,0,0,0
2024-03-01 15:00,144,79,65,0,0,0
2024-03-01 15:15,114,54,60,0,0,0
2024-03-01 15:30,120,59,61,0,0,0
2024-03-01 15:45,125,61,64,0,0,0
2024-03-01 16:00,108,60,48,0,0,0
2024-03-01 16:15,101,43,58,0,0,0
2024-03-01 16:30,134,65,69,0,0,0
2024-03-01 16:45,150,63,87,0,0,0
2024-03-01 17:00,167,73,94,0,0,0
2024-03-01 17:15,132,55,77,0,0,0
2024-03-01 17:30,113,53,60,0,0,0
2024-03-01 17:45,150,87,63,0,0,0
2024-03-01 18:00,149,69,80,0,0,0
2024-03-01 18:15,128,65,63,0,0,0
2024-03-01 18:30,136,83,53,0,0,0
2024-03-01 18:45,116,57,59,0,0,0
2024-03-01 19:00,103,60,43,0,0,0
2024-03-01 19:15,111,62,49,0,0,0
2024-03-01 19:30,100,61,39,0,0,0
2024-03-01 19:45,106,57,49,0,0,0
2024-03-01 20:00,106,53,53,0,0,0
2024-03-01 20:15,96,61,35,0,0,0
2024-03-01 20:30,67,31,36,0,0,0
2024-03-01 20:45,76,29,47,0,0,0
2024-03-01 21:00,62,33,29,0,0,0
2024-03-01 21:15,46,23,23,0,0,0
2024-03-01 21:30,55,25,30,0,0,0
2024-03-01 21:45,57,30,27,0,0,0
2024-03-01 22:00,58,22,36,0,0,0
2024-03-01 22:15,78,27,51,0,0,0
2024-03-01 22:30,58,21,37,0,0,0
2024-03-01 22:45,76,15,61,0,0,0
2024-03-01 23:00,58,23,35,0,0,0
2024-03-01 23:15,64,28,36,0,0,0
2024-03-01 23:30,39,7,32,0,0,0
2024-03-01 23:45,72,26,46,0,0,0
2024-03-02 00:00,25,4,21,0,0,0
2024-03-02 00:15,41,16,25,0,0,0
2024-03-02 00:30,38,14,24,0,0,0
2024-03-02 00:45,36,16,20,0,0,0
2024-03-02 01:00,24,8,16,0,0,0
2024-03-02 01:15,42,8,34,0,0,0
2024-03-02 01:30,31,13,18,0,0,0
2024-03-02 01:45,21,10,11,0,0,0
2024-03-02 02:00,18,5,13,0,0,0
2024-03-02 02:15,19,4,15,0,0,0
2024-03-02 02:30,10,4,6,0,0,0
2024-03-02 02:45,23,11,12,0,0,0
2024-03-02 03:00,12,1,11,0,0,0
2024-03-02 03:15,21,5,16,0,0,0
2024-03-02 03:30,25,5,20,0,0,0
2024-03-02 03:45,13,1,12,0,0,0
2024-03-02 04:00,12,1,11,0,0,0
2024-03-02 04:15,12,8,4,0,0,0
2024-03-02 04:30,23,5,18,0,0,0
2024-03-02 04:45,15,3,12,0,0,0
2024-03-02 05:00,13,4,9,0,0,0
2024-03-02 05:15,11,2,9,0,0,0
2024-03-02 05:30,14,3,11,0,0,0
2024-03-02 05:45,14,3,11,0,0,0
2024-03-02 06:00,14,4,10,0,0,0
2024-03-02 06:15,4,3,1,0,0,0
2024-03-02 06:30,13,6,7,0,0,0
2024-03-02 06:45,5,1,4,0,0,0
2024-03-02 07:00,9,4,5,0,0,0
2024-03-02 07:15,17,9,8,0,0,0
2024-03-02 07:30,14,5,9,0,0,0
2024-03-02 07:45,18,4,14,0,0,0
2024-03-02 08:00,15,3,12,0,0,0
2024-03-02 08:15,23,8,15,0,0,0
2024-03-02 08:30,30,18,12,0,0,0
2024-03-02 08:45,50,15,35,0,0,0
2024-03-02 09:00,34,15,19,0,0,0
2024-03-02 09:15,45,17,28,0,0,0
2024-03-02 09:30,49,20,29,0,0,0
2024-03-02 09:45,82,40,42,0,0,0
2024-03-02 10:00,59,28,31,0,0,0
2024-03-02 10:15,75,29,46,0,0,0
2024-03-02 10:30,86,33,53,0,0,0
2024-03-02 10:45,64,36,28,0,0,0
2024-03-02 11:00,82,34,48,0,0,0
2024-03-02 11:15,77,35,42,0,0,0
2024-03-02 11:30,74,33,41,0,0,0
2024-03-02 11:45,102,40,62,0,0,0
2024-03-02 12:00,105,45,60,0,0,0
2024-03-02 12:15,93,43,50,0,0,0
2024-03-02 12:30,107,43,64,0,0,0
2024-03-02 12:45,132,59,73,0,0,0
2024-03-02 13:00,93,53,40,0,0,0
2024-03-02 13:15,104,41,63,0,0,0
2024-03-02 13:30,95,41,54,0,0,0
2024-03-02 13:45,105,50,55,0,0,0
2024-03-02 14:00,107,47,60,0,0,0
