Datetime,300037931 (Gasselstiege),353413846 (Gasselstiege Fahrräder Stadteinwärts),353413847 (Gasselstiege Fahrräder Stadtauswärts),353426663 (Gasselstiege Fahrräder Stadteinwärts),353426665 (Gasselstiege Fahrräder Stadteinwärts),353426666 (Gasselstiege Fahrräder Stadtauswärts),353426668 (Gasselstiege Fahrräder Stadtauswärts),300037931-status,353413846-status,353413847-status,353426663-status,353426665-status,353426666-status,353426668-status
2025-06-01 00:00,23,4,19,,,,,0,0,0,,,,
2025-06-01 00:15,8,6,2,,,,,0,0,0,,,,
2025-06-01 00:30,4,1,3,,,,,0,0,0,,,,
2025-06-01 00:45,3,3,0,,,,,0,0,0,,,,
2025-06-01 01:00,5,1,4,,,,,0,0,0,,,,
2025-06-01 01:15,7,3,4,,,,,0,0,0,,,,
2025-06-01 01:30,8,3,5,,,,,0,0,0,,,,
2025-06-01 01:45,4,2,2,,,,,0,0,0,,,,
2025-06-01 02:00,1,0,1,,,,,0,0,0,,,,
2025-06-01 02:15,2,0,2,,,,,0,0,0,,,,
2025-06-01 02:30,0,0,0,,,,,0,0,0,,,,
2025-06-01 02:45,5,2,3,,,,,0,0,0,,,,
2025-06-01 03:00,2,0,2,,,,,0,0,0,,,,
2025-06-01 03:15,1,0,1,,,,,0,0,0,,,,
2025-06-01 03:30,0,0,0,,,,,0,0,0,,,,
2025-06-01 03:45,1,0,1,,,,,0,0,0,,,,
2025-06-01 04:00,2,1,1,,,,,0,0,0,,,,
2025-06-01 04:15,0,0,0,,,,,0,0,0,,,,
2025-06-01 04:30,0,0,0,,,,,0,0,0,,,,
2025-06-01 04:45,0,0,0,,,,,0,0,0,,,,
2025-06-01 05:00,2,1,1,,,,,0,0,0,,,,
2025-06-01 05:15,2,1,1,,,,,0,0,0,,,,
2025-06-01 05:30,3,2,1,,,,,0,0,0,,,,
2025-06-01 05:45,2,1,1,,,,,0,0,0,,,,
2025-06-01 06:00,1,0,1,,,,,0,0,0,,,,
2025-06-01 06:15,5,1,4,,,,,0,0,0,,,,
2025-06-01 06:30,4,3,1,,,,,0,0,0,,,,
