Datetime,300037933 (Weißenburgstraße),353413852 (Weißenburgstraße Fahrräder Stadteinwärts),353413853 (Weißenburgstraße Fahrräder Stadtauswärts),300037933-status,353413852-status,353413853-status
2025-10-01 00:00,2,1,1,0,0,0
2025-10-01 00:15,0,0,0,0,0,0
2025-10-01 00:30,0,0,0,0,0,0
2025-10-01 00:45,0,0,0,0,0,0
2025-10-01 01:00,0,0,0,0,0,0
2025-10-01 01:15,1,0,1,0,0,0
2025-10-01 01:30,0,0,0,0,0,0
2025-10-01 01:45,3,2,1,0,0,0
2025-10-01 02:00,2,1,1,0,0,0
2025-10-01 02:15,0,0,0,0,0,0
2025-10-01 02:30,0,0,0,0,0,0
2025-10-01 02:45,0,0,0,0,0,0
2025-10-01 03:00,0,0,0,0,0,0
2025-10-01 03:15,1,0,1,0,0,0
2025-10-01 03:30,0,0,0,0,0,0
2025-10-01 03:45,0,0,0,0,0,0
2025-10-01 04:00,0,0,0,0,0,0
2025-10-01 04:15,1,0,1,0,0,0
2025-10-01 04:30,1,0,1,0,0,0
2025-10-01 04:45,0,0,0,0,0,0
2025-10-01 05:00,2,2,0,0,0,0
2025-10-01 05:15,3,2,1,0,0,0
2025-10-01 05:30,6,4,2,0,0,0
2025-10-01 05:45,2,1,1,0,0,0
2025-10-01 06:00,5,3,2,0,0,0
2025-10-01 06:15,2,2,0,0,0,0
2025-10-01 06:30,16,5,11,0,0,0
2025-10-01 06:45,11,5,6,0,0,0
2025-10-01 07:00,18,8,10,0,0,0
2025-10-01 07:15,37,7,30,0,0,0
2025-10-01 07:30,127,21,106,0,0,0
2025-10-01 07:45,42,22,20,0,0,0
2025-10-01 08:00,36,11,25,0,0,0
2025-10-01 08:15,34,11,23,0,0,0
2025-10-01 08:30,29,14,15,0,0,0
2025-10-01 08:45,24,8,16,0,0,0
2025-10-01 09:00,27,9,18,0,0,0
2025-10-01 09:15,33,15,18,0,0,0
2025-10-01 09:30,16,5,11,0,0,0
2025-10-01 09:45,27,7,20,0,0,0
2025-10-01 10:00,16,8,8,0,0,0
2025-10-01 10:15,18,4,14,0,0,0
2025-10-01 10:30,14,8,6,0,0,0
2025-10-01 10:45,16,9,7,0,0,0
2025-10-01 11:00,19,6,13,0,0,0
2025-10-01 11:15,25,15,10,0,0,0
2025-10-01 11:30,24,10,14,0,0,0
2025-10-01 11:45,28,15,13,0,0,0
2025-10-01 12:00,28,23,5,0,0,0
2025-10-01 12:15,24,14,10,0,0,0
2025-10-01 12:30,37,19,18,0,0,0
2025-10-01 12:45,21,11,10,0,0,0
2025-10-01 13:00,26,14,12,0,0,0
2025-10-01 13:15,27,10,17,0,0,0
2025-10-01 13:30,27,17,10,0,0,0
2025-10-01 13:45,70,55,15,0,0,0
2025-10-01 14:00,30,18,12,0,0,0
2025-10-01 14:15,26,13,13,0,0,0
2025-10-01 14:30,31,20,11,0,0,0
2025-10-01 14:45,32,21,11,0,0,0
2025-10-01 15:00,34,23,11,0,0,0
2025-10-01 15:15,42,21,21,0,0,0
2025-10-01 15:30,36,19,17,0,0,0
2025-10-01 15:45,40,29,11,0,0,0
2025-10-01 16:00,32,16,16,0,0,0
2025-10-01 16:15,38,24,14,0,0,0
2025-10-01 16:30,37,21,16,0,0,0
2025-10-01 16:45,34,19,15,0,0,0
2025-10-01 17:00,29,11,18,0,0,0
2025-10-01 17:15,33,16,17,0,0,0
2025-10-01 17:30,40,19,21,0,0,0
2025-10-01 17:45,20,10,10,0,0,0
2025-10-01 18:00,36,15,21,0,0,0
2025-10-01 18:15,34,15,19,0,0,0
2025-10-01 18:30,34,18,16,0,0,0
2025-10-01 18:45,18,9,9,0,0,0
2025-10-01 19:00,10,5,5,0,0,0
2025-10-01 19:15,21,13,8,0,0,0
2025-10-01 19:30,17,11,6,0,0,0
2025-10-01 19:45,18,7,11,0,0,0
2025-10-01 20:00,14,11,3,0,0,0
2025-10-01 20:15,18,7,11,0,0,0
2025-10-01 20:30,7,3,4,0,0,0
2025-10-01 20:45,6,5,1,0,0,0
2025-10-01 21:00,9,5,4,0,0,0
2025-10-01 21:15,24,18,6,0,0,0
2025-10-01 21:30,7,4,3,0,0,0
2025-10-01 21:45,6,4,2,0,0,0
2025-10-01 22:00,7,4,3,0,0,0
2025-10-01 22:15,3,3,0,0,0,0
2025-10-01 22:30,10,8,2,0,0,0
2025-10-01 22:45,5,5,0,0,0,0
2025-10-01 23:00,6,5,1,0,0,0
2025-10-01 23:15,4,1,3,0,0,0
2025-10-01 23:30,1,1,0,0,0,0
2025-10-01 23:45,3,3,0,0,0,0
2025-10-02 00:00,1,1,0,0,0,0
2025-10-02 00:15,2,1,1,0,0,0
2025-10-02 00:30,0,0,0,0,0,0
2025-10-02 00:45,0,0,0,0,0,0
2025-10-02 01:00,0,0,0,0,0,0
2025-10-02 01:15,1,1,0,0,0,0
2025-10-02 01:30,1,0,1,0,0,0
2025-10-02 01:45,1,0,1,0,0,0
2025-10-02 02:00,0,0,0,0,0,0
2025-10-02 02:15,0,0,0,0,0,0
2025-10-02 02:30,1,0,1,0,0,0
2025-10-02 02:45,2,2,0,0,0,0
2025-10-02 03:00,0,0,0,0,0,0
2025-10-02 03:15,1,0,1,0,0,0
2025-10-02 03:30,5,5,0,0,0,0
2025-10-02 03:45,1,1,0,0,0,0
2025-10-02 04:00,0,0,0,0,0,0
2025-10-02 04:15,0,0,0,0,0,0
2025-10-02 04:30,1,0,1,0,0,0
2025-10-02 04:45,0,0,0,0,0,0
2025-10-02 05:00,2,1,1,0,0,0
2025-10-02 05:15,2,2,0,0,0,0
2025-10-02 05:30,7,5,2,0,0,0
2025-10-02 05:45,3,2,1,0,0,0
2025-10-02 06:00,4,2,2,0,0,0
2025-10-02 06:15,3,3,0,0,0,0
2025-10-02 06:30,12,6,6,0,0,0
2025-10-02 06:45,7,0,7,0,0,0
2025-10-02 07:00,19,9,10,0,0,0
2025-10-02 07:15,34,6,28,0,0,0
2025-10-02 07:30,125,19,106,0,0,0
2025-10-02 07:45,46,20,26,0,0,0
2025-10-02 08:00,34,9,25,0,0,0
2025-10-02 08:15,40,18,22,0,0,0
2025-10-02 08:30,19,5,14,0,0,0
2025-10-02 08:45,22,7,15,0,0,0
2025-10-02 09:00,21,14,7,0,0,0
2025-10-02 09:15,25,11,14,0,0,0
2025-10-02 09:30,27,13,14,0,0,0
2025-10-02 09:45,25,9,16,0,0,0
2025-10-02 10:00,23,7,16,0,0,0
2025-10-02 10:15,16,4,12,0,0,0
2025-10-02 10:30,22,7,15,0,0,0
2025-10-02 10:45,13,4,9,0,0,0
2025-10-02 11:00,35,17,18,0,0,0
2025-10-02 11:15,27,16,11,0,0,0
2025-10-02 11:30,19,8,11,0,0,0
2025-10-02 11:45,20,9,11,0,0,0
2025-10-02 12:00,19,8,11,0,0,0
2025-10-02 12:15,31,23,8,0,0,0
2025-10-02 12:30,26,20,6,0,0,0
2025-10-02 12:45,19,6,13,0,0,0
2025-10-02 13:00,36,22,14,0,0,0
2025-10-02 13:15,35,22,13,0,0,0
2025-10-02 13:30,24,11,13,0,0,0
2025-10-02 13:45,73,60,13,0,0,0
2025-10-02 14:00,40,25,15,0,0,0
2025-10-02 14:15,37,21,16,0,0,0
2025-10-02 14:30,35,20,15,0,0,0
2025-10-02 14:45,30,13,17,0,0,0
2025-10-02 15:00,45,26,19,0,0,0
2025-10-02 15:15,38,26,12,0,0,0
2025-10-02 15:30,52,21,31,0,0,0
2025-10-02 15:45,33,22,11,0,0,0
2025-10-02 16:00,41,19,22,0,0,0
2025-10-02 16:15,24,12,12,0,0,0
2025-10-02 16:30,53,29,24,0,0,0
2025-10-02 16:45,59,35,24,0,0,0
2025-10-02 17:00,28,15,13,0,0,0
2025-10-02 17:15,31,22,9,0,0,0
2025-10-02 17:30,48,35,13,0,0,0
2025-10-02 17:45,33,17,16,0,0,0
2025-10-02 18:00,34,23,11,0,0,0
2025-10-02 18:15,27,13,14,0,0,0
2025-10-02 18:30,18,9,9,0,0,0
2025-10-02 18:45,33,22,11,0,0,0
2025-10-02 19:00,16,7,9,0,0,0
2025-10-02 19:15,21,12,9,0,0,0
2025-10-02 19:30,27,14,13,0,0,0
2025-10-02 19:45,19,13,6,0,0,0
2025-10-02 20:00,17,12,5,0,0,0
2025-10-02 20:15,14,9,5,0,0,0
2025-10-02 20:30,7,4,3,0,0,0
2025-10-02 20:45,7,3,4,0,0,0
2025-10-02 21:00,18,8,10,0,0,0
2025-10-02 21:15,9,5,4,0,0,0
2025-10-02 21:30,10,6,4,0,0,0
2025-10-02 21:45,4,2,2,0,0,0
2025-10-02 22:00,3,3,0,0,0,0
2025-10-02 22:15,7,4,3,0,0,0
2025-10-02 22:30,4,3,1,0,0,0
2025-10-02 22:45,10,8,2,0,0,0
2025-10-02 23:00,4,3,1,0,0,0
2025-10-02 23:15,6,5,1,0,0,0
2025-10-02 23:30,3,3,0,0,0,0
2025-10-02 23:45,5,2,3,0,0,0
2025-10-03 00:00,4,2,2,0,0,0
2025-10-03 00:15,1,1,0,0,0,0
2025-10-03 00:30,3,1,2,0,0,0
2025-10-03 00:45,3,2,1,0,0,0
2025-10-03 01:00,4,3,1,0,0,0
2025-10-03 01:15,0,0,0,0,0,0
2025-10-03 01:30,0,0,0,0,0,0
2025-10-03 01:45,4,2,2,0,0,0
2025-10-03 02:00,5,4,1,0,0,0
2025-10-03 02:15,1,0,1,0,0,0
2025-10-03 02:30,1,1,0,0,0,0
2025-10-03 02:45,0,0,0,0,0,0
2025-10-03 03:00,0,0,0,0,0,0
2025-10-03 03:15,0,0,0,0,0,0
2025-10-03 03:30,0,0,0,0,0,0
2025-10-03 03:45,0,0,0,0,0,0
2025-10-03 04:00,2,1,1,0,0,0
2025-10-03 04:15,0,0,0,0,0,0
2025-10-03 04:30,0,0,0,0,0,0
2025-10-03 04:45,1,0,1,0,0,0
2025-10-03 05:00,0,0,0,0,0,0
2025-10-03 05:15,0,0,0,0,0,0
2025-10-03 05:30,3,2,1,0,0,0
2025-10-03 05:45,0,0,0,0,0,0
2025-10-03 06:00,1,0,1,0,0,0
2025-10-03 06:15,1,0,1,0,0,0
2025-10-03 06:30,3,1,2,0,0,0
2025-10-03 06:45,2,0,2,0,0,0
2025-10-03 07:00,2,1,1,0,0,0
2025-10-03 07:15,1,0,1,0,0,0
2025-10-03 07:30,2,1,1,0,0,0
2025-10-03 07:45,4,1,3,0,0,0
2025-10-03 08:00,4,1,3,0,0,0
2025-10-03 08:15,5,3,2,0,0,0
2025-10-03 08:30,2,0,2,0,0,0
2025-10-03 08:45,1,0,1,0,0,0
2025-10-03 09:00,12,2,10,0,0,0
2025-10-03 09:15,9,1,8,0,0,0
2025-10-03 09:30,14,4,10,0,0,0
2025-10-03 09:45,13,6,7,0,0,0
2025-10-03 10:00,15,6,9,0,0,0
2025-10-03 10:15,5,1,4,0,0,0
2025-10-03 10:30,15,10,5,0,0,0
2025-10-03 10:45,10,4,6,0,0,0
2025-10-03 11:00,15,10,5,0,0,0
2025-10-03 11:15,15,8,7,0,0,0
2025-10-03 11:30,15,5,10,0,0,0
2025-10-03 11:45,30,13,17,0,0,0
2025-10-03 12:00,14,7,7,0,0,0
2025-10-03 12:15,19,12,7,0,0,0
