Datetime,300037926 (Bohlweg),353413831 (Bohlweg Fahrräder Stadteinwärts),353413832 (Bohlweg Fahrräder Stadtauswärts),353484923 (Bohlweg Fahrräder Stadteinwärts),353484925 (Bohlweg Fahrräder Stadtauswärts),353484927 (Bohlweg Fahrräder Stadteinwärts),353484928 (Bohlweg Fahrräder Stadtauswärts),353484929 (Bohlweg Fahrräder Stadteinwärts),353484930 (Bohlweg Fahrräder Stadtauswärts),353485115 (Bohlweg PKW Stadteinwärts),353485118 (Bohlweg PKW Stadtauswärts),353485121 (Bohlweg PKW Stadteinwärts),353485123 (Bohlweg PKW Stadtauswärts),353485125 (Bohlweg PKW Stadteinwärts),353485126 (Bohlweg PKW Stadtauswärts),353485127 (Bohlweg PKW Stadteinwärts),353485128 (Bohlweg PKW Stadtauswärts),300037926-status,353413831-status,353413832-status,353484923-status,353484925-status,353484927-status,353484928-status,353484929-status,353484930-status,353485115-status,353485118-status,353485121-status,353485123-status,353485125-status,353485126-status,353485127-status,353485128-status
2025-06-01 00:00,28,10,18,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 00:15,24,5,19,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 00:30,16,7,9,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 00:45,9,4,5,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 01:00,11,3,8,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 01:15,23,7,16,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 01:30,10,2,8,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 01:45,2,0,2,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 02:00,12,8,4,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 02:15,9,2,7,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 02:30,4,3,1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 02:45,8,2,6,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 03:00,2,2,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 03:15,7,0,7,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 03:30,2,0,2,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 03:45,4,0,4,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 04:00,1,0,1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 04:15,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 04:30,2,0,2,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 04:45,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 05:00,3,1,2,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 05:15,3,1,2,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 05:30,2,2,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 05:45,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 06:00,2,1,1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 06:15,7,6,1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 06:30,2,1,1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 06:45,8,4,4,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 07:00,2,1,1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 07:15,5,2,3,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 07:30,4,2,2,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 07:45,4,1,3,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 08:00,1,0,1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 08:15,14,3,11,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 08:30,21,14,7,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 08:45,18,8,10,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 09:00,15,9,6,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 09:15,17,13,4,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 09:30,13,6,7,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 09:45,38,24,14,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 10:00,44,34,10,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 10:15,44,28,16,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 10:30,31,20,11,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 10:45,38,21,17,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 11:00,33,21,12,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 11:15,43,21,22,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 11:30,45,22,23,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 11:45,46,30,16,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 12:00,46,28,18,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 12:15,57,33,24,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 12:30,51,26,25,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 12:45,66,34,32,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 13:00,51,26,25,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 13:15,57,31,26,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 13:30,66,31,35,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 13:45,56,34,22,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2025-06-01 14:00,61,32,29,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
