Datetime,300037926 (Bohlweg),353413831 (Bohlweg [Bike Stadteinwärts]),353413832 (Bohlweg [Bike Stadtauswärts]),300037926-status,353413831-status,353413832-status
2024-04-01 00:00,7,5,2,0,0,0
2024-04-01 00:15,5,0,5,0,0,0
2024-04-01 00:30,4,1,3,0,0,0
2024-04-01 00:45,3,3,0,0,0,0
2024-04-01 01:00,3,1,2,0,0,0
2024-04-01 01:15,2,2,0,0,0,0
2024-04-01 01:30,2,1,1,0,0,0
2024-04-01 01:45,1,0,1,0,0,0
2024-04-01 02:00,1,0,1,0,0,0
2024-04-01 02:15,2,1,1,0,0,0
2024-04-01 02:30,3,0,3,0,0,0
2024-04-01 02:45,2,0,2,0,0,0
2024-04-01 03:00,0,0,0,0,0,0
2024-04-01 03:15,1,0,1,0,0,0
2024-04-01 03:30,0,0,0,0,0,0
2024-04-01 03:45,2,0,2,0,0,0
2024-04-01 04:00,1,1,0,0,0,0
2024-04-01 04:15,1,0,1,0,0,0
2024-04-01 04:30,0,0,0,0,0,0
2024-04-01 04:45,0,0,0,0,0,0
2024-04-01 05:00,0,0,0,0,0,0
2024-04-01 05:15,3,2,1,0,0,0
2024-04-01 05:30,0,0,0,0,0,0
2024-04-01 05:45,4,2,2,0,0,0
2024-04-01 06:00,1,0,1,0,0,0
2024-04-01 06:15,3,0,3,0,0,0
2024-04-01 06:30,2,1,1,0,0,0
2024-04-01 06:45,2,1,1,0,0,0
2024-04-01 07:00,2,1,1,0,0,0
2024-04-01 07:15,3,1,2,0,0,0
2024-04-01 07:30,3,2,1,0,0,0
2024-04-01 07:45,2,2,0,0,0,0
2024-04-01 08:00,3,2,1,0,0,0
2024-04-01 08:15,0,0,0,0,0,0
2024-04-01 08:30,3,3,0,0,0,0
2024-04-01 08:45,3,3,0,0,0,0
2024-04-01 09:00,3,1,2,0,0,0
2024-04-01 09:15,6,2,4,0,0,0
2024-04-01 09:30,6,4,2,0,0,0
2024-04-01 09:45,11,7,4,0,0,0
2024-04-01 10:00,6,3,3,0,0,0
2024-04-01 10:15,1,1,0,0,0,0
2024-04-01 10:30,4,3,1,0,0,0
2024-04-01 10:45,8,4,4,0,0,0
2024-04-01 11:00,6,5,1,0,0,0
2024-04-01 11:15,11,3,8,0,0,0
2024-04-01 11:30,9,5,4,0,0,0
2024-04-01 11:45,8,2,6,0,0,0
2024-04-01 12:00,8,6,2,0,0,0
2024-04-01 12:15,12,5,7,0,0,0
2024-04-01 12:30,11,4,7,0,0,0
2024-04-01 12:45,13,10,3,0,0,0
2024-04-01 13:00,9,6,3,0,0,0
2024-04-01 13:15,16,7,9,0,0,0
2024-04-01 13:30,16,9,7,0,0,0
2024-04-01 13:45,17,11,6,0,0,0
2024-04-01 14:00,7,2,5,0,0,0
2024-04-01 14:15,12,7,5,0,0,0
2024-04-01 14:30,12,9,3,0,0,0
2024-04-01 14:45,21,15,6,0,0,0
2024-04-01 15:00,14,10,4,0,0,0
2024-04-01 15:15,21,8,13,0,0,0
2024-04-01 15:30,11,5,6,0,0,0
2024-04-01 15:45,14,7,7,0,0,0
2024-04-01 16:00,23,11,12,0,0,0
2024-04-01 16:15,15,9,6,0,0,0
2024-04-01 16:30,20,10,10,0,0,0
2024-04-01 16:45,23,15,8,0,0,0
2024-04-01 17:00,10,2,8,0,0,0
2024-04-01 17:15,21,13,8,0,0,0
2024-04-01 17:30,15,4,11,0,0,0
2024-04-01 17:45,19,12,7,0,0,0
2024-04-01 18:00,17,4,13,0,0,0
2024-04-01 18:15,24,12,12,0,0,0
2024-04-01 18:30,22,13,9,0,0,0
2024-04-01 18:45,19,7,12,0,0,0
2024-04-01 19:00,23,15,8,0,0,0
2024-04-01 19:15,28,15,13,0,0,0
2024-04-01 19:30,17,10,7,0,0,0
2024-04-01 19:45,28,16,12,0,0,0
2024-04-01 20:00,16,9,7,0,0,0
2024-04-01 20:15,22,16,6,0,0,0
2024-04-01 20:30,8,3,5,0,0,0
2024-04-01 20:45,8,3,5,0,0,0
2024-04-01 21:00,12,9,3,0,0,0
2024-04-01 21:15,14,7,7,0,0,0
2024-04-01 21:30,15,5,10,0,0,0
2024-04-01 21:45,13,5,8,0,0,0
2024-04-01 22:00,7,4,3,0,0,0
2024-04-01 22:15,13,6,7,0,0,0
2024-04-01 22:30,7,2,5,0,0,0
2024-04-01 22:45,6,1,5,0,0,0
2024-04-01 23:00,5,3,2,0,0,0
2024-04-01 23:15,8,4,4,0,0,0
2024-04-01 23:30,5,3,2,0,0,0
2024-04-01 23:45,3,1,2,0,0,0
2024-04-02 00:00,7,4,3,0,0,0
2024-04-02 00:15,3,1,2,0,0,0
2024-04-02 00:30,2,0,2,0,0,0
2024-04-02 00:45,2,0,2,0,0,0
2024-04-02 01:00,5,3,2,0,0,0
2024-04-02 01:15,1,0,1,0,0,0
2024-04-02 01:30,1,0,1,0,0,0
2024-04-02 01:45,1,0,1,0,0,0
2024-04-02 02:00,0,0,0,0,0,0
2024-04-02 02:15,1,0,1,0,0,0
2024-04-02 02:30,2,0,2,0,0,0
2024-04-02 02:45,1,1,0,0,0,0
2024-04-02 03:00,2,1,1,0,0,0
2024-04-02 03:15,0,0,0,0,0,0
2024-04-02 03:30,0,0,0,0,0,0
2024-04-02 03:45,3,1,2,0,0,0
2024-04-02 04:00,0,0,0,0,0,0
2024-04-02 04:15,1,1,0,0,0,0
2024-04-02 04:30,1,0,1,0,0,0
2024-04-02 04:45,1,0,1,0,0,0
2024-04-02 05:00,3,1,2,0,0,0
2024-04-02 05:15,6,3,3,0,0,0
2024-04-02 05:30,6,4,2,0,0,0
2024-04-02 05:45,15,10,5,0,0,0
2024-04-02 06:00,9,5,4,0,0,0
2024-04-02 06:15,25,20,5,0,0,0
2024-04-02 06:30,28,16,12,0,0,0
2024-04-02 06:45,32,18,14,0,0,0
2024-04-02 07:00,35,24,11,0,0,0
2024-04-02 07:15,38,30,8,0,0,0
2024-04-02 07:30,70,55,15,0,0,0
2024-04-02 07:45,80,58,22,0,0,0
2024-04-02 08:00,72,46,26,0,0,0
2024-04-02 08:15,71,56,15,0,0,0
2024-04-02 08:30,62,43,19,0,0,0
2024-04-02 08:45,64,37,27,0,0,0
2024-04-02 09:00,52,33,19,0,0,0
2024-04-02 09:15,45,23,22,0,0,0
2024-04-02 09:30,54,35,19,0,0,0
2024-04-02 09:45,54,38,16,0,0,0
2024-04-02 10:00,44,31,13,0,0,0
2024-04-02 10:15,37,24,13,0,0,0
2024-04-02 10:30,45,31,14,0,0,0
2024-04-02 10:45,37,26,11,0,0,0
2024-04-02 11:00,34,20,14,0,0,0
2024-04-02 11:15,35,25,10,0,0,0
