Datetime,300037926 (Bohlweg),353413831 (Bohlweg Fahrräder Stadteinwärts),353413832 (Bohlweg Fahrräder Stadtauswärts),353484923 (Bohlweg Fahrräder Stadteinwärts),353484925 (Bohlweg Fahrräder Stadtauswärts),353484927 (Bohlweg Fahrräder Stadteinwärts),353484928 (Bohlweg Fahrräder Stadtauswärts),353484929 (Bohlweg Fahrräder Stadteinwärts),353484930 (Bohlweg Fahrräder Stadtauswärts),300037926-status,353413831-status,353413832-status,353484923-status,353484925-status,353484927-status,353484928-status,353484929-status,353484930-status
2026-01-01 20:45,3,0,3,,,,,,,0,0,0,,,,,,
2026-01-01 21:00,3,1,2,,,,,,,0,0,0,,,,,,
2026-01-01 21:15,8,1,7,,,,,,,0,0,0,,,,,,
2026-01-01 21:30,2,0,2,,,,,,,0,0,0,,,,,,
2026-01-01 21:45,3,0,3,,,,,,,0,0,0,,,,,,
2026-01-01 22:00,10,2,8,,,,,,,0,0,0,,,,,,
2026-01-01 22:15,7,5,2,,,,,,,0,0,0,,,,,,
2026-01-01 22:30,2,1,1,,,,,,,0,0,0,,,,,,
2026-01-01 22:45,3,2,1,,,,,,,0,0,0,,,,,,
2026-01-01 23:00,1,0,1,,,,,,,0,0,0,,,,,,
2026-01-01 23:15,2,2,0,,,,,,,0,0,0,,,,,,
2026-01-01 23:30,1,1,0,,,,,,,0,0,0,,,,,,
2026-01-01 23:45,2,1,1,,,,,,,0,0,0,,,,,,
2026-01-02 00:00,4,1,3,,,,,,,0,0,0,,,,,,
2026-01-02 00:15,1,1,0,,,,,,,0,0,0,,,,,,
2026-01-02 00:30,0,0,0,,,,,,,0,0,0,,,,,,
2026-01-02 00:45,0,0,0,,,,,,,0,0,0,,,,,,
