Datetime,300038855 (Bismarckallee),353420516 (Bismarckallee Fahrräder IN),353420517 (Bismarckallee Fahrräder OUT),300038855-status,353420516-status,353420517-status
2024-04-01 00:00,3,3,0,0,0,0
2024-04-01 00:15,2,2,0,0,0,0
2024-04-01 00:30,1,1,0,0,0,0
2024-04-01 00:45,2,1,1,0,0,0
2024-04-01 01:00,2,1,1,0,0,0
2024-04-01 01:15,6,6,0,0,0,0
2024-04-01 01:30,0,0,0,0,0,0
2024-04-01 01:45,3,1,2,0,0,0
2024-04-01 02:00,3,2,1,0,0,0
2024-04-01 02:15,2,2,0,0,0,0
2024-04-01 02:30,0,0,0,0,0,0
2024-04-01 02:45,2,2,0,0,0,0
2024-04-01 03:00,0,0,0,0,0,0
2024-04-01 03:15,0,0,0,0,0,0
2024-04-01 03:30,3,3,0,0,0,0
2024-04-01 03:45,3,1,2,0,0,0
2024-04-01 04:00,1,1,0,0,0,0
2024-04-01 04:15,1,1,0,0,0,0
2024-04-01 04:30,3,3,0,0,0,0
2024-04-01 04:45,1,1,0,0,0,0
2024-04-01 05:00,1,0,1,0,0,0
2024-04-01 05:15,2,1,1,0,0,0
2024-04-01 05:30,2,0,2,0,0,0
2024-04-01 05:45,1,1,0,0,0,0
2024-04-01 06:00,1,1,0,0,0,0
2024-04-01 06:15,1,1,0,0,0,0
2024-04-01 06:30,3,2,1,0,0,0
2024-04-01 06:45,2,2,0,0,0,0
2024-04-01 07:00,3,1,2,0,0,0
2024-04-01 07:15,1,1,0,0,0,0
2024-04-01 07:30,2,1,1,0,0,0
2024-04-01 07:45,1,0,1,0,0,0
2024-04-01 08:00,2,1,1,0,0,0
2024-04-01 08:15,5,3,2,0,0,0
2024-04-01 08:30,3,3,0,0,0,0
2024-04-01 08:45,2,1,1,0,0,0
2024-04-01 09:00,1,0,1,0,0,0
2024-04-01 09:15,5,3,2,0,0,0
2024-04-01 09:30,6,4,2,0,0,0
2024-04-01 09:45,7,4,3,0,0,0
2024-04-01 10:00,6,6,0,0,0,0
2024-04-01 10:15,3,1,2,0,0,0
2024-04-01 10:30,4,3,1,0,0,0
2024-04-01 10:45,6,2,4,0,0,0
2024-04-01 11:00,13,7,6,0,0,0
2024-04-01 11:15,7,2,5,0,0,0
2024-04-01 11:30,5,3,2,0,0,0
2024-04-01 11:45,6,5,1,0,0,0
2024-04-01 12:00,17,12,5,0,0,0
2024-04-01 12:15,10,6,4,0,0,0
2024-04-01 12:30,12,8,4,0,0,0
2024-04-01 12:45,17,10,7,0,0,0
2024-04-01 13:00,9,6,3,0,0,0
2024-04-01 13:15,13,12,1,0,0,0
2024-04-01 13:30,9,7,2,0,0,0
2024-04-01 13:45,14,12,2,0,0,0
2024-04-01 14:00,16,12,4,0,0,0
2024-04-01 14:15,15,10,5,0,0,0
2024-04-01 14:30,12,5,7,0,0,0
2024-04-01 14:45,14,10,4,0,0,0
2024-04-01 15:00,17,12,5,0,0,0
2024-04-01 15:15,17,10,7,0,0,0
2024-04-01 15:30,10,6,4,0,0,0
2024-04-01 15:45,22,12,10,0,0,0
2024-04-01 16:00,16,9,7,0,0,0
2024-04-01 16:15,11,5,6,0,0,0
2024-04-01 16:30,22,17,5,0,0,0
2024-04-01 16:45,27,16,11,0,0,0
2024-04-01 17:00,17,15,2,0,0,0
2024-04-01 17:15,36,25,11,0,0,0
2024-04-01 17:30,28,18,10,0,0,0
2024-04-01 17:45,23,16,7,0,0,0
2024-04-01 18:00,18,8,10,0,0,0
2024-04-01 18:15,25,10,15,0,0,0
2024-04-01 18:30,37,24,13,0,0,0
2024-04-01 18:45,24,12,12,0,0,0
2024-04-01 19:00,28,19,9,0,0,0
2024-04-01 19:15,21,12,9,0,0,0
2024-04-01 19:30,18,11,7,0,0,0
2024-04-01 19:45,30,14,16,0,0,0
2024-04-01 20:00,21,13,8,0,0,0
2024-04-01 20:15,24,19,5,0,0,0
2024-04-01 20:30,17,10,7,0,0,0
2024-04-01 20:45,18,11,7,0,0,0
2024-04-01 21:00,15,13,2,0,0,0
2024-04-01 21:15,10,3,7,0,0,0
2024-04-01 21:30,9,7,2,0,0,0
2024-04-01 21:45,8,6,2,0,0,0
2024-04-01 22:00,11,6,5,0,0,0
2024-04-01 22:15,5,4,1,0,0,0
2024-04-01 22:30,10,9,1,0,0,0
2024-04-01 22:45,8,6,2,0,0,0
2024-04-01 23:00,10,9,1,0,0,0
2024-04-01 23:15,6,6,0,0,0,0
