Datetime,300038855 (Bismarckallee),353420516 (Bismarckallee Fahrräder IN),353420517 (Bismarckallee Fahrräder OUT),300038855-status,353420516-status,353420517-status
2024-03-01 00:00,11,11,0,0,0,0
2024-03-01 00:15,10,8,2,0,0,0
2024-03-01 00:30,5,4,1,0,0,0
2024-03-01 00:45,6,6,0,0,0,0
2024-03-01 01:00,5,5,0,0,0,0
2024-03-01 01:15,5,5,0,0,0,0
2024-03-01 01:30,3,2,1,0,0,0
2024-03-01 01:45,0,0,0,0,0,0
2024-03-01 02:00,1,1,0,0,0,0
2024-03-01 02:15,2,2,0,0,0,0
2024-03-01 02:30,0,0,0,0,0,0
2024-03-01 02:45,1,0,1,0,0,0
2024-03-01 03:00,1,1,0,0,0,0
2024-03-01 03:15,0,0,0,0,0,0
2024-03-01 03:30,0,0,0,0,0,0
2024-03-01 03:45,0,0,0,0,0,0
2024-03-01 04:00,2,1,1,0,0,0
2024-03-01 04:15,3,2,1,0,0,0
2024-03-01 04:30,1,0,1,0,0,0
2024-03-01 04:45,2,2,0,0,0,0
2024-03-01 05:00,1,1,0,0,0,0
2024-03-01 05:15,2,2,0,0,0,0
2024-03-01 05:30,5,1,4,0,0,0
2024-03-01 05:45,10,6,4,0,0,0
2024-03-01 06:00,9,7,2,0,0,0
2024-03-01 06:15,17,7,10,0,0,0
2024-03-01 06:30,27,18,9,0,0,0
2024-03-01 06:45,37,15,22,0,0,0
2024-03-01 07:00,37,22,15,0,0,0
2024-03-01 07:15,90,47,43,0,0,0
2024-03-01 07:30,172,60,112,0,0,0
2024-03-01 07:45,89,47,42,0,0,0
2024-03-01 08:00,80,35,45,0,0,0
2024-03-01 08:15,70,28,42,0,0,0
2024-03-01 08:30,76,33,43,0,0,0
2024-03-01 08:45,64,17,47,0,0,0
2024-03-01 09:00,64,28,36,0,0,0
2024-03-01 09:15,39,13,26,0,0,0
2024-03-01 09:30,57,26,31,0,0,0
2024-03-01 09:45,50,18,32,0,0,0
2024-03-01 10:00,54,20,34,0,0,0
2024-03-01 10:15,44,23,21,0,0,0
2024-03-01 10:30,34,18,16,0,0,0
2024-03-01 10:45,56,32,24,0,0,0
2024-03-01 11:00,39,25,14,0,0,0
2024-03-01 11:15,46,23,23,0,0,0
2024-03-01 11:30,60,33,27,0,0,0
2024-03-01 11:45,88,61,27,0,0,0
2024-03-01 12:00,88,62,26,0,0,0
2024-03-01 12:15,119,72,47,0,0,0
2024-03-01 12:30,132,82,50,0,0,0
2024-03-01 12:45,133,69,64,0,0,0
2024-03-01 13:00,165,110,55,0,0,0
2024-03-01 13:15,134,98,36,0,0,0
2024-03-01 13:30,140,89,51,0,0,0
2024-03-01 13:45,150,91,59,0,0,0
2024-03-01 14:00,153,105,48,0,0,0
2024-03-01 14:15,112,72,40,0,0,0
2024-03-01 14:30,93,53,40,0,0,0
2024-03-01 14:45,98,58,40,0,0,0
2024-03-01 15:00,82,53,29,0,0,0
2024-03-01 15:15,104,59,45,0,0,0
2024-03-01 15:30,112,67,45,0,0,0
2024-03-01 15:45,88,57,31,0,0,0
2024-03-01 16:00,83,57,26,0,0,0
2024-03-01 16:15,84,50,34,0,0,0
2024-03-01 16:30,94,72,22,0,0,0
2024-03-01 16:45,93,61,32,0,0,0
2024-03-01 17:00,67,44,23,0,0,0
2024-03-01 17:15,92,59,33,0,0,0
2024-03-01 17:30,104,69,35,0,0,0
2024-03-01 17:45,74,50,24,0,0,0
2024-03-01 18:00,69,48,21,0,0,0
2024-03-01 18:15,82,60,22,0,0,0
2024-03-01 18:30,82,47,35,0,0,0
2024-03-01 18:45,69,39,30,0,0,0
2024-03-01 19:00,67,43,24,0,0,0
2024-03-01 19:15,57,31,26,0,0,0
2024-03-01 19:30,44,32,12,0,0,0
2024-03-01 19:45,48,31,17,0,0,0
2024-03-01 20:00,53,42,11,0,0,0
2024-03-01 20:15,60,38,22,0,0,0
2024-03-01 20:30,37,25,12,0,0,0
2024-03-01 20:45,42,34,8,0,0,0
2024-03-01 21:00,17,12,5,0,0,0
2024-03-01 21:15,21,14,7,0,0,0
2024-03-01 21:30,32,27,5,0,0,0
2024-03-01 21:45,46,36,10,0,0,0
2024-03-01 22:00,34,31,3,0,0,0
2024-03-01 22:15,31,28,3,0,0,0
2024-03-01 22:30,40,32,8,0,0,0
2024-03-01 22:45,25,20,5,0,0,0
2024-03-01 23:00,24,22,2,0,0,0
2024-03-01 23:15,26,23,3,0,0,0
2024-03-01 23:30,15,11,4,0,0,0
2024-03-01 23:45,21,17,4,0,0,0
2024-03-02 00:00,14,12,2,0,0,0
2024-03-02 00:15,20,14,6,0,0,0
2024-03-02 00:30,22,20,2,0,0,0
2024-03-02 00:45,16,12,4,0,0,0
2024-03-02 01:00,17,10,7,0,0,0
2024-03-02 01:15,16,13,3,0,0,0
2024-03-02 01:30,8,6,2,0,0,0
2024-03-02 01:45,2,2,0,0,0,0
2024-03-02 02:00,11,10,1,0,0,0
2024-03-02 02:15,9,8,1,0,0,0
2024-03-02 02:30,8,7,1,0,0,0
2024-03-02 02:45,5,3,2,0,0,0
2024-03-02 03:00,14,12,2,0,0,0
2024-03-02 03:15,8,6,2,0,0,0
2024-03-02 03:30,7,6,1,0,0,0
2024-03-02 03:45,3,3,0,0,0,0
2024-03-02 04:00,5,4,1,0,0,0
2024-03-02 04:15,5,4,1,0,0,0
2024-03-02 04:30,5,5,0,0,0,0
2024-03-02 04:45,10,8,2,0,0,0
2024-03-02 05:00,2,2,0,0,0,0
2024-03-02 05:15,6,4,2,0,0,0
2024-03-02 05:30,3,1,2,0,0,0
2024-03-02 05:45,2,0,2,0,0,0
2024-03-02 06:00,3,1,2,0,0,0
2024-03-02 06:15,13,8,5,0,0,0
2024-03-02 06:30,5,1,4,0,0,0
2024-03-02 06:45,5,2,3,0,0,0
2024-03-02 07:00,7,2,5,0,0,0
2024-03-02 07:15,7,4,3,0,0,0
2024-03-02 07:30,16,9,7,0,0,0
2024-03-02 07:45,13,4,9,0,0,0
2024-03-02 08:00,14,5,9,0,0,0
2024-03-02 08:15,20,12,8,0,0,0
2024-03-02 08:30,19,10,9,0,0,0
2024-03-02 08:45,53,19,34,0,0,0
2024-03-02 09:00,32,14,18,0,0,0
2024-03-02 09:15,36,13,23,0,0,0
2024-03-02 09:30,62,17,45,0,0,0
2024-03-02 09:45,55,16,39,0,0,0
2024-03-02 10:00,63,18,45,0,0,0
2024-03-02 10:15,68,21,47,0,0,0
2024-03-02 10:30,67,34,33,0,0,0
2024-03-02 10:45,90,47,43,0,0,0
2024-03-02 11:00,75,35,40,0,0,0
2024-03-02 11:15,69,35,34,0,0,0
2024-03-02 11:30,84,41,43,0,0,0
2024-03-02 11:45,97,51,46,0,0,0
2024-03-02 12:00,90,44,46,0,0,0
2024-03-02 12:15,70,40,30,0,0,0
2024-03-02 12:30,93,45,48,0,0,0
2024-03-02 12:45,88,55,33,0,0,0
2024-03-02 13:00,87,62,25,0,0,0
2024-03-02 13:15,94,63,31,0,0,0
2024-03-02 13:30,107,65,42,0,0,0
2024-03-02 13:45,100,59,41,0,0,0
2024-03-02 14:00,96,57,39,0,0,0
2024-03-02 14:15,91,58,33,0,0,0
2024-03-02 14:30,117,74,43,0,0,0
2024-03-02 14:45,92,68,24,0,0,0
2024-03-02 15:00,84,62,22,0,0,0
2024-03-02 15:15,84,52,32,0,0,0
2024-03-02 15:30,71,48,23,0,0,0
2024-03-02 15:45,69,50,19,0,0,0
2024-03-02 16:00,74,53,21,0,0,0
2024-03-02 16:15,80,45,35,0,0,0
2024-03-02 16:30,78,53,25,0,0,0
2024-03-02 16:45,72,45,27,0,0,0
2024-03-02 17:00,52,38,14,0,0,0
2024-03-02 17:15,75,49,26,0,0,0
2024-03-02 17:30,72,59,13,0,0,0
2024-03-02 17:45,78,49,29,0,0,0
2024-03-02 18:00,84,51,33,0,0,0
2024-03-02 18:15,61,29,32,0,0,0
2024-03-02 18:30,57,29,28,0,0,0
2024-03-02 18:45,57,32,25,0,0,0
2024-03-02 19:00,57,36,21,0,0,0
2024-03-02 19:15,54,33,21,0,0,0
2024-03-02 19:30,52,23,29,0,0,0
2024-03-02 19:45,43,31,12,0,0,0
2024-03-02 20:00,39,24,15,0,0,0
2024-03-02 20:15,35,19,16,0,0,0
2024-03-02 20:30,32,19,13,0,0,0
2024-03-02 20:45,30,23,7,0,0,0
2024-03-02 21:00,26,20,6,0,0,0
2024-03-02 21:15,27,16,11,0,0,0
2024-03-02 21:30,24,20,4,0,0,0
2024-03-02 21:45,25,19,6,0,0,0
2024-03-02 22:00,14,11,3,0,0,0
2024-03-02 22:15,29,24,5,0,0,0
2024-03-02 22:30,31,29,2,0,0,0
2024-03-02 22:45,23,18,5,0,0,0
2024-03-02 23:00,24,21,3,0,0,0
2024-03-02 23:15,32,25,7,0,0,0
2024-03-02 23:30,25,18,7,0,0,0
2024-03-02 23:45,24,18,6,0,0,0
2024-03-03 00:00,21,19,2,0,0,0
2024-03-03 00:15,24,21,3,0,0,0
2024-03-03 00:30,14,12,2,0,0,0
2024-03-03 00:45,9,8,1,0,0,0
2024-03-03 01:00,9,9,0,0,0,0
2024-03-03 01:15,19,18,1,0,0,0
2024-03-03 01:30,8,8,0,0,0,0
2024-03-03 01:45,11,10,1,0,0,0
2024-03-03 02:00,10,7,3,0,0,0
2024-03-03 02:15,8,7,1,0,0,0
2024-03-03 02:30,9,7,2,0,0,0
2024-03-03 02:45,7,7,0,0,0,0
2024-03-03 03:00,9,8,1,0,0,0
2024-03-03 03:15,9,7,2,0,0,0
2024-03-03 03:30,11,9,2,0,0,0
2024-03-03 03:45,3,3,0,0,0,0
2024-03-03 04:00,4,4,0,0,0,0
2024-03-03 04:15,3,2,1,0,0,0
2024-03-03 04:30,7,3,4,0,0,0
2024-03-03 04:45,2,2,0,0,0,0
2024-03-03 05:00,0,0,0,0,0,0
2024-03-03 05:15,3,3,0,0,0,0
2024-03-03 05:30,1,0,1,0,0,0
2024-03-03 05:45,5,3,2,0,0,0
2024-03-03 06:00,6,5,1,0,0,0
2024-03-03 06:15,5,4,1,0,0,0
2024-03-03 06:30,2,1,1,0,0,0
2024-03-03 06:45,2,2,0,0,0,0
2024-03-03 07:00,5,3,2,0,0,0
2024-03-03 07:15,4,3,1,0,0,0
2024-03-03 07:30,5,3,2,0,0,0
2024-03-03 07:45,7,2,5,0,0,0
