Datetime,300037405 (Promenade (westl. Hals)),353409612 (Promenade (westl. Hals) Fahrräder IN),353409613 (Promenade (westl. Hals) Fahrräder OUT),353426710 (Promenade (westl. Hals) [Bike IN]),353426712 (Promenade (westl. Hals) [Bike IN]),353426713 (Promenade (westl. Hals) [Bike OUT]),353426715 (Promenade (westl. Hals) [Bike OUT]),300037405-status,353409612-status,353409613-status,353426710-status,353426712-status,353426713-status,353426715-status
2025-09-01 00:00,11,4,7,,,,,0,0,0,,,,
2025-09-01 00:15,9,7,2,,,,,0,0,0,,,,
2025-09-01 00:30,6,2,4,,,,,0,0,0,,,,
2025-09-01 00:45,7,3,4,,,,,0,0,0,,,,
2025-09-01 01:00,3,3,0,,,,,0,0,0,,,,
2025-09-01 01:15,1,1,0,,,,,0,0,0,,,,
2025-09-01 01:30,5,4,1,,,,,0,0,0,,,,
2025-09-01 01:45,2,0,2,,,,,0,0,0,,,,
2025-09-01 02:00,5,1,4,,,,,0,0,0,,,,
2025-09-01 02:15,1,1,0,,,,,0,0,0,,,,
2025-09-01 02:30,1,0,1,,,,,0,0,0,,,,
2025-09-01 02:45,0,0,0,,,,,0,0,0,,,,
2025-09-01 03:00,1,1,0,,,,,0,0,0,,,,
2025-09-01 03:15,0,0,0,,,,,0,0,0,,,,
2025-09-01 03:30,3,2,1,,,,,0,0,0,,,,
2025-09-01 03:45,2,1,1,,,,,0,0,0,,,,
2025-09-01 04:00,1,0,1,,,,,0,0,0,,,,
2025-09-01 04:15,2,1,1,,,,,0,0,0,,,,
2025-09-01 04:30,2,0,2,,,,,0,0,0,,,,
2025-09-01 04:45,7,3,4,,,,,0,0,0,,,,
2025-09-01 05:00,7,4,3,,,,,0,0,0,,,,
2025-09-01 05:15,5,4,1,,,,,0,0,0,,,,
2025-09-01 05:30,24,9,15,,,,,0,0,0,,,,
2025-09-01 05:45,27,18,9,,,,,0,0,0,,,,
2025-09-01 06:00,29,22,7,,,,,0,0,0,,,,
2025-09-01 06:15,43,29,14,,,,,0,0,0,,,,
2025-09-01 06:30,60,25,35,,,,,0,0,0,,,,
2025-09-01 06:45,95,64,31,,,,,0,0,0,,,,
2025-09-01 07:00,107,49,58,,,,,0,0,0,,,,
2025-09-01 07:15,158,81,77,,,,,0,0,0,,,,
2025-09-01 07:30,270,132,138,,,,,0,0,0,,,,
2025-09-01 07:45,237,120,117,,,,,0,0,0,,,,
2025-09-01 08:00,155,85,70,,,,,0,0,0,,,,
2025-09-01 08:15,170,105,65,,,,,0,0,0,,,,
2025-09-01 08:30,175,120,55,,,,,0,0,0,,,,
2025-09-01 08:45,149,94,55,,,,,0,0,0,,,,
2025-09-01 09:00,99,47,52,,,,,0,0,0,,,,
2025-09-01 09:15,114,51,63,,,,,0,0,0,,,,
2025-09-01 09:30,89,39,50,,,,,0,0,0,,,,
2025-09-01 09:45,112,63,49,,,,,0,0,0,,,,
2025-09-01 10:00,70,29,41,,,,,0,0,0,,,,
2025-09-01 10:15,73,26,47,,,,,0,0,0,,,,
2025-09-01 10:30,91,35,56,,,,,0,0,0,,,,
2025-09-01 10:45,95,40,55,,,,,0,0,0,,,,
2025-09-01 11:00,75,33,42,,,,,0,0,0,,,,
2025-09-01 11:15,70,40,30,,,,,0,0,0,,,,
2025-09-01 11:30,97,42,55,,,,,0,0,0,,,,
2025-09-01 11:45,113,43,70,,,,,0,0,0,,,,
2025-09-01 12:00,91,34,57,,,,,0,0,0,,,,
2025-09-01 12:15,120,45,75,,,,,0,0,0,,,,
2025-09-01 12:30,141,57,84,,,,,0,0,0,,,,
2025-09-01 12:45,144,56,88,,,,,0,0,0,,,,
2025-09-01 13:00,158,69,89,,,,,0,0,0,,,,
2025-09-01 13:15,168,77,91,,,,,0,0,0,,,,
2025-09-01 13:30,129,55,74,,,,,0,0,0,,,,
2025-09-01 13:45,191,94,97,,,,,0,0,0,,,,
2025-09-01 14:00,150,65,85,,,,,0,0,0,,,,
2025-09-01 14:15,156,80,76,,,,,0,0,0,,,,
2025-09-01 14:30,181,99,82,,,,,0,0,0,,,,
2025-09-01 14:45,192,107,85,,,,,0,0,0,,,,
2025-09-01 15:00,177,92,85,,,,,0,0,0,,,,
2025-09-01 15:15,201,104,97,,,,,0,0,0,,,,
2025-09-01 15:30,202,110,92,,,,,0,0,0,,,,
2025-09-01 15:45,253,135,118,,,,,0,0,0,,,,
2025-09-01 16:00,189,94,95,,,,,0,0,0,,,,
2025-09-01 16:15,251,160,91,,,,,0,0,0,,,,
2025-09-01 16:30,231,115,116,,,,,0,0,0,,,,
2025-09-01 16:45,255,126,129,,,,,0,0,0,,,,
2025-09-01 17:00,220,95,125,,,,,0,0,0,,,,
2025-09-01 17:15,251,117,134,,,,,0,0,0,,,,
2025-09-01 17:30,281,143,138,,,,,0,0,0,,,,
2025-09-01 17:45,264,136,128,,,,,0,0,0,,,,
2025-09-01 18:00,232,126,106,,,,,0,0,0,,,,
2025-09-01 18:15,194,102,92,,,,,0,0,0,,,,
2025-09-01 18:30,191,97,94,,,,,0,0,0,,,,
2025-09-01 18:45,193,90,103,,,,,0,0,0,,,,
2025-09-01 19:00,189,87,102,,,,,0,0,0,,,,
2025-09-01 19:15,144,75,69,,,,,0,0,0,,,,
2025-09-01 19:30,146,67,79,,,,,0,0,0,,,,
2025-09-01 19:45,129,57,72,,,,,0,0,0,,,,
2025-09-01 20:00,104,51,53,,,,,0,0,0,,,,
2025-09-01 20:15,107,56,51,,,,,0,0,0,,,,
2025-09-01 20:30,105,47,58,,,,,0,0,0,,,,
2025-09-01 20:45,101,45,56,,,,,0,0,0,,,,
2025-09-01 21:00,81,43,38,,,,,0,0,0,,,,
2025-09-01 21:15,77,31,46,,,,,0,0,0,,,,
2025-09-01 21:30,56,21,35,,,,,0,0,0,,,,
2025-09-01 21:45,60,27,33,,,,,0,0,0,,,,
2025-09-01 22:00,79,44,35,,,,,0,0,0,,,,
2025-09-01 22:15,53,21,32,,,,,0,0,0,,,,
2025-09-01 22:30,49,19,30,,,,,0,0,0,,,,
2025-09-01 22:45,34,16,18,,,,,0,0,0,,,,
2025-09-01 23:00,26,12,14,,,,,0,0,0,,,,
2025-09-01 23:15,20,9,11,,,,,0,0,0,,,,
2025-09-01 23:30,14,8,6,,,,,0,0,0,,,,
2025-09-01 23:45,17,5,12,,,,,0,0,0,,,,
2025-09-02 00:00,12,7,5,,,,,0,0,0,,,,
2025-09-02 00:15,8,3,5,,,,,0,0,0,,,,
2025-09-02 00:30,7,4,3,,,,,0,0,0,,,,
2025-09-02 00:45,4,2,2,,,,,0,0,0,,,,
2025-09-02 01:00,2,0,2,,,,,0,0,0,,,,
2025-09-02 01:15,2,1,1,,,,,0,0,0,,,,
2025-09-02 01:30,5,2,3,,,,,0,0,0,,,,
2025-09-02 01:45,2,0,2,,,,,0,0,0,,,,
2025-09-02 02:00,2,1,1,,,,,0,0,0,,,,
2025-09-02 02:15,3,2,1,,,,,0,0,0,,,,
2025-09-02 02:30,0,0,0,,,,,0,0,0,,,,
2025-09-02 02:45,0,0,0,,,,,0,0,0,,,,
2025-09-02 03:00,0,0,0,,,,,0,0,0,,,,
2025-09-02 03:15,2,1,1,,,,,0,0,0,,,,
2025-09-02 03:30,4,4,0,,,,,0,0,0,,,,
2025-09-02 03:45,0,0,0,,,,,0,0,0,,,,
2025-09-02 04:00,3,2,1,,,,,0,0,0,,,,
2025-09-02 04:15,0,0,0,,,,,0,0,0,,,,
2025-09-02 04:30,5,4,1,,,,,0,0,0,,,,
2025-09-02 04:45,7,4,3,,,,,0,0,0,,,,
2025-09-02 05:00,7,4,3,,,,,0,0,0,,,,
2025-09-02 05:15,13,7,6,,,,,0,0,0,,,,
2025-09-02 05:30,30,14,16,,,,,0,0,0,,,,
2025-09-02 05:45,44,22,22,,,,,0,0,0,,,,
2025-09-02 06:00,43,17,26,,,,,0,0,0,,,,
2025-09-02 06:15,80,37,43,,,,,0,0,0,,,,
2025-09-02 06:30,102,35,67,,,,,0,0,0,,,,
2025-09-02 06:45,125,67,58,,,,,0,0,0,,,,
2025-09-02 07:00,156,70,86,,,,,0,0,0,,,,
2025-09-02 07:15,261,140,121,,,,,0,0,0,,,,
2025-09-02 07:30,343,148,195,,,,,0,0,0,,,,
2025-09-02 07:45,361,173,188,,,,,0,0,0,,,,
2025-09-02 08:00,261,109,152,,,,,0,0,0,,,,
2025-09-02 08:15,258,134,124,,,,,0,0,0,,,,
2025-09-02 08:30,233,101,132,,,,,0,0,0,,,,
2025-09-02 08:45,240,113,127,,,,,0,0,0,,,,
2025-09-02 09:00,163,62,101,,,,,0,0,0,,,,
2025-09-02 09:15,139,63,76,,,,,0,0,0,,,,
