Datetime,300039331 (Grevener Straße),353425091 (Grevener Straße Formel - Fahrräder Stadteinwärts),353425097 (Grevener Straße Formel- Fahrräder Stadtauswärts),300039331-status,353425091-status,353425097-status
2025-07-01 00:00,1,1,0,0,0,0
2025-07-01 00:15,3,3,0,0,0,0
2025-07-01 00:30,4,2,2,0,0,0
2025-07-01 00:45,1,0,1,0,0,0
2025-07-01 01:00,4,1,3,0,0,0
2025-07-01 01:15,0,0,0,0,0,0
2025-07-01 01:30,2,1,1,0,0,0
2025-07-01 01:45,2,2,0,0,0,0
2025-07-01 02:00,0,0,0,0,0,0
2025-07-01 02:15,2,0,2,0,0,0
2025-07-01 02:30,1,0,1,0,0,0
2025-07-01 02:45,1,1,0,0,0,0
2025-07-01 03:00,1,0,1,0,0,0
2025-07-01 03:15,2,2,0,0,0,0
2025-07-01 03:30,5,2,3,0,0,0
2025-07-01 03:45,0,0,0,0,0,0
2025-07-01 04:00,0,0,0,0,0,0
2025-07-01 04:15,0,0,0,0,0,0
2025-07-01 04:30,0,0,0,0,0,0
2025-07-01 04:45,3,3,0,0,0,0
2025-07-01 05:00,2,1,1,0,0,0
2025-07-01 05:15,2,2,0,0,0,0
2025-07-01 05:30,3,1,2,0,0,0
2025-07-01 05:45,4,2,2,0,0,0
2025-07-01 06:00,5,4,1,0,0,0
2025-07-01 06:15,5,2,3,0,0,0
2025-07-01 06:30,6,4,2,0,0,0
2025-07-01 06:45,19,6,13,0,0,0
2025-07-01 07:00,22,8,14,0,0,0
2025-07-01 07:15,30,13,17,0,0,0
2025-07-01 07:30,44,26,18,0,0,0
2025-07-01 07:45,69,36,33,0,0,0
2025-07-01 08:00,44,27,17,0,0,0
2025-07-01 08:15,44,24,20,0,0,0
2025-07-01 08:30,26,11,15,0,0,0
2025-07-01 08:45,51,21,30,0,0,0
2025-07-01 09:00,31,11,20,0,0,0
2025-07-01 09:15,30,18,12,0,0,0
2025-07-01 09:30,34,15,19,0,0,0
2025-07-01 09:45,44,23,21,0,0,0
2025-07-01 10:00,52,20,32,0,0,0
2025-07-01 10:15,28,13,15,0,0,0
2025-07-01 10:30,27,15,12,0,0,0
2025-07-01 10:45,38,23,15,0,0,0
2025-07-01 11:00,28,5,23,0,0,0
2025-07-01 11:15,34,16,18,0,0,0
2025-07-01 11:30,36,15,21,0,0,0
2025-07-01 11:45,40,21,19,0,0,0
2025-07-01 12:00,34,13,21,0,0,0
2025-07-01 12:15,43,14,29,0,0,0
2025-07-01 12:30,41,16,25,0,0,0
2025-07-01 12:45,36,9,27,0,0,0
2025-07-01 13:00,28,13,15,0,0,0
2025-07-01 13:15,51,26,25,0,0,0
2025-07-01 13:30,45,12,33,0,0,0
2025-07-01 13:45,49,11,38,0,0,0
2025-07-01 14:00,57,24,33,0,0,0
2025-07-01 14:15,67,23,44,0,0,0
2025-07-01 14:30,43,20,23,0,0,0
2025-07-01 14:45,48,20,28,0,0,0
2025-07-01 15:00,51,18,33,0,0,0
2025-07-01 15:15,49,11,38,0,0,0
2025-07-01 15:30,39,13,26,0,0,0
2025-07-01 15:45,61,21,40,0,0,0
2025-07-01 16:00,83,31,52,0,0,0
2025-07-01 16:15,76,31,45,0,0,0
2025-07-01 16:30,63,24,39,0,0,0
2025-07-01 16:45,59,29,30,0,0,0
2025-07-01 17:00,69,25,44,0,0,0
2025-07-01 17:15,39,13,26,0,0,0
2025-07-01 17:30,54,18,36,0,0,0
2025-07-01 17:45,50,22,28,0,0,0
2025-07-01 18:00,49,17,32,0,0,0
2025-07-01 18:15,64,18,46,0,0,0
2025-07-01 18:30,75,29,46,0,0,0
2025-07-01 18:45,46,26,20,0,0,0
2025-07-01 19:00,53,35,18,0,0,0
2025-07-01 19:15,48,30,18,0,0,0
2025-07-01 19:30,55,33,22,0,0,0
2025-07-01 19:45,75,45,30,0,0,0
2025-07-01 20:00,65,41,24,0,0,0
2025-07-01 20:15,30,12,18,0,0,0
2025-07-01 20:30,18,9,9,0,0,0
2025-07-01 20:45,21,9,12,0,0,0
2025-07-01 21:00,13,6,7,0,0,0
2025-07-01 21:15,14,6,8,0,0,0
2025-07-01 21:30,17,7,10,0,0,0
2025-07-01 21:45,9,3,6,0,0,0
2025-07-01 22:00,21,12,9,0,0,0
2025-07-01 22:15,15,10,5,0,0,0
2025-07-01 22:30,16,6,10,0,0,0
2025-07-01 22:45,10,4,6,0,0,0
2025-07-01 23:00,11,1,10,0,0,0
2025-07-01 23:15,12,1,11,0,0,0
2025-07-01 23:30,9,4,5,0,0,0
2025-07-01 23:45,6,3,3,0,0,0
2025-07-02 00:00,4,0,4,0,0,0
2025-07-02 00:15,4,2,2,0,0,0
2025-07-02 00:30,0,0,0,0,0,0
2025-07-02 00:45,2,2,0,0,0,0
2025-07-02 01:00,1,0,1,0,0,0
2025-07-02 01:15,3,0,3,0,0,0
2025-07-02 01:30,2,0,2,0,0,0
2025-07-02 01:45,4,3,1,0,0,0
2025-07-02 02:00,0,0,0,0,0,0
2025-07-02 02:15,0,0,0,0,0,0
2025-07-02 02:30,1,0,1,0,0,0
2025-07-02 02:45,2,0,2,0,0,0
2025-07-02 03:00,1,1,0,0,0,0
2025-07-02 03:15,4,2,2,0,0,0
2025-07-02 03:30,2,1,1,0,0,0
2025-07-02 03:45,1,1,0,0,0,0
2025-07-02 04:00,1,0,1,0,0,0
2025-07-02 04:15,2,0,2,0,0,0
2025-07-02 04:30,1,1,0,0,0,0
2025-07-02 04:45,1,1,0,0,0,0
2025-07-02 05:00,4,2,2,0,0,0
2025-07-02 05:15,1,1,0,0,0,0
2025-07-02 05:30,6,4,2,0,0,0
2025-07-02 05:45,8,4,4,0,0,0
2025-07-02 06:00,8,2,6,0,0,0
2025-07-02 06:15,14,7,7,0,0,0
2025-07-02 06:30,12,8,4,0,0,0
2025-07-02 06:45,12,5,7,0,0,0
2025-07-02 07:00,20,13,7,0,0,0
2025-07-02 07:15,19,12,7,0,0,0
2025-07-02 07:30,47,27,20,0,0,0
2025-07-02 07:45,37,18,19,0,0,0
2025-07-02 08:00,36,23,13,0,0,0
2025-07-02 08:15,33,19,14,0,0,0
2025-07-02 08:30,30,18,12,0,0,0
2025-07-02 08:45,21,10,11,0,0,0
2025-07-02 09:00,46,28,18,0,0,0
2025-07-02 09:15,33,21,12,0,0,0
2025-07-02 09:30,20,16,4,0,0,0
2025-07-02 09:45,32,15,17,0,0,0
2025-07-02 10:00,29,16,13,0,0,0
2025-07-02 10:15,15,7,8,0,0,0
2025-07-02 10:30,16,6,10,0,0,0
2025-07-02 10:45,22,12,10,0,0,0
2025-07-02 11:00,23,10,13,0,0,0
2025-07-02 11:15,34,9,25,0,0,0
2025-07-02 11:30,41,9,32,0,0,0
2025-07-02 11:45,62,18,44,0,0,0
2025-07-02 12:00,67,20,47,0,0,0
2025-07-02 12:15,47,8,39,0,0,0
2025-07-02 12:30,34,6,28,0,0,0
2025-07-02 12:45,45,12,33,0,0,0
2025-07-02 13:00,43,16,27,0,0,0
2025-07-02 13:15,52,15,37,0,0,0
2025-07-02 13:30,38,7,31,0,0,0
2025-07-02 13:45,58,27,31,0,0,0
2025-07-02 14:00,47,14,33,0,0,0
2025-07-02 14:15,35,16,19,0,0,0
2025-07-02 14:30,41,13,28,0,0,0
2025-07-02 14:45,45,26,19,0,0,0
2025-07-02 15:00,56,11,45,0,0,0
2025-07-02 15:15,52,23,29,0,0,0
2025-07-02 15:30,46,11,35,0,0,0
2025-07-02 15:45,70,33,37,0,0,0
2025-07-02 16:00,63,22,41,0,0,0
2025-07-02 16:15,68,26,42,0,0,0
2025-07-02 16:30,65,24,41,0,0,0
2025-07-02 16:45,59,33,26,0,0,0
2025-07-02 17:00,63,32,31,0,0,0
2025-07-02 17:15,68,42,26,0,0,0
2025-07-02 17:30,90,53,37,0,0,0
2025-07-02 17:45,59,35,24,0,0,0
2025-07-02 18:00,40,22,18,0,0,0
2025-07-02 18:15,23,9,14,0,0,0
2025-07-02 18:30,18,8,10,0,0,0
2025-07-02 18:45,9,4,5,0,0,0
2025-07-02 19:00,10,4,6,0,0,0
2025-07-02 19:15,11,8,3,0,0,0
2025-07-02 19:30,9,4,5,0,0,0
2025-07-02 19:45,16,11,5,0,0,0
2025-07-02 20:00,14,5,9,0,0,0
2025-07-02 20:15,14,5,9,0,0,0
2025-07-02 20:30,10,3,7,0,0,0
2025-07-02 20:45,7,4,3,0,0,0
2025-07-02 21:00,9,5,4,0,0,0
2025-07-02 21:15,7,1,6,0,0,0
2025-07-02 21:30,6,4,2,0,0,0
2025-07-02 21:45,12,5,7,0,0,0
2025-07-02 22:00,4,3,1,0,0,0
2025-07-02 22:15,4,3,1,0,0,0
2025-07-02 22:30,5,2,3,0,0,0
2025-07-02 22:45,2,1,1,0,0,0
2025-07-02 23:00,11,2,9,0,0,0
2025-07-02 23:15,6,1,5,0,0,0
2025-07-02 23:30,5,0,5,0,0,0
2025-07-02 23:45,3,0,3,0,0,0
2025-07-03 00:00,3,0,3,0,0,0
2025-07-03 00:15,1,1,0,0,0,0
2025-07-03 00:30,1,1,0,0,0,0
2025-07-03 00:45,4,0,4,0,0,0
2025-07-03 01:00,4,1,3,0,0,0
2025-07-03 01:15,0,0,0,0,0,0
2025-07-03 01:30,3,1,2,0,0,0
2025-07-03 01:45,2,2,0,0,0,0
2025-07-03 02:00,0,0,0,0,0,0
2025-07-03 02:15,3,0,3,0,0,0
2025-07-03 02:30,1,1,0,0,0,0
2025-07-03 02:45,0,0,0,0,0,0
2025-07-03 03:00,2,1,1,0,0,0
2025-07-03 03:15,3,3,0,0,0,0
2025-07-03 03:30,2,1,1,0,0,0
2025-07-03 03:45,0,0,0,0,0,0
2025-07-03 04:00,0,0,0,0,0,0
2025-07-03 04:15,0,0,0,0,0,0
2025-07-03 04:30,1,0,1,0,0,0
2025-07-03 04:45,2,1,1,0,0,0
2025-07-03 05:00,3,2,1,0,0,0
2025-07-03 05:15,3,1,2,0,0,0
2025-07-03 05:30,3,1,2,0,0,0
2025-07-03 05:45,3,2,1,0,0,0
2025-07-03 06:00,7,5,2,0,0,0
2025-07-03 06:15,7,1,6,0,0,0
2025-07-03 06:30,12,10,2,0,0,0
2025-07-03 06:45,11,2,9,0,0,0
2025-07-03 07:00,14,8,6,0,0,0
2025-07-03 07:15,36,19,17,0,0,0
2025-07-03 07:30,31,22,9,0,0,0
2025-07-03 07:45,48,30,18,0,0,0
2025-07-03 08:00,34,14,20,0,0,0
2025-07-03 08:15,30,18,12,0,0,0
2025-07-03 08:30,25,14,11,0,0,0
2025-07-03 08:45,32,22,10,0,0,0
2025-07-03 09:00,22,8,14,0,0,0
2025-07-03 09:15,19,10,9,0,0,0
2025-07-03 09:30,25,11,14,0,0,0
2025-07-03 09:45,29,17,12,0,0,0
2025-07-03 10:00,29,17,12,0,0,0
2025-07-03 10:15,25,10,15,0,0,0
2025-07-03 10:30,18,12,6,0,0,0
2025-07-03 10:45,22,7,15,0,0,0
2025-07-03 11:00,17,11,6,0,0,0
2025-07-03 11:15,19,15,4,0,0,0
2025-07-03 11:30,22,9,13,0,0,0
2025-07-03 11:45,25,16,9,0,0,0
2025-07-03 12:00,26,13,13,0,0,0
2025-07-03 12:15,17,8,9,0,0,0
2025-07-03 12:30,30,22,8,0,0,0
2025-07-03 12:45,21,10,11,0,0,0
2025-07-03 13:00,32,10,22,0,0,0
2025-07-03 13:15,33,18,15,0,0,0
2025-07-03 13:30,25,12,13,0,0,0
2025-07-03 13:45,25,9,16,0,0,0
2025-07-03 14:00,55,31,24,0,0,0
2025-07-03 14:15,39,16,23,0,0,0
2025-07-03 14:30,29,14,15,0,0,0
2025-07-03 14:45,32,16,16,0,0,0
2025-07-03 15:00,54,25,29,0,0,0
2025-07-03 15:15,50,24,26,0,0,0
2025-07-03 15:30,39,15,24,0,0,0
2025-07-03 15:45,38,14,24,0,0,0
2025-07-03 16:00,58,21,37,0,0,0
2025-07-03 16:15,45,19,26,0,0,0
2025-07-03 16:30,30,12,18,0,0,0
2025-07-03 16:45,40,17,23,0,0,0
2025-07-03 17:00,32,16,16,0,0,0
2025-07-03 17:15,55,23,32,0,0,0
2025-07-03 17:30,38,15,23,0,0,0
2025-07-03 17:45,43,21,22,0,0,0
2025-07-03 18:00,34,12,22,0,0,0
2025-07-03 18:15,34,21,13,0,0,0
2025-07-03 18:30,34,12,22,0,0,0
2025-07-03 18:45,32,11,21,0,0,0
2025-07-03 19:00,39,19,20,0,0,0
2025-07-03 19:15,45,21,24,0,0,0
2025-07-03 19:30,38,16,22,0,0,0
2025-07-03 19:45,45,20,25,0,0,0
2025-07-03 20:00,35,15,20,0,0,0
2025-07-03 20:15,23,9,14,0,0,0
2025-07-03 20:30,12,5,7,0,0,0
2025-07-03 20:45,21,7,14,0,0,0
2025-07-03 21:00,23,11,12,0,0,0
2025-07-03 21:15,19,12,7,0,0,0
2025-07-03 21:30,12,6,6,0,0,0
2025-07-03 21:45,17,11,6,0,0,0
2025-07-03 22:00,10,5,5,0,0,0
2025-07-03 22:15,14,4,10,0,0,0
2025-07-03 22:30,23,10,13,0,0,0
2025-07-03 22:45,13,5,8,0,0,0
2025-07-03 23:00,18,4,14,0,0,0
2025-07-03 23:15,8,3,5,0,0,0
2025-07-03 23:30,13,4,9,0,0,0
2025-07-03 23:45,2,0,2,0,0,0
2025-07-04 00:00,10,3,7,0,0,0
2025-07-04 00:15,4,3,1,0,0,0
2025-07-04 00:30,8,2,6,0,0,0
2025-07-04 00:45,3,1,2,0,0,0
2025-07-04 01:00,6,3,3,0,0,0
2025-07-04 01:15,5,0,5,0,0,0
2025-07-04 01:30,0,0,0,0,0,0
2025-07-04 01:45,2,2,0,0,0,0
2025-07-04 02:00,2,1,1,0,0,0
2025-07-04 02:15,0,0,0,0,0,0
2025-07-04 02:30,1,1,0,0,0,0
2025-07-04 02:45,1,1,0,0,0,0
2025-07-04 03:00,2,1,1,0,0,0
2025-07-04 03:15,2,2,0,0,0,0
2025-07-04 03:30,4,2,2,0,0,0
2025-07-04 03:45,3,1,2,0,0,0
2025-07-04 04:00,0,0,0,0,0,0
2025-07-04 04:15,2,1,1,0,0,0
2025-07-04 04:30,2,2,0,0,0,0
2025-07-04 04:45,1,0,1,0,0,0
2025-07-04 05:00,4,2,2,0,0,0
2025-07-04 05:15,2,2,0,0,0,0
2025-07-04 05:30,4,4,0,0,0,0
2025-07-04 05:45,4,2,2,0,0,0
2025-07-04 06:00,4,3,1,0,0,0
2025-07-04 06:15,7,4,3,0,0,0
2025-07-04 06:30,7,5,2,0,0,0
2025-07-04 06:45,8,1,7,0,0,0
2025-07-04 07:00,10,4,6,0,0,0
2025-07-04 07:15,24,14,10,0,0,0
2025-07-04 07:30,40,23,17,0,0,0
2025-07-04 07:45,37,27,10,0,0,0
2025-07-04 08:00,37,21,16,0,0,0
2025-07-04 08:15,25,12,13,0,0,0
2025-07-04 08:30,34,19,15,0,0,0
2025-07-04 08:45,38,21,17,0,0,0
2025-07-04 09:00,16,6,10,0,0,0
2025-07-04 09:15,24,16,8,0,0,0
2025-07-04 09:30,21,10,11,0,0,0
2025-07-04 09:45,27,16,11,0,0,0
2025-07-04 10:00,28,16,12,0,0,0
2025-07-04 10:15,24,15,9,0,0,0
2025-07-04 10:30,17,6,11,0,0,0
2025-07-04 10:45,21,7,14,0,0,0
2025-07-04 11:00,26,11,15,0,0,0
2025-07-04 11:15,19,11,8,0,0,0
2025-07-04 11:30,32,16,16,0,0,0
2025-07-04 11:45,32,20,12,0,0,0
