Datetime,100034978 (Gartenstraße),101034978 (Gartenstraße einwärts),102034978 (Gartenstraße auswärts),100034978-status,101034978-status,102034978-status
2026-01-01 00:00,0,0,0,0,0,0
2026-01-01 00:15,1,1,0,0,0,0
2026-01-01 00:30,3,1,2,0,0,0
2026-01-01 00:45,3,3,0,0,0,0
2026-01-01 01:00,3,3,,0,0,
2026-01-01 01:15,4,4,,0,0,
2026-01-01 01:30,3,3,,0,0,
2026-01-01 01:45,4,4,,0,0,
2026-01-01 02:00,8,8,,0,0,
2026-01-01 02:15,3,3,,0,0,
2026-01-01 02:30,5,5,,0,0,
2026-01-01 02:45,7,7,,0,0,
2026-01-01 03:00,6,6,,0,0,
2026-01-01 03:15,5,5,,0,0,
2026-01-01 03:30,3,3,,0,0,
2026-01-01 03:45,4,4,,0,0,
2026-01-01 04:00,2,2,,0,0,
2026-01-01 04:15,0,0,,0,0,
2026-01-01 04:30,3,3,,0,0,
2026-01-01 04:45,4,4,,0,0,
