Datetime,100034978 (Gartenstraße),101034978 (Gartenstraße einwärts),102034978 (Gartenstraße auswärts),100034978-status,101034978-status,102034978-status
2022-10-01 00:00,20,2,18,0,0,0
2022-10-01 00:15,14,7,7,0,0,0
2022-10-01 00:30,5,4,1,0,0,0
2022-10-01 00:45,11,5,6,0,0,0
2022-10-01 01:00,4,2,2,0,0,0
2022-10-01 01:15,6,2,4,0,0,0
2022-10-01 01:30,9,2,7,0,0,0
2022-10-01 01:45,8,2,6,0,0,0
2022-10-01 02:00,5,0,5,0,0,0
2022-10-01 02:15,4,1,3,0,0,0
2022-10-01 02:30,3,0,3,0,0,0
2022-10-01 02:45,4,0,4,0,0,0
2022-10-01 03:00,4,2,2,0,0,0
2022-10-01 03:15,2,0,2,0,0,0
2022-10-01 03:30,6,2,4,0,0,0
2022-10-01 03:45,8,5,3,0,0,0
2022-10-01 04:00,3,2,1,0,0,0
2022-10-01 04:15,0,0,0,0,0,0
2022-10-01 04:30,5,2,3,0,0,0
2022-10-01 04:45,5,4,1,0,0,0
2022-10-01 05:00,1,0,1,0,0,0
2022-10-01 05:15,4,3,1,0,0,0
2022-10-01 05:30,5,1,4,0,0,0
2022-10-01 05:45,0,0,0,0,0,0
2022-10-01 06:00,4,2,2,0,0,0
2022-10-01 06:15,3,0,3,0,0,0
2022-10-01 06:30,0,0,0,0,0,0
2022-10-01 06:45,6,3,3,0,0,0
2022-10-01 07:00,3,1,2,0,0,0
2022-10-01 07:15,4,2,2,0,0,0
2022-10-01 07:30,7,4,3,0,0,0
2022-10-01 07:45,5,5,0,0,0,0
2022-10-01 08:00,12,9,3,0,0,0
2022-10-01 08:15,10,8,2,0,0,0
2022-10-01 08:30,14,9,5,0,0,0
2022-10-01 08:45,13,8,5,0,0,0
2022-10-01 09:00,15,9,6,0,0,0
2022-10-01 09:15,9,6,3,0,0,0
2022-10-01 09:30,33,27,6,0,0,0
2022-10-01 09:45,39,33,6,0,0,0
2022-10-01 10:00,27,21,6,0,0,0
2022-10-01 10:15,36,25,11,0,0,0
2022-10-01 10:30,34,28,6,0,0,0
2022-10-01 10:45,41,35,6,0,0,0
2022-10-01 11:00,39,27,12,0,0,0
2022-10-01 11:15,46,35,11,0,0,0
2022-10-01 11:30,40,28,12,0,0,0
2022-10-01 11:45,42,30,12,0,0,0
2022-10-01 12:00,35,17,18,0,0,0
2022-10-01 12:15,45,29,16,0,0,0
2022-10-01 12:30,44,26,18,0,0,0
2022-10-01 12:45,26,14,12,0,0,0
2022-10-01 13:00,35,19,16,0,0,0
2022-10-01 13:15,38,18,20,0,0,0
2022-10-01 13:30,22,7,15,0,0,0
2022-10-01 13:45,21,11,10,0,0,0
2022-10-01 14:00,31,17,14,0,0,0
2022-10-01 14:15,31,13,18,0,0,0
2022-10-01 14:30,43,21,22,0,0,0
2022-10-01 14:45,15,10,5,0,0,0
2022-10-01 15:00,21,13,8,0,0,0
2022-10-01 15:15,25,13,12,0,0,0
2022-10-01 15:30,35,17,18,0,0,0
2022-10-01 15:45,28,15,13,0,0,0
2022-10-01 16:00,31,17,14,0,0,0
2022-10-01 16:15,26,12,14,0,0,0
2022-10-01 16:30,26,18,8,0,0,0
2022-10-01 16:45,38,16,22,0,0,0
2022-10-01 17:00,17,15,2,0,0,0
2022-10-01 17:15,37,23,14,0,0,0
2022-10-01 17:30,38,21,17,0,0,0
2022-10-01 17:45,45,23,22,0,0,0
2022-10-01 18:00,37,18,19,0,0,0
2022-10-01 18:15,25,15,10,0,0,0
2022-10-01 18:30,25,14,11,0,0,0
2022-10-01 18:45,34,22,12,0,0,0
2022-10-01 19:00,33,23,10,0,0,0
2022-10-01 19:15,28,12,16,0,0,0
2022-10-01 19:30,22,15,7,0,0,0
2022-10-01 19:45,23,9,14,0,0,0
2022-10-01 20:00,21,12,9,0,0,0
2022-10-01 20:15,16,14,2,0,0,0
2022-10-01 20:30,16,9,7,0,0,0
2022-10-01 20:45,14,7,7,0,0,0
2022-10-01 21:00,12,4,8,0,0,0
2022-10-01 21:15,13,4,9,0,0,0
2022-10-01 21:30,14,10,4,0,0,0
2022-10-01 21:45,13,4,9,0,0,0
2022-10-01 22:00,14,2,12,0,0,0
2022-10-01 22:15,11,4,7,0,0,0
2022-10-01 22:30,9,1,8,0,0,0
2022-10-01 22:45,7,4,3,0,0,0
2022-10-01 23:00,9,6,3,0,0,0
2022-10-01 23:15,13,4,9,0,0,0
2022-10-01 23:30,8,2,6,0,0,0
2022-10-01 23:45,7,2,5,0,0,0
2022-10-02 00:00,6,0,6,0,0,0
2022-10-02 00:15,9,2,7,0,0,0
2022-10-02 00:30,5,0,5,0,0,0
2022-10-02 00:45,5,0,5,0,0,0
2022-10-02 01:00,7,2,5,0,0,0
2022-10-02 01:15,7,0,7,0,0,0
2022-10-02 01:30,2,1,1,0,0,0
2022-10-02 01:45,8,2,6,0,0,0
2022-10-02 02:00,1,0,1,0,0,0
2022-10-02 02:15,4,1,3,0,0,0
2022-10-02 02:30,2,0,2,0,0,0
2022-10-02 02:45,3,2,1,0,0,0
2022-10-02 03:00,4,2,2,0,0,0
2022-10-02 03:15,3,0,3,0,0,0
2022-10-02 03:30,6,1,5,0,0,0
2022-10-02 03:45,2,0,2,0,0,0
2022-10-02 04:00,2,2,0,0,0,0
2022-10-02 04:15,2,1,1,0,0,0
2022-10-02 04:30,1,0,1,0,0,0
2022-10-02 04:45,5,1,4,0,0,0
2022-10-02 05:00,2,0,2,0,0,0
2022-10-02 05:15,1,0,1,0,0,0
2022-10-02 05:30,1,0,1,0,0,0
2022-10-02 05:45,1,1,0,0,0,0
2022-10-02 06:00,1,0,1,0,0,0
2022-10-02 06:15,2,2,0,0,0,0
2022-10-02 06:30,0,0,0,0,0,0
2022-10-02 06:45,3,2,1,0,0,0
2022-10-02 07:00,2,2,0,0,0,0
2022-10-02 07:15,2,0,2,0,0,0
2022-10-02 07:30,3,2,1,0,0,0
2022-10-02 07:45,3,2,1,0,0,0
2022-10-02 08:00,1,1,0,0,0,0
2022-10-02 08:15,4,4,0,0,0,0
2022-10-02 08:30,9,6,3,0,0,0
