Datetime,300037920 (Lütkenbecker Str.),353413813 (Lütkenbecker Str. [Bike Stadteinwärts]),353413814 (Lütkenbecker Str. [Bike Stadtauswärts]),300037920-status,353413813-status,353413814-status
2025-02-01 00:00,14,3,11,0,0,0
2025-02-01 00:15,14,2,12,0,0,0
2025-02-01 00:30,3,1,2,0,0,0
2025-02-01 00:45,10,1,9,0,0,0
2025-02-01 01:00,5,0,5,0,0,0
2025-02-01 01:15,6,0,6,0,0,0
2025-02-01 01:30,2,1,1,0,0,0
2025-02-01 01:45,1,0,1,0,0,0
2025-02-01 02:00,2,2,0,0,0,0
2025-02-01 02:15,5,5,0,0,0,0
2025-02-01 02:30,6,0,6,0,0,0
2025-02-01 02:45,3,0,3,0,0,0
2025-02-01 03:00,0,0,0,0,0,0
2025-02-01 03:15,2,0,2,0,0,0
2025-02-01 03:30,1,1,0,0,0,0
2025-02-01 03:45,1,0,1,0,0,0
2025-02-01 04:00,1,0,1,0,0,0
2025-02-01 04:15,2,2,0,0,0,0
2025-02-01 04:30,0,0,0,0,0,0
2025-02-01 04:45,0,0,0,0,0,0
2025-02-01 05:00,3,2,1,0,0,0
2025-02-01 05:15,1,0,1,0,0,0
2025-02-01 05:30,2,1,1,0,0,0
2025-02-01 05:45,2,0,2,0,0,0
2025-02-01 06:00,5,3,2,0,0,0
2025-02-01 06:15,2,1,1,0,0,0
2025-02-01 06:30,4,3,1,0,0,0
2025-02-01 06:45,3,2,1,0,0,0
2025-02-01 07:00,9,7,2,0,0,0
2025-02-01 07:15,5,5,0,0,0,0
2025-02-01 07:30,7,6,1,0,0,0
2025-02-01 07:45,14,8,6,0,0,0
2025-02-01 08:00,4,1,3,0,0,0
2025-02-01 08:15,11,8,3,0,0,0
2025-02-01 08:30,7,5,2,0,0,0
2025-02-01 08:45,18,11,7,0,0,0
2025-02-01 09:00,14,7,7,0,0,0
2025-02-01 09:15,28,18,10,0,0,0
2025-02-01 09:30,24,18,6,0,0,0
2025-02-01 09:45,35,27,8,0,0,0
2025-02-01 10:00,27,21,6,0,0,0
2025-02-01 10:15,40,35,5,0,0,0
2025-02-01 10:30,45,30,15,0,0,0
2025-02-01 10:45,35,24,11,0,0,0
2025-02-01 11:00,63,44,19,0,0,0
2025-02-01 11:15,47,29,18,0,0,0
2025-02-01 11:30,53,27,26,0,0,0
2025-02-01 11:45,42,19,23,0,0,0
2025-02-01 12:00,48,29,19,0,0,0
2025-02-01 12:15,69,40,29,0,0,0
2025-02-01 12:30,68,29,39,0,0,0
2025-02-01 12:45,54,22,32,0,0,0
2025-02-01 13:00,61,26,35,0,0,0
2025-02-01 13:15,56,24,32,0,0,0
2025-02-01 13:30,62,38,24,0,0,0
2025-02-01 13:45,57,30,27,0,0,0
2025-02-01 14:00,52,28,24,0,0,0
2025-02-01 14:15,64,30,34,0,0,0
2025-02-01 14:30,76,31,45,0,0,0
2025-02-01 14:45,63,26,37,0,0,0
2025-02-01 15:00,54,22,32,0,0,0
2025-02-01 15:15,55,23,32,0,0,0
2025-02-01 15:30,73,32,41,0,0,0
2025-02-01 15:45,53,21,32,0,0,0
2025-02-01 16:00,58,29,29,0,0,0
2025-02-01 16:15,39,18,21,0,0,0
2025-02-01 16:30,48,22,26,0,0,0
2025-02-01 16:45,46,20,26,0,0,0
2025-02-01 17:00,44,15,29,0,0,0
2025-02-01 17:15,53,18,35,0,0,0
2025-02-01 17:30,45,18,27,0,0,0
2025-02-01 17:45,44,18,26,0,0,0
2025-02-01 18:00,36,10,26,0,0,0
2025-02-01 18:15,36,16,20,0,0,0
2025-02-01 18:30,24,18,6,0,0,0
2025-02-01 18:45,40,27,13,0,0,0
