Datetime,300039328 (Coesfelder Kreuz),353425081 (Coesfelder Kreuz Stadteinwärts),353425082 (Coesfelder Kreuz Stadtauswärts),300039328-status,353425081-status,353425082-status
2026-07-01 00:00,7,4,3,0,0,0
2026-07-01 00:15,16,4,12,0,0,0
2026-07-01 00:30,7,3,4,0,0,0
2026-07-01 00:45,3,0,3,0,0,0
2026-07-01 01:00,4,2,2,0,0,0
2026-07-01 01:15,10,4,6,0,0,0
2026-07-01 01:30,9,2,7,0,0,0
2026-07-01 01:45,3,1,2,0,0,0
2026-07-01 02:00,3,0,3,0,0,0
2026-07-01 02:15,2,0,2,0,0,0
2026-07-01 02:30,1,0,1,0,0,0
2026-07-01 02:45,2,2,0,0,0,0
2026-07-01 03:00,1,0,1,0,0,0
2026-07-01 03:15,0,0,0,0,0,0
2026-07-01 03:30,1,0,1,0,0,0
2026-07-01 03:45,2,2,0,0,0,0
2026-07-01 04:00,2,1,1,0,0,0
2026-07-01 04:15,1,1,0,0,0,0
2026-07-01 04:30,10,4,6,0,0,0
2026-07-01 04:45,8,2,6,0,0,0
2026-07-01 05:00,8,7,1,0,0,0
2026-07-01 05:15,7,5,2,0,0,0
2026-07-01 05:30,33,12,21,0,0,0
2026-07-01 05:45,29,19,10,0,0,0
2026-07-01 06:00,24,15,9,0,0,0
2026-07-01 06:15,38,25,13,0,0,0
2026-07-01 06:30,61,42,19,0,0,0
2026-07-01 06:45,65,38,27,0,0,0
2026-07-01 07:00,98,58,40,0,0,0
2026-07-01 07:15,163,102,61,0,0,0
2026-07-01 07:30,231,141,90,0,0,0
2026-07-01 07:45,212,97,115,0,0,0
2026-07-01 08:00,261,98,163,0,0,0
2026-07-01 08:15,211,98,113,0,0,0
2026-07-01 08:30,158,80,78,0,0,0
2026-07-01 08:45,164,73,91,0,0,0
2026-07-01 09:00,132,57,75,0,0,0
2026-07-01 09:15,134,71,63,0,0,0
2026-07-01 09:30,127,70,57,0,0,0
2026-07-01 09:45,170,94,76,0,0,0
2026-07-01 10:00,248,124,124,0,0,0
2026-07-01 10:15,129,62,67,0,0,0
2026-07-01 10:30,96,54,42,0,0,0
2026-07-01 10:45,91,53,38,0,0,0
2026-07-01 11:00,98,44,54,0,0,0
2026-07-01 11:15,94,44,50,0,0,0
2026-07-01 11:30,144,71,73,0,0,0
2026-07-01 11:45,259,122,137,0,0,0
2026-07-01 12:00,224,98,126,0,0,0
2026-07-01 12:15,164,67,97,0,0,0
2026-07-01 12:30,195,86,109,0,0,0
2026-07-01 12:45,188,96,92,0,0,0
2026-07-01 13:00,181,81,100,0,0,0
2026-07-01 13:15,225,110,115,0,0,0
2026-07-01 13:30,222,132,90,0,0,0
2026-07-01 13:45,271,161,110,0,0,0
2026-07-01 14:00,204,113,91,0,0,0
2026-07-01 14:15,184,108,76,0,0,0
2026-07-01 14:30,147,86,61,0,0,0
2026-07-01 14:45,133,78,55,0,0,0
