Datetime,"300037936 (Kanalpromenade, Abschnitt 6)","353413873 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Münster)","353413874 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Weg von Münster)","353426355 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Münster)","353426357 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Münster)","353426358 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Weg von Münster)","353426360 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Weg von Münster)",300037936-status,353413873-status,353413874-status,353426355-status,353426357-status,353426358-status,353426360-status
2025-12-01 00:00,0,0,0,,,,,0,0,0,,,,
2025-12-01 00:15,0,0,0,,,,,0,0,0,,,,
2025-12-01 00:30,0,0,0,,,,,0,0,0,,,,
2025-12-01 00:45,0,0,0,,,,,0,0,0,,,,
2025-12-01 01:00,0,0,0,,,,,0,0,0,,,,
2025-12-01 01:15,0,0,0,,,,,0,0,0,,,,
2025-12-01 01:30,0,0,0,,,,,0,0,0,,,,
2025-12-01 01:45,0,0,0,,,,,0,0,0,,,,
2025-12-01 02:00,0,0,0,,,,,0,0,0,,,,
2025-12-01 02:15,0,0,0,,,,,0,0,0,,,,
2025-12-01 02:30,0,0,0,,,,,0,0,0,,,,
2025-12-01 02:45,0,0,0,,,,,0,0,0,,,,
2025-12-01 03:00,0,0,0,,,,,0,0,0,,,,
2025-12-01 03:15,0,0,0,,,,,0,0,0,,,,
2025-12-01 03:30,0,0,0,,,,,0,0,0,,,,
2025-12-01 03:45,1,0,1,,,,,0,0,0,,,,
2025-12-01 04:00,1,1,0,,,,,0,0,0,,,,
2025-12-01 04:15,0,0,0,,,,,0,0,0,,,,
2025-12-01 04:30,0,0,0,,,,,0,0,0,,,,
2025-12-01 04:45,0,0,0,,,,,0,0,0,,,,
2025-12-01 05:00,2,2,0,,,,,0,0,0,,,,
2025-12-01 05:15,1,1,0,,,,,0,0,0,,,,
2025-12-01 05:30,1,0,1,,,,,0,0,0,,,,
2025-12-01 05:45,1,0,1,,,,,0,0,0,,,,
2025-12-01 06:00,1,1,0,,,,,0,0,0,,,,
2025-12-01 06:15,4,4,0,,,,,0,0,0,,,,
2025-12-01 06:30,9,8,1,,,,,0,0,0,,,,
2025-12-01 06:45,1,1,0,,,,,0,0,0,,,,
2025-12-01 07:00,5,3,2,,,,,0,0,0,,,,
2025-12-01 07:15,4,4,0,,,,,0,0,0,,,,
2025-12-01 07:30,9,5,4,,,,,0,0,0,,,,
2025-12-01 07:45,2,2,0,,,,,0,0,0,,,,
2025-12-01 08:00,2,2,0,,,,,0,0,0,,,,
2025-12-01 08:15,2,0,2,,,,,0,0,0,,,,
2025-12-01 08:30,6,4,2,,,,,0,0,0,,,,
2025-12-01 08:45,4,4,0,,,,,0,0,0,,,,
2025-12-01 09:00,3,1,2,,,,,0,0,0,,,,
2025-12-01 09:15,6,3,3,,,,,0,0,0,,,,
2025-12-01 09:30,3,2,1,,,,,0,0,0,,,,
2025-12-01 09:45,0,0,0,,,,,0,0,0,,,,
2025-12-01 10:00,1,0,1,,,,,0,0,0,,,,
2025-12-01 10:15,9,2,7,,,,,0,0,0,,,,
2025-12-01 10:30,9,0,9,,,,,0,0,0,,,,
2025-12-01 10:45,9,5,4,,,,,0,0,0,,,,
2025-12-01 11:00,6,3,3,,,,,0,0,0,,,,
2025-12-01 11:15,5,0,5,,,,,0,0,0,,,,
2025-12-01 11:30,3,3,0,,,,,0,0,0,,,,
2025-12-01 11:45,7,4,3,,,,,0,0,0,,,,
2025-12-01 12:00,6,3,3,,,,,0,0,0,,,,
2025-12-01 12:15,6,5,1,,,,,0,0,0,,,,
2025-12-01 12:30,4,1,3,,,,,0,0,0,,,,
2025-12-01 12:45,4,1,3,,,,,0,0,0,,,,
2025-12-01 13:00,9,5,4,,,,,0,0,0,,,,
2025-12-01 13:15,1,1,0,,,,,0,0,0,,,,
2025-12-01 13:30,6,3,3,,,,,0,0,0,,,,
2025-12-01 13:45,6,2,4,,,,,0,0,0,,,,
2025-12-01 14:00,4,3,1,,,,,0,0,0,,,,
2025-12-01 14:15,7,2,5,,,,,0,0,0,,,,
2025-12-01 14:30,4,3,1,,,,,0,0,0,,,,
2025-12-01 14:45,9,4,5,,,,,0,0,0,,,,
2025-12-01 15:00,13,4,9,,,,,0,0,0,,,,
2025-12-01 15:15,12,7,5,,,,,0,0,0,,,,
2025-12-01 15:30,3,1,2,,,,,0,0,0,,,,
2025-12-01 15:45,10,5,5,,,,,0,0,0,,,,
2025-12-01 16:00,13,7,6,,,,,0,0,0,,,,
2025-12-01 16:15,14,5,9,,,,,0,0,0,,,,
2025-12-01 16:30,7,2,5,,,,,0,0,0,,,,
2025-12-01 16:45,7,2,5,,,,,0,0,0,,,,
2025-12-01 17:00,6,2,4,,,,,0,0,0,,,,
2025-12-01 17:15,6,2,4,,,,,0,0,0,,,,
2025-12-01 17:30,6,4,2,,,,,0,0,0,,,,
2025-12-01 17:45,5,3,2,,,,,0,0,0,,,,
2025-12-01 18:00,3,1,2,,,,,0,0,0,,,,
2025-12-01 18:15,3,2,1,,,,,0,0,0,,,,
2025-12-01 18:30,7,3,4,,,,,0,0,0,,,,
2025-12-01 18:45,2,1,1,,,,,0,0,0,,,,
2025-12-01 19:00,1,0,1,,,,,0,0,0,,,,
2025-12-01 19:15,3,2,1,,,,,0,0,0,,,,
2025-12-01 19:30,1,0,1,,,,,0,0,0,,,,
2025-12-01 19:45,1,1,0,,,,,0,0,0,,,,
2025-12-01 20:00,1,1,0,,,,,0,0,0,,,,
2025-12-01 20:15,0,0,0,,,,,0,0,0,,,,
2025-12-01 20:30,1,1,0,,,,,0,0,0,,,,
