Datetime,"300037936 (Kanalpromenade, Abschnitt 6)","353413873 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Münster)","353413874 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Weg von Münster)","353426355 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Münster)","353426357 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Münster)","353426358 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Weg von Münster)","353426360 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Weg von Münster)",300037936-status,353413873-status,353413874-status,353426355-status,353426357-status,353426358-status,353426360-status
2026-09-01 00:00,0,0,0,,,,,0,0,0,,,,
2026-09-01 00:15,0,0,0,,,,,0,0,0,,,,
2026-09-01 00:30,0,0,0,,,,,0,0,0,,,,
2026-09-01 00:45,0,0,0,,,,,0,0,0,,,,
2026-09-01 01:00,0,0,0,,,,,0,0,0,,,,
2026-09-01 01:15,0,0,0,,,,,0,0,0,,,,
2026-09-01 01:30,0,0,0,,,,,0,0,0,,,,
2026-09-01 01:45,0,0,0,,,,,0,0,0,,,,
2026-09-01 02:00,0,0,0,,,,,0,0,0,,,,
2026-09-01 02:15,0,0,0,,,,,0,0,0,,,,
2026-09-01 02:30,0,0,0,,,,,0,0,0,,,,
2026-09-01 02:45,0,0,0,,,,,0,0,0,,,,
2026-09-01 03:00,1,1,0,,,,,0,0,0,,,,
2026-09-01 03:15,0,0,0,,,,,0,0,0,,,,
2026-09-01 03:30,1,0,1,,,,,0,0,0,,,,
2026-09-01 03:45,0,0,0,,,,,0,0,0,,,,
2026-09-01 04:00,0,0,0,,,,,0,0,0,,,,
2026-09-01 04:15,0,0,0,,,,,0,0,0,,,,
2026-09-01 04:30,0,0,0,,,,,0,0,0,,,,
2026-09-01 04:45,0,0,0,,,,,0,0,0,,,,
2026-09-01 05:00,0,0,0,,,,,0,0,0,,,,
2026-09-01 05:15,3,2,1,,,,,0,0,0,,,,
2026-09-01 05:30,3,1,2,,,,,0,0,0,,,,
2026-09-01 05:45,4,3,1,,,,,0,0,0,,,,
2026-09-01 06:00,4,1,3,,,,,0,0,0,,,,
2026-09-01 06:15,4,3,1,,,,,0,0,0,,,,
2026-09-01 06:30,6,2,4,,,,,0,0,0,,,,
2026-09-01 06:45,5,5,0,,,,,0,0,0,,,,
2026-09-01 07:00,11,8,3,,,,,0,0,0,,,,
2026-09-01 07:15,13,12,1,,,,,0,0,0,,,,
2026-09-01 07:30,15,9,6,,,,,0,0,0,,,,
2026-09-01 07:45,9,2,7,,,,,0,0,0,,,,
2026-09-01 08:00,8,7,1,,,,,0,0,0,,,,
2026-09-01 08:15,9,8,1,,,,,0,0,0,,,,
2026-09-01 08:30,5,2,3,,,,,0,0,0,,,,
2026-09-01 08:45,4,1,3,,,,,0,0,0,,,,
2026-09-01 09:00,6,3,3,,,,,0,0,0,,,,
2026-09-01 09:15,5,3,2,,,,,0,0,0,,,,
2026-09-01 09:30,4,1,3,,,,,0,0,0,,,,
2026-09-01 09:45,6,4,2,,,,,0,0,0,,,,
2026-09-01 10:00,8,5,3,,,,,0,0,0,,,,
2026-09-01 10:15,8,3,5,,,,,0,0,0,,,,
2026-09-01 10:30,10,5,5,,,,,0,0,0,,,,
2026-09-01 10:45,6,5,1,,,,,0,0,0,,,,
2026-09-01 11:00,7,5,2,,,,,0,0,0,,,,
2026-09-01 11:15,4,2,2,,,,,0,0,0,,,,
2026-09-01 11:30,6,1,5,,,,,0,0,0,,,,
2026-09-01 11:45,4,3,1,,,,,0,0,0,,,,
2026-09-01 12:00,4,2,2,,,,,0,0,0,,,,
2026-09-01 12:15,7,3,4,,,,,0,0,0,,,,
2026-09-01 12:30,2,0,2,,,,,0,0,0,,,,
2026-09-01 12:45,6,5,1,,,,,0,0,0,,,,
2026-09-01 13:00,4,0,4,,,,,0,0,0,,,,
2026-09-01 13:15,6,4,2,,,,,0,0,0,,,,
2026-09-01 13:30,4,2,2,,,,,0,0,0,,,,
2026-09-01 13:45,11,5,6,,,,,0,0,0,,,,
2026-09-01 14:00,4,2,2,,,,,0,0,0,,,,
2026-09-01 14:15,16,7,9,,,,,0,0,0,,,,
2026-09-01 14:30,12,6,6,,,,,0,0,0,,,,
2026-09-01 14:45,9,3,6,,,,,0,0,0,,,,
2026-09-01 15:00,8,3,5,,,,,0,0,0,,,,
2026-09-01 15:15,12,8,4,,,,,0,0,0,,,,
2026-09-01 15:30,11,2,9,,,,,0,0,0,,,,
2026-09-01 15:45,14,7,7,,,,,0,0,0,,,,
2026-09-01 16:00,14,7,7,,,,,0,0,0,,,,
2026-09-01 16:15,24,12,12,,,,,0,0,0,,,,
2026-09-01 16:30,17,8,9,,,,,0,0,0,,,,
2026-09-01 16:45,30,13,17,,,,,0,0,0,,,,
2026-09-01 17:00,29,12,17,,,,,0,0,0,,,,
2026-09-01 17:15,26,12,14,,,,,0,0,0,,,,
2026-09-01 17:30,30,12,18,,,,,0,0,0,,,,
2026-09-01 17:45,23,10,13,,,,,0,0,0,,,,
2026-09-01 18:00,36,21,15,,,,,0,0,0,,,,
2026-09-01 18:15,28,15,13,,,,,0,0,0,,,,
2026-09-01 18:30,24,11,13,,,,,0,0,0,,,,
2026-09-01 18:45,22,9,13,,,,,0,0,0,,,,
2026-09-01 19:00,27,18,9,,,,,0,0,0,,,,
2026-09-01 19:15,19,12,7,,,,,0,0,0,,,,
2026-09-01 19:30,25,17,8,,,,,0,0,0,,,,
2026-09-01 19:45,25,15,10,,,,,0,0,0,,,,
2026-09-01 20:00,17,9,8,,,,,0,0,0,,,,
2026-09-01 20:15,13,7,6,,,,,0,0,0,,,,
2026-09-01 20:30,6,5,1,,,,,0,0,0,,,,
2026-09-01 20:45,5,4,1,,,,,0,0,0,,,,
2026-09-01 21:00,4,3,1,,,,,0,0,0,,,,
2026-09-01 21:15,3,1,2,,,,,0,0,0,,,,
2026-09-01 21:30,1,1,0,,,,,0,0,0,,,,
2026-09-01 21:45,1,0,1,,,,,0,0,0,,,,
2026-09-01 22:00,1,1,0,,,,,0,0,0,,,,
2026-09-01 22:15,0,0,0,,,,,0,0,0,,,,
2026-09-01 22:30,0,0,0,,,,,0,0,0,,,,
2026-09-01 22:45,0,0,0,,,,,0,0,0,,,,
2026-09-01 23:00,0,0,0,,,,,0,0,0,,,,
2026-09-01 23:15,0,0,0,,,,,0,0,0,,,,
2026-09-01 23:30,2,0,2,,,,,0,0,0,,,,
2026-09-01 23:45,0,0,0,,,,,0,0,0,,,,
