Datetime,100034981 (Weseler Straße),101034981 (Weseler Straße stadteinwärts),102034981 (Weseler Straße stadtauswärts),100034981-status,101034981-status,102034981-status
2023-03-01 00:00,2,1,1,0,0,0
2023-03-01 00:15,3,0,3,0,0,0
2023-03-01 00:30,1,1,0,0,0,0
2023-03-01 00:45,1,1,0,0,0,0
2023-03-01 01:00,2,0,2,0,0,0
2023-03-01 01:15,0,0,0,0,0,0
2023-03-01 01:30,2,1,1,0,0,0
2023-03-01 01:45,0,0,0,0,0,0
2023-03-01 02:00,1,0,1,0,0,0
2023-03-01 02:15,2,2,0,0,0,0
2023-03-01 02:30,1,0,1,0,0,0
2023-03-01 02:45,1,1,0,0,0,0
2023-03-01 03:00,1,0,1,0,0,0
2023-03-01 03:15,2,1,1,0,0,0
2023-03-01 03:30,0,0,0,0,0,0
2023-03-01 03:45,3,2,1,0,0,0
2023-03-01 04:00,2,2,0,0,0,0
2023-03-01 04:15,1,1,0,0,0,0
2023-03-01 04:30,3,2,1,0,0,0
2023-03-01 04:45,5,4,1,0,0,0
2023-03-01 05:00,1,0,1,0,0,0
2023-03-01 05:15,9,3,6,0,0,0
2023-03-01 05:30,10,9,1,0,0,0
2023-03-01 05:45,11,8,3,0,0,0
2023-03-01 06:00,8,6,2,0,0,0
2023-03-01 06:15,18,9,9,0,0,0
2023-03-01 06:30,23,14,9,0,0,0
2023-03-01 06:45,36,16,20,0,0,0
2023-03-01 07:00,57,29,28,0,0,0
2023-03-01 07:15,79,48,31,0,0,0
2023-03-01 07:30,130,77,53,0,0,0
2023-03-01 07:45,121,56,65,0,0,0
2023-03-01 08:00,86,39,47,0,0,0
2023-03-01 08:15,86,47,39,0,0,0
2023-03-01 08:30,61,37,24,0,0,0
2023-03-01 08:45,86,57,29,0,0,0
2023-03-01 09:00,39,22,17,0,0,0
2023-03-01 09:15,33,28,5,0,0,0
2023-03-01 09:30,42,32,10,0,0,0
2023-03-01 09:45,42,29,13,0,0,0
2023-03-01 10:00,39,30,9,0,0,0
2023-03-01 10:15,44,32,12,0,0,0
2023-03-01 10:30,31,22,9,0,0,0
2023-03-01 10:45,35,30,5,0,0,0
2023-03-01 11:00,33,24,9,0,0,0
2023-03-01 11:15,27,16,11,0,0,0
2023-03-01 11:30,36,26,10,0,0,0
2023-03-01 11:45,36,25,11,0,0,0
2023-03-01 12:00,54,32,22,0,0,0
2023-03-01 12:15,42,31,11,0,0,0
2023-03-01 12:30,47,29,18,0,0,0
2023-03-01 12:45,55,33,22,0,0,0
2023-03-01 13:00,59,40,19,0,0,0
2023-03-01 13:15,54,31,23,0,0,0
2023-03-01 13:30,42,27,15,0,0,0
2023-03-01 13:45,41,29,12,0,0,0
2023-03-01 14:00,53,25,28,0,0,0
2023-03-01 14:15,43,23,20,0,0,0
2023-03-01 14:30,41,17,24,0,0,0
2023-03-01 14:45,46,30,16,0,0,0
2023-03-01 15:00,49,26,23,0,0,0
2023-03-01 15:15,52,38,14,0,0,0
2023-03-01 15:30,74,47,27,0,0,0
2023-03-01 15:45,67,38,29,0,0,0
2023-03-01 16:00,84,54,30,0,0,0
2023-03-01 16:15,95,66,29,0,0,0
2023-03-01 16:30,70,44,26,0,0,0
2023-03-01 16:45,79,47,32,0,0,0
2023-03-01 17:00,74,44,30,0,0,0
2023-03-01 17:15,71,49,22,0,0,0
2023-03-01 17:30,78,46,32,0,0,0
2023-03-01 17:45,72,39,33,0,0,0
2023-03-01 18:00,61,36,25,0,0,0
2023-03-01 18:15,55,27,28,0,0,0
2023-03-01 18:30,55,34,21,0,0,0
2023-03-01 18:45,59,42,17,0,0,0
2023-03-01 19:00,40,26,14,0,0,0
2023-03-01 19:15,47,27,20,0,0,0
2023-03-01 19:30,43,24,19,0,0,0
2023-03-01 19:45,38,21,17,0,0,0
2023-03-01 20:00,28,15,13,0,0,0
2023-03-01 20:15,29,16,13,0,0,0
2023-03-01 20:30,21,9,12,0,0,0
2023-03-01 20:45,25,8,17,0,0,0
2023-03-01 21:00,11,6,5,0,0,0
2023-03-01 21:15,26,15,11,0,0,0
